location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Obihiro,42.917397,143.1454,45.0,32400,Asia/Tokyo,GMT+9
1,Ikeda,42.917397,143.41246,20.0,32400,Asia/Tokyo,GMT+9
2,Ashoro,43.26889,143.5426,309.0,32400,Asia/Tokyo,GMT+9
3,Hiroo,42.355007,143.31378,0.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1002.3,1006.5,998.7,288
0,2021-01-02,1008.3,1012.0,1006.4,319
0,2021-01-03,1011.8,1012.8,1010.2,307
0,2021-01-04,1013.2,1015.2,1011.1,288
0,2021-01-05,1013.9,1015.0,1012.5,323
0,2021-01-06,1011.4,1013.4,1007.9,38
0,2021-01-07,997.6,1007.1,985.4,28
0,2021-01-08,992.2,999.1,984.3,310
0,2021-01-09,999.8,1001.3,997.7,273
0,2021-01-10,1005.0,1009.6,1001.5,286
0,2021-01-11,1013.4,1017.3,1009.8,283
0,2021-01-12,1014.0,1017.6,1006.2,100
0,2021-01-13,1002.1,1005.5,998.6,318
0,2021-01-14,1004.1,1012.8,998.9,294
0,2021-01-15,1016.0,1018.5,1012.8,77
0,2021-01-16,1000.1,1011.1,993.5,298
0,2021-01-17,1007.6,1009.1,1004.3,80
0,2021-01-18,1006.8,1009.0,1003.0,77
0,2021-01-19,1004.8,1014.4,999.5,314
0,2021-01-20,1016.6,1019.5,1014.6,333
0,2021-01-21,1012.9,1019.0,1008.7,254
0,2021-01-22,1009.3,1015.4,1006.7,336
0,2021-01-23,1019.9,1023.6,1015.6,28
0,2021-01-24,1021.2,1023.6,1017.6,93
0,2021-01-25,1020.4,1025.8,1017.0,40
0,2021-01-26,1024.2,1027.2,1018.9,29
0,2021-01-27,1005.9,1017.7,998.9,297
0,2021-01-28,1009.6,1012.5,1006.0,311
0,2021-01-29,995.0,1006.6,989.3,295
0,2021-01-30,996.6,1006.2,989.4,310
0,2021-01-31,1011.3,1018.4,1006.2,304
0,2021-02-01,1012.3,1018.8,997.9,118
0,2021-02-02,993.6,999.6,988.6,294
0,2021-02-03,1002.1,1005.0,999.3,288
0,2021-02-04,1002.1,1004.6,999.6,128
0,2021-02-05,1004.5,1007.1,1001.5,166
0,2021-02-06,1002.4,1005.0,1000.5,359
0,2021-02-07,1002.7,1004.3,1000.7,56
0,2021-02-08,999.2,1002.3,996.8,233
0,2021-02-09,1000.3,1003.9,997.4,275
0,2021-02-10,1003.7,1004.7,1001.8,150
0,2021-02-11,1010.1,1016.0,1005.0,318
0,2021-02-12,1021.6,1024.7,1016.4,320
0,2021-02-13,1020.6,1024.6,1016.0,90
0,2021-02-14,1012.3,1015.7,1008.8,139
0,2021-02-15,997.8,1008.8,974.6,15
0,2021-02-16,966.9,977.6,958.4,22
0,2021-02-17,981.1,982.6,978.2,69
0,2021-02-18,986.3,992.8,981.4,340
0,2021-02-19,997.6,999.8,993.6,302
0,2021-02-20,991.4,998.6,987.4,307
0,2021-02-21,1000.2,1006.8,991.7,293
0,2021-02-22,1005.7,1008.7,1000.1,20
0,2021-02-23,996.9,1001.7,994.1,304
0,2021-02-24,1006.1,1010.1,1001.3,314
0,2021-02-25,1013.5,1015.1,1010.6,294
0,2021-02-26,1012.2,1014.7,1009.9,34
0,2021-02-27,1020.9,1025.6,1015.0,313
0,2021-02-28,1020.2,1025.1,1015.1,80
0,2021-03-01,1014.0,1015.0,1012.8,51
0,2021-03-02,1005.5,1013.3,999.3,55
0,2021-03-03,1019.2,1027.0,1006.8,335
0,2021-03-04,1024.8,1027.3,1020.6,4
0,2021-03-05,1013.3,1019.5,1007.6,31
0,2021-03-06,1011.3,1019.2,1005.0,339
0,2021-03-07,1020.0,1022.0,1017.9,45
0,2021-03-08,1018.0,1020.4,1015.9,30
0,2021-03-09,1016.8,1020.4,1011.6,74
0,2021-03-10,1007.3,1016.2,1000.8,311
0,2021-03-11,1017.3,1019.4,1015.5,212
0,2021-03-12,1017.6,1020.9,1016.0,354
0,2021-03-13,1018.8,1022.0,1013.9,90
0,2021-03-14,1005.5,1012.9,1001.9,357
0,2021-03-15,1003.4,1004.3,1002.4,340
0,2021-03-16,999.4,1003.1,994.1,60
0,2021-03-17,997.8,1003.7,993.9,317
0,2021-03-18,1007.9,1011.0,1004.0,310
0,2021-03-19,1013.7,1016.9,1011.3,311
0,2021-03-20,1019.4,1021.0,1017.3,121
0,2021-03-21,1006.4,1018.6,991.1,329
0,2021-03-22,993.1,1001.9,987.5,47
0,2021-03-23,1007.4,1010.3,1002.2,156
0,2021-03-24,1012.0,1015.7,1008.1,164
0,2021-03-25,1012.6,1015.2,1009.7,21
0,2021-03-26,1008.3,1012.3,1005.9,14
0,2021-03-27,1015.0,1016.9,1012.6,103
0,2021-03-28,1010.8,1014.7,1004.5,104
0,2021-03-29,997.3,1003.1,993.8,34
0,2021-03-30,1001.3,1006.3,995.6,234
0,2021-03-31,1006.6,1008.2,1004.1,327
0,2021-04-01,1013.7,1021.2,1008.2,308
0,2021-04-02,1023.9,1025.6,1021.8,148
0,2021-04-03,1013.9,1023.1,1005.4,203
0,2021-04-04,1006.6,1008.0,1005.3,338
0,2021-04-05,1012.0,1017.9,1007.4,71
0,2021-04-06,1017.7,1019.6,1015.7,132
0,2021-04-07,1010.5,1016.5,1006.3,156
0,2021-04-08,1005.0,1007.2,1003.4,302
0,2021-04-09,1009.2,1015.8,1006.4,311
0,2021-04-10,1021.2,1024.6,1016.5,313
0,2021-04-11,1025.4,1026.9,1024.1,297
0,2021-04-12,1022.6,1026.0,1018.8,192
0,2021-04-13,1007.8,1018.2,996.3,164
0,2021-04-14,1000.3,1006.6,996.4,329
0,2021-04-15,1011.0,1018.0,1007.0,299
0,2021-04-16,1020.7,1022.0,1018.8,147
0,2021-04-17,1015.5,1020.9,1008.3,138
0,2021-04-18,990.8,1007.4,979.9,90
0,2021-04-19,987.5,996.3,980.2,275
0,2021-04-20,999.7,1005.5,995.5,282
0,2021-04-21,1006.7,1008.8,1005.4,305
0,2021-04-22,1014.4,1019.3,1008.4,359
0,2021-04-23,1017.9,1020.0,1015.3,93
0,2021-04-24,1009.6,1016.7,1004.2,349
0,2021-04-25,1005.2,1010.6,1002.8,65
0,2021-04-26,1013.2,1015.1,1010.9,330
0,2021-04-27,1013.5,1015.0,1011.4,316
0,2021-04-28,1011.0,1014.2,1007.5,124
0,2021-04-29,1006.9,1008.2,1005.4,38
0,2021-04-30,992.2,1004.7,985.8,314
0,2021-05-01,997.9,1001.2,991.8,315
0,2021-05-02,995.3,999.9,992.1,343
0,2021-05-03,995.9,999.1,994.2,304
0,2021-05-04,1005.4,1013.9,999.3,308
0,2021-05-05,1009.3,1013.9,1001.9,117
0,2021-05-06,1005.2,1006.9,1002.0,216
0,2021-05-07,1004.1,1007.5,999.9,143
0,2021-05-08,996.2,999.1,993.6,263
0,2021-05-09,994.6,998.1,991.7,157
0,2021-05-10,995.4,1001.2,993.1,304
0,2021-05-11,1007.2,1014.1,1001.5,325
0,2021-05-12,1016.9,1019.1,1014.4,128
0,2021-05-13,1013.0,1018.0,1009.6,50
0,2021-05-14,1007.3,1010.3,1005.1,340
0,2021-05-15,1012.6,1013.9,1010.5,111
0,2021-05-16,1005.2,1012.3,998.2,328
0,2021-05-17,994.5,999.4,992.0,35
0,2021-05-18,1004.3,1008.2,999.5,114
0,2021-05-19,1007.7,1009.1,1006.4,122
0,2021-05-20,1007.2,1008.1,1006.0,130
0,2021-05-21,1005.5,1007.9,1002.8,105
0,2021-05-22,1002.1,1003.1,1000.8,176
0,2021-05-23,1000.8,1001.7,1000.1,56
0,2021-05-24,997.4,1000.2,995.4,338
0,2021-05-25,993.2,996.0,990.7,306
0,2021-05-26,996.4,1001.4,993.7,287
0,2021-05-27,1001.5,1003.7,998.8,92
0,2021-05-28,999.9,1005.2,995.8,124
0,2021-05-29,999.4,1004.7,994.8,125
0,2021-05-30,997.6,1000.4,995.6,354
0,2021-05-31,1005.8,1011.3,1000.7,329
0,2021-06-01,1012.0,1013.5,1010.4,113
0,2021-06-02,1012.5,1014.2,1010.5,109
0,2021-06-03,1011.4,1013.0,1009.7,129
0,2021-06-04,998.1,1009.1,990.2,142
0,2021-06-05,992.9,996.3,990.8,245
0,2021-06-06,998.2,1000.7,996.3,132
0,2021-06-07,1003.4,1005.5,1000.9,314
0,2021-06-08,1005.0,1008.7,1003.4,331
