location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Takamatsu,34.340946,134.09547,5.0,0,GMT,GMT
1,Tadotsu,34.27065,133.8143,4.0,0,GMT,GMT
2,Utsumi (Higashikagawa),34.20035,134.3233,302.0,0,GMT,GMT
3,Kounan (Marugame),34.27065,133.8143,39.0,0,GMT,GMT

location_id,time,wind_direction_10m_dominant (°),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa)
0,2021-01-01,269,1022.4,1023.5,1021.3
0,2021-01-02,282,1024.1,1027.5,1021.7
0,2021-01-03,274,1028.0,1029.7,1025.7
0,2021-01-04,251,1026.8,1030.4,1024.6
0,2021-01-05,281,1020.7,1024.9,1019.1
0,2021-01-06,276,1016.4,1019.3,1012.1
0,2021-01-07,280,1015.6,1017.5,1011.6
0,2021-01-08,273,1016.5,1018.0,1014.9
0,2021-01-09,275,1018.4,1022.4,1015.4
0,2021-01-10,271,1023.9,1027.6,1021.9
0,2021-01-11,214,1021.3,1028.7,1016.6
0,2021-01-12,249,1016.8,1019.0,1014.6
0,2021-01-13,242,1019.1,1021.0,1017.7
0,2021-01-14,213,1022.2,1023.8,1020.7
0,2021-01-15,123,1017.7,1023.3,1014.5
0,2021-01-16,278,1017.1,1019.6,1013.7
0,2021-01-17,280,1020.9,1022.8,1018.5
0,2021-01-18,268,1019.1,1025.1,1015.7
0,2021-01-19,345,1029.6,1032.3,1026.1
0,2021-01-20,122,1029.5,1032.7,1028.3
0,2021-01-21,104,1022.5,1028.4,1018.6
0,2021-01-22,90,1017.6,1019.7,1016.0
0,2021-01-23,110,1016.5,1018.3,1015.5
0,2021-01-24,318,1022.9,1027.1,1018.9
0,2021-01-25,111,1024.2,1027.7,1021.2
0,2021-01-26,162,1014.9,1021.5,1011.6
0,2021-01-27,14,1016.6,1018.5,1014.4
0,2021-01-28,274,1010.7,1015.5,1007.4
0,2021-01-29,279,1020.2,1025.4,1015.5
0,2021-01-30,259,1025.8,1029.0,1023.7
0,2021-01-31,171,1027.9,1030.2,1024.5
0,2021-02-01,275,1016.2,1023.4,1013.4
0,2021-02-02,288,1018.7,1024.0,1014.5
0,2021-02-03,265,1022.5,1024.6,1020.5
0,2021-02-04,268,1022.2,1023.9,1019.9
0,2021-02-05,245,1019.4,1023.9,1017.1
0,2021-02-06,254,1015.4,1017.4,1013.7
0,2021-02-07,267,1015.8,1017.4,1014.3
0,2021-02-08,292,1019.9,1024.7,1014.9
0,2021-02-09,258,1024.1,1025.3,1023.0
0,2021-02-10,254,1022.1,1024.8,1019.7
0,2021-02-11,125,1023.9,1025.7,1022.8
0,2021-02-12,108,1024.9,1025.9,1023.7
0,2021-02-13,126,1022.8,1026.4,1020.3
0,2021-02-14,111,1010.6,1020.4,996.5
0,2021-02-15,271,1003.6,1013.2,997.6
0,2021-02-16,272,1009.7,1012.9,1007.4
0,2021-02-17,282,1010.2,1013.3,1007.5
0,2021-02-18,273,1016.2,1019.6,1012.5
0,2021-02-19,249,1016.8,1020.1,1014.7
0,2021-02-20,254,1013.3,1015.6,1011.2
0,2021-02-21,248,1014.7,1015.7,1013.7
0,2021-02-22,264,1013.0,1018.7,1010.7
0,2021-02-23,3,1020.9,1025.3,1017.5
0,2021-02-24,68,1025.0,1026.6,1022.7
0,2021-02-25,80,1022.6,1026.6,1021.3
0,2021-02-26,64,1023.4,1027.8,1020.6
0,2021-02-27,80,1029.5,1031.3,1027.5
0,2021-02-28,108,1027.6,1031.7,1024.0
0,2021-03-01,129,1013.7,1024.6,1005.0
0,2021-03-02,322,1021.4,1029.5,1010.7
0,2021-03-03,95,1028.8,1030.4,1027.4
0,2021-03-04,100,1023.5,1029.6,1018.9
0,2021-03-05,90,1017.3,1019.9,1015.3
0,2021-03-06,1,1024.9,1027.6,1020.8
0,2021-03-07,81,1024.6,1028.1,1023.3
0,2021-03-08,90,1024.7,1026.0,1022.8
0,2021-03-09,336,1022.6,1025.5,1020.8
0,2021-03-10,44,1027.4,1029.5,1024.7
0,2021-03-11,89,1025.5,1030.2,1023.0
0,2021-03-12,70,1013.7,1022.8,1008.2
0,2021-03-13,297,1015.6,1019.5,1012.2
0,2021-03-14,263,1018.0,1020.4,1015.9
0,2021-03-15,252,1017.2,1020.9,1014.2
0,2021-03-16,66,1013.1,1016.6,1010.8
0,2021-03-17,92,1018.9,1021.8,1015.4
0,2021-03-18,100,1019.3,1021.7,1017.2
0,2021-03-19,97,1018.4,1020.9,1016.7
0,2021-03-20,113,1009.8,1016.8,1004.5
0,2021-03-21,280,1008.9,1015.5,1004.3
0,2021-03-22,281,1018.9,1023.5,1014.9
0,2021-03-23,244,1022.9,1024.5,1021.8
0,2021-03-24,59,1021.4,1025.1,1019.1
0,2021-03-25,255,1019.0,1020.9,1017.5
0,2021-03-26,286,1021.3,1023.0,1019.7
0,2021-03-27,98,1015.4,1022.2,1008.4
0,2021-03-28,256,1005.3,1008.1,1002.9
0,2021-03-29,258,1007.6,1009.7,1005.8
0,2021-03-30,276,1010.8,1014.4,1007.8
0,2021-03-31,107,1015.2,1019.8,1012.3
0,2021-04-01,91,1020.3,1022.3,1018.1
0,2021-04-02,113,1021.2,1022.8,1019.6
0,2021-04-03,132,1014.5,1019.6,1010.2
0,2021-04-04,322,1010.7,1016.0,1007.0
0,2021-04-05,356,1017.4,1018.9,1015.2
0,2021-04-06,294,1016.8,1019.2,1015.4
0,2021-04-07,257,1015.9,1017.8,1013.5
0,2021-04-08,300,1016.6,1022.0,1013.1
0,2021-04-09,37,1026.7,1031.6,1022.3
0,2021-04-10,91,1031.1,1033.0,1028.9
0,2021-04-11,99,1030.1,1033.6,1028.4
0,2021-04-12,124,1021.7,1028.5,1013.9
0,2021-04-13,259,1010.0,1013.8,1008.1
0,2021-04-14,289,1015.4,1021.4,1009.2
0,2021-04-15,99,1019.7,1021.6,1018.3
0,2021-04-16,123,1017.7,1020.6,1014.5
0,2021-04-17,264,1010.5,1015.8,1007.6
0,2021-04-18,270,1013.5,1016.4,1009.9
0,2021-04-19,256,1015.7,1018.7,1013.3
0,2021-04-20,262,1019.7,1022.6,1017.1
0,2021-04-21,102,1021.4,1023.0,1019.2
0,2021-04-22,108,1019.5,1022.0,1018.1
0,2021-04-23,113,1018.7,1020.3,1016.6
0,2021-04-24,32,1017.1,1020.5,1015.0
0,2021-04-25,4,1018.1,1021.7,1014.0
0,2021-04-26,89,1021.4,1023.0,1019.0
0,2021-04-27,46,1020.4,1023.0,1018.9
0,2021-04-28,69,1014.9,1019.9,1008.6
0,2021-04-29,246,1005.9,1008.6,1003.4
0,2021-04-30,238,1006.0,1009.0,1003.0
0,2021-05-01,253,1003.0,1007.3,1000.2
0,2021-05-02,278,1013.7,1018.7,1007.2
0,2021-05-03,248,1018.5,1019.9,1017.0
0,2021-05-04,62,1014.9,1019.2,1010.9
0,2021-05-05,274,1014.4,1019.0,1010.7
0,2021-05-06,282,1015.8,1019.1,1013.2
0,2021-05-07,95,1009.9,1013.1,1008.4
0,2021-05-08,267,1006.2,1009.4,1004.6
0,2021-05-09,263,1009.3,1012.8,1006.3
0,2021-05-10,64,1012.8,1015.1,1010.9
0,2021-05-11,89,1015.0,1016.5,1013.5
0,2021-05-12,91,1012.8,1015.4,1011.0
0,2021-05-13,298,1011.9,1014.4,1010.0
0,2021-05-14,17,1012.8,1013.8,1011.6
0,2021-05-15,116,1011.3,1013.1,1009.8
0,2021-05-16,134,1005.5,1010.6,1002.5
0,2021-05-17,264,1006.6,1010.0,1003.6
0,2021-05-18,264,1009.6,1010.4,1008.0
0,2021-05-19,57,1011.6,1013.2,1010.2
0,2021-05-20,111,1005.2,1011.5,1001.9
0,2021-05-21,254,1006.4,1008.9,1003.6
0,2021-05-22,253,1008.1,1010.6,1006.3
0,2021-05-23,253,1009.4,1010.9,1008.4
0,2021-05-24,291,1006.5,1007.8,1004.4
0,2021-05-25,266,1007.5,1012.1,1003.6
0,2021-05-26,72,1009.4,1013.0,1002.2
0,2021-05-27,253,1003.4,1008.2,999.4
0,2021-05-28,283,1002.8,1007.7,1000.3
0,2021-05-29,263,1006.7,1009.9,1003.8
0,2021-05-30,67,1009.6,1011.6,1007.2
0,2021-05-31,66,1012.1,1015.1,1010.1
0,2021-06-01,64,1014.7,1016.4,1013.0
0,2021-06-02,116,1014.2,1016.9,1011.9
0,2021-06-03,123,1004.5,1012.1,996.4
0,2021-06-04,261,1001.9,1004.7,997.6
0,2021-06-05,259,1006.1,1008.7,1004.6
0,2021-06-06,308,1011.2,1014.7,1008.8
0,2021-06-07,277,1014.6,1015.3,1013.4
0,2021-06-08,284,1014.6,1016.5,1013.0
0,2021-06-09,107,1015.5,1016.5,1013.9
0,2021-06-10,117,1015.8,1017.0,1014.4
0,2021-06-11,126,1015.1,1016.1,1014.5
0,2021-06-12,76,1013.0,1015.7,1011.4
0,2021-06-13,93,1008.2,1012.0,1006.9
0,2021-06-14,348,1005.4,1007.0,1003.9
0,2021-06-15,56,1004.1,1005.4,1002.2
0,2021-06-16,89,1003.7,1005.1,1001.9
0,2021-06-17,57,1004.5,1005.5,1003.9
0,2021-06-18,51,1001.2,1004.5,998.5
0,2021-06-19,274,999.3,1002.2,996.9
0,2021-06-20,166,1002.5,1004.0,1000.7
0,2021-06-21,337,1004.4,1007.8,1002.6
0,2021-06-22,73,1008.2,1009.8,1006.4
0,2021-06-23,54,1010.1,1011.4,1008.3
0,2021-06-24,67,1010.6,1011.5,1009.1
0,2021-06-25,32,1011.0,1011.9,1009.7
0,2021-06-26,86,1010.8,1012.8,1009.3
0,2021-06-27,107,1006.0,1009.1,1004.9
0,2021-06-28,70,1002.7,1004.8,1001.5
0,2021-06-29,52,1005.1,1007.7,1003.1
0,2021-06-30,102,1007.2,1008.4,1006.0
0,2021-07-01,92,1006.0,1007.3,1005.0
0,2021-07-02,354,1007.0,1008.6,1005.6
0,2021-07-03,15,1009.6,1010.6,1008.4
0,2021-07-04,296,1010.1,1011.8,1008.5
0,2021-07-05,258,1010.8,1011.3,1010.1
0,2021-07-06,260,1009.8,1011.0,1008.9
0,2021-07-07,251,1008.1,1009.8,1005.4
0,2021-07-08,255,1006.1,1007.8,1004.7
0,2021-07-09,260,1007.9,1010.4,1005.9
