location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kagoshima,31.599297,130.52695,7.0,32400,Asia/Tokyo,GMT+9
1,Yakushima,30.404217,130.56339,692.0,32400,Asia/Tokyo,GMT+9
2,Naze (Amami),28.365553,129.53462,5.0,32400,Asia/Tokyo,GMT+9
3,Makurazaki,31.3181,130.22646,6.0,32400,Asia/Tokyo,GMT+9
4,Ibusuki,31.247803,130.60715,4.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1024.1,1025.5,1023.3,348
0,2021-01-02,1024.4,1026.7,1022.9,339
0,2021-01-03,1027.6,1029.3,1026.3,346
0,2021-01-04,1026.4,1028.1,1024.4,24
0,2021-01-05,1022.3,1024.1,1019.7,351
0,2021-01-06,1021.0,1022.7,1019.9,328
0,2021-01-07,1019.0,1021.0,1017.0,330
0,2021-01-08,1019.6,1020.9,1017.3,346
0,2021-01-09,1020.1,1022.3,1017.7,335
0,2021-01-10,1024.5,1026.5,1022.5,343
0,2021-01-11,1023.4,1026.8,1020.2,14
0,2021-01-12,1017.4,1019.3,1015.8,334
0,2021-01-13,1019.4,1021.1,1018.2,307
0,2021-01-14,1021.4,1022.8,1019.9,332
0,2021-01-15,1019.3,1021.8,1016.7,36
0,2021-01-16,1017.6,1020.9,1016.0,319
0,2021-01-17,1022.7,1024.8,1021.2,332
0,2021-01-18,1022.1,1024.5,1019.3,309
0,2021-01-19,1025.2,1028.0,1021.8,335
0,2021-01-20,1027.6,1029.4,1026.2,76
0,2021-01-21,1023.8,1027.4,1020.3,57
0,2021-01-22,1016.8,1020.0,1014.2,119
0,2021-01-23,1011.0,1014.1,1008.6,52
0,2021-01-24,1015.5,1020.4,1011.7,29
0,2021-01-25,1021.2,1023.2,1020.3,66
0,2021-01-26,1016.0,1020.0,1013.1,114
0,2021-01-27,1014.5,1016.7,1013.2,336
0,2021-01-28,1013.7,1016.3,1012.2,315
0,2021-01-29,1021.0,1025.4,1017.0,325
0,2021-01-30,1027.1,1028.9,1025.8,331
0,2021-01-31,1028.5,1030.4,1026.7,312
0,2021-02-01,1021.5,1027.6,1016.2,192
0,2021-02-02,1019.5,1023.0,1015.9,319
0,2021-02-03,1024.8,1026.6,1023.0,324
0,2021-02-04,1024.1,1025.6,1022.6,311
0,2021-02-05,1022.1,1024.2,1018.9,317
0,2021-02-06,1016.4,1018.0,1015.0,318
