location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kumamoto,32.794376,130.70905,14.0,32400,Asia/Tokyo,GMT+9
1,Amakusa (Hondo),32.51318,130.18248,0.0,32400,Asia/Tokyo,GMT+9
2,Hitoyoshi,32.231983,130.75061,107.0,32400,Asia/Tokyo,GMT+9
3,Aso,32.93497,131.02942,494.0,32400,Asia/Tokyo,GMT+9
4,Minamata,32.231983,130.42374,4.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1023.4,1024.8,1022.3,358
0,2021-01-02,1023.9,1026.1,1022.5,5
0,2021-01-03,1028.1,1029.6,1025.7,356
0,2021-01-04,1026.9,1029.2,1024.7,0
0,2021-01-05,1022.4,1024.3,1020.0,356
0,2021-01-06,1020.9,1022.9,1019.8,329
0,2021-01-07,1018.8,1021.0,1015.7,321
0,2021-01-08,1019.4,1020.9,1017.6,350
0,2021-01-09,1019.9,1021.3,1018.2,332
0,2021-01-10,1024.1,1025.9,1021.3,357
0,2021-01-11,1022.8,1026.5,1019.1,73
0,2021-01-12,1016.7,1018.4,1014.9,344
0,2021-01-13,1018.2,1019.6,1017.3,154
0,2021-01-14,1020.3,1021.8,1019.2,136
0,2021-01-15,1018.2,1021.0,1015.0,133
0,2021-01-16,1017.1,1020.4,1014.7,303
0,2021-01-17,1022.5,1024.1,1020.4,328
0,2021-01-18,1021.1,1023.7,1018.4,236
0,2021-01-19,1025.2,1027.8,1021.8,339
0,2021-01-20,1027.1,1028.7,1025.6,50
0,2021-01-21,1022.7,1026.5,1018.9,101
0,2021-01-22,1015.9,1018.7,1013.3,17
0,2021-01-23,1010.8,1013.3,1008.6,34
0,2021-01-24,1016.2,1021.1,1011.1,5
0,2021-01-25,1020.8,1023.5,1018.8,32
0,2021-01-26,1014.7,1019.5,1011.3,197
0,2021-01-27,1014.9,1017.3,1012.8,353
0,2021-01-28,1013.3,1016.6,1011.2,293
0,2021-01-29,1021.1,1024.5,1016.8,316
0,2021-01-30,1026.3,1027.9,1024.7,175
0,2021-01-31,1027.4,1029.5,1025.8,88
0,2021-02-01,1019.3,1026.4,1014.6,201
0,2021-02-02,1019.2,1022.8,1016.3,303
0,2021-02-03,1024.2,1026.1,1023.0,294
0,2021-02-04,1023.1,1023.8,1022.4,321
0,2021-02-05,1021.5,1023.6,1018.2,100
0,2021-02-06,1015.9,1017.9,1014.5,307
0,2021-02-07,1017.4,1018.5,1016.5,247
0,2021-02-08,1020.0,1023.3,1017.8,312
0,2021-02-09,1024.2,1025.9,1023.0,349
0,2021-02-10,1023.1,1024.7,1021.2,327
0,2021-02-11,1021.7,1023.6,1020.0,28
0,2021-02-12,1021.0,1021.9,1019.8,50
0,2021-02-13,1020.5,1022.3,1018.7,80
