location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Miyazaki,31.95079,131.42169,9.0,32400,Asia/Tokyo,GMT+9
1,Nobeoka,32.583477,131.65651,1.0,32400,Asia/Tokyo,GMT+9
2,Takachiho,32.724075,131.31868,325.0,32400,Asia/Tokyo,GMT+9
3,Kushima,31.458698,131.1828,5.0,32400,Asia/Tokyo,GMT+9
4,Kobayashi,31.95079,130.98796,190.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1023.3,1025.0,1022.0,266
0,2021-01-02,1023.6,1026.0,1021.5,266
0,2021-01-03,1026.8,1028.2,1025.5,253
0,2021-01-04,1026.8,1028.3,1025.0,9
0,2021-01-05,1021.8,1024.2,1019.4,314
0,2021-01-06,1019.5,1021.7,1017.8,279
0,2021-01-07,1017.6,1020.2,1014.8,284
0,2021-01-08,1018.8,1020.3,1016.2,286
0,2021-01-09,1019.1,1020.9,1016.2,278
0,2021-01-10,1023.6,1025.7,1020.9,271
0,2021-01-11,1023.4,1026.9,1020.2,289
0,2021-01-12,1016.5,1019.8,1014.2,275
0,2021-01-13,1019.1,1021.1,1017.2,259
0,2021-01-14,1021.2,1022.6,1019.7,248
0,2021-01-15,1019.1,1021.7,1016.7,257
0,2021-01-16,1016.2,1018.4,1014.3,268
0,2021-01-17,1020.9,1023.7,1018.9,279
0,2021-01-18,1020.9,1023.5,1018.2,269
0,2021-01-19,1024.7,1028.3,1020.6,294
0,2021-01-20,1028.2,1030.3,1026.9,322
0,2021-01-21,1024.5,1028.1,1020.7,283
0,2021-01-22,1016.6,1020.2,1014.0,291
0,2021-01-23,1011.3,1014.3,1008.8,26
0,2021-01-24,1015.9,1020.8,1012.0,39
0,2021-01-25,1022.2,1024.2,1021.0,41
0,2021-01-26,1016.0,1020.8,1012.1,264
0,2021-01-27,1013.8,1015.6,1011.8,19
0,2021-01-28,1012.3,1014.9,1009.4,278
0,2021-01-29,1018.8,1023.8,1014.4,285
0,2021-01-30,1025.8,1028.2,1024.2,257
0,2021-01-31,1028.3,1030.1,1026.9,252
0,2021-02-01,1021.0,1027.6,1014.7,241
0,2021-02-02,1017.4,1021.3,1014.1,273
0,2021-02-03,1023.0,1025.4,1021.3,263
0,2021-02-04,1022.6,1024.4,1021.0,263
0,2021-02-05,1021.2,1023.8,1018.7,264
0,2021-02-06,1016.0,1018.0,1014.0,275
0,2021-02-07,1016.9,1018.3,1015.2,266
0,2021-02-08,1018.5,1022.3,1016.7,270
0,2021-02-09,1023.3,1024.9,1022.1,261
0,2021-02-10,1022.3,1024.4,1019.4,252
0,2021-02-11,1022.3,1024.2,1021.3,352
0,2021-02-12,1021.8,1023.1,1020.4,44
0,2021-02-13,1021.8,1022.9,1020.5,51
0,2021-02-14,1014.4,1020.3,1005.9,60
0,2021-02-15,1003.9,1009.0,999.5,280
0,2021-02-16,1012.4,1014.5,1009.3,271
0,2021-02-17,1012.4,1014.9,1010.8,283
0,2021-02-18,1016.1,1019.6,1014.4,290
0,2021-02-19,1019.4,1021.5,1016.9,268
0,2021-02-20,1016.4,1018.0,1013.9,247
0,2021-02-21,1016.8,1018.2,1015.6,257
0,2021-02-22,1014.9,1016.8,1012.6,241
0,2021-02-23,1016.4,1019.3,1014.3,324
0,2021-02-24,1020.6,1022.0,1019.1,38
0,2021-02-25,1020.2,1022.3,1017.3,17
0,2021-02-26,1014.6,1017.2,1013.0,21
0,2021-02-27,1021.9,1026.0,1017.4,46
0,2021-02-28,1024.7,1025.7,1023.6,98
0,2021-03-01,1019.0,1023.3,1012.9,136
0,2021-03-02,1013.5,1023.4,1007.7,288
