location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nagasaki,32.724075,129.8901,15.0,32400,Asia/Tokyo,GMT+9
1,Sasebo,33.14587,129.7417,0.0,32400,Asia/Tokyo,GMT+9
2,Hirado,33.356766,129.55556,31.0,32400,Asia/Tokyo,GMT+9
3,Tsushima (Izuhara),34.20035,129.24812,141.0,32400,Asia/Tokyo,GMT+9
4,Fukue (Goto Islands),32.724075,128.79121,6.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1023.3,1024.8,1022.1,339
0,2021-01-02,1023.8,1026.0,1021.9,357
0,2021-01-03,1028.2,1029.7,1025.9,3
0,2021-01-04,1027.0,1029.2,1024.9,30
0,2021-01-05,1022.7,1024.5,1020.2,353
0,2021-01-06,1021.0,1023.1,1019.1,334
0,2021-01-07,1018.9,1020.9,1015.9,319
0,2021-01-08,1019.3,1020.6,1018.0,348
0,2021-01-09,1019.6,1020.9,1018.3,342
0,2021-01-10,1024.0,1025.8,1021.3,349
0,2021-01-11,1022.6,1025.8,1018.9,55
0,2021-01-12,1016.8,1018.0,1015.5,350
0,2021-01-13,1017.7,1018.9,1016.7,270
0,2021-01-14,1019.9,1021.3,1019.0,245
0,2021-01-15,1017.8,1020.4,1014.8,157
0,2021-01-16,1017.6,1020.7,1014.7,317
0,2021-01-17,1023.0,1024.5,1020.7,334
0,2021-01-18,1020.9,1023.6,1018.2,297
0,2021-01-19,1025.4,1027.9,1022.1,358
0,2021-01-20,1026.9,1028.4,1025.7,57
0,2021-01-21,1022.4,1026.1,1018.9,114
0,2021-01-22,1015.7,1018.4,1013.4,153
0,2021-01-23,1010.7,1013.4,1008.9,34
0,2021-01-24,1016.6,1021.0,1011.2,23
0,2021-01-25,1020.7,1022.9,1018.9,51
0,2021-01-26,1014.4,1019.2,1011.0,146
0,2021-01-27,1015.6,1017.5,1014.0,7
0,2021-01-28,1013.7,1016.9,1011.7,317
0,2021-01-29,1021.3,1024.4,1017.6,327
0,2021-01-30,1026.0,1027.5,1024.5,324
0,2021-01-31,1027.1,1029.2,1025.8,123
0,2021-02-01,1018.7,1025.2,1014.9,187
0,2021-02-02,1019.8,1022.9,1016.2,320
0,2021-02-03,1024.4,1025.7,1023.2,322
0,2021-02-04,1023.0,1023.6,1021.9,304
0,2021-02-05,1021.1,1023.3,1017.9,120
0,2021-02-06,1015.9,1017.4,1014.7,10
0,2021-02-07,1017.5,1018.5,1016.4,298
0,2021-02-08,1020.5,1023.8,1017.9,328
0,2021-02-09,1024.4,1026.0,1023.1,349
0,2021-02-10,1023.0,1024.6,1021.4,345
0,2021-02-11,1021.6,1023.3,1020.3,42
0,2021-02-12,1020.9,1021.7,1020.1,27
0,2021-02-13,1020.4,1022.1,1018.8,50
0,2021-02-14,1013.0,1019.1,1005.7,50
0,2021-02-15,1006.8,1013.0,1002.6,304
0,2021-02-16,1013.9,1016.0,1012.2,300
0,2021-02-17,1014.5,1016.8,1012.5,312
0,2021-02-18,1017.5,1019.7,1016.1,325
0,2021-02-19,1019.3,1020.5,1017.7,293
0,2021-02-20,1015.5,1017.2,1014.0,238
0,2021-02-21,1015.9,1016.7,1015.4,228
0,2021-02-22,1013.9,1015.8,1012.0,236
0,2021-02-23,1017.8,1020.1,1015.6,345
0,2021-02-24,1020.3,1021.6,1019.3,38
0,2021-02-25,1018.2,1020.7,1014.6,62
0,2021-02-26,1012.5,1015.9,1010.1,42
0,2021-02-27,1020.5,1023.4,1016.3,42
0,2021-02-28,1022.5,1024.1,1020.9,79
0,2021-03-01,1016.0,1021.1,1008.8,159
0,2021-03-02,1016.0,1024.5,1007.9,349
0,2021-03-03,1025.6,1027.5,1024.1,45
0,2021-03-04,1021.4,1025.9,1014.6,88
0,2021-03-05,1012.8,1016.6,1010.2,19
0,2021-03-06,1018.8,1022.0,1016.9,21
0,2021-03-07,1021.7,1022.7,1020.7,33
0,2021-03-08,1021.5,1022.9,1020.3,22
0,2021-03-09,1021.1,1022.6,1019.2,2
0,2021-03-10,1023.0,1025.6,1021.5,22
0,2021-03-11,1023.8,1027.1,1021.1,100
0,2021-03-12,1014.2,1020.7,1010.3,183
0,2021-03-13,1016.4,1017.9,1013.3,348
0,2021-03-14,1018.0,1019.6,1017.1,322
0,2021-03-15,1017.7,1019.7,1015.9,145
0,2021-03-16,1013.4,1016.1,1012.0,219
0,2021-03-17,1013.8,1015.8,1012.7,12
0,2021-03-18,1015.0,1016.9,1013.5,26
0,2021-03-19,1014.5,1015.9,1012.9,56
0,2021-03-20,1009.5,1014.2,1006.4,124
0,2021-03-21,1009.6,1014.9,1005.9,309
0,2021-03-22,1018.7,1021.4,1015.4,325
0,2021-03-23,1022.4,1024.0,1021.4,306
0,2021-03-24,1020.6,1023.4,1018.4,151
0,2021-03-25,1018.1,1019.1,1017.0,352
0,2021-03-26,1019.2,1021.6,1017.6,46
0,2021-03-27,1014.8,1019.1,1009.7,166
0,2021-03-28,1005.9,1009.1,1004.1,198
0,2021-03-29,1008.2,1009.5,1007.4,258
0,2021-03-30,1008.4,1010.3,1007.0,353
0,2021-03-31,1010.7,1011.9,1009.6,52
0,2021-04-01,1012.8,1014.8,1011.7,77
0,2021-04-02,1015.0,1016.0,1014.0,100
0,2021-04-03,1012.8,1015.9,1010.4,145
0,2021-04-04,1009.2,1011.9,1007.4,314
0,2021-04-05,1014.1,1015.8,1012.1,18
0,2021-04-06,1015.6,1017.4,1014.3,2
0,2021-04-07,1016.1,1017.7,1014.0,358
0,2021-04-08,1015.2,1016.0,1014.0,288
0,2021-04-09,1018.7,1023.4,1015.5,32
0,2021-04-10,1025.5,1027.4,1023.4,46
0,2021-04-11,1026.9,1028.8,1025.0,72
0,2021-04-12,1020.6,1026.0,1014.9,130
0,2021-04-13,1011.8,1014.7,1010.5,236
0,2021-04-14,1014.2,1017.0,1012.6,338
0,2021-04-15,1016.8,1018.1,1015.9,37
0,2021-04-16,1016.0,1017.2,1015.0,121
0,2021-04-17,1012.9,1015.3,1010.8,297
0,2021-04-18,1014.9,1017.1,1014.0,314
0,2021-04-19,1016.2,1017.2,1015.1,284
