location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Oita,33.216167,131.67488,6.0,32400,Asia/Tokyo,GMT+9
1,Nakatsu,33.56766,131.26395,5.0,32400,Asia/Tokyo,GMT+9
2,Saeki,32.93497,131.91176,4.0,32400,Asia/Tokyo,GMT+9
3,Hita,33.286465,130.94945,91.0,32400,Asia/Tokyo,GMT+9
4,Beppu,33.286465,131.50432,52.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1023.5,1025.3,1021.6,299
0,2021-01-02,1024.2,1026.4,1023.0,298
0,2021-01-03,1028.6,1030.5,1026.1,316
0,2021-01-04,1028.4,1030.4,1026.5,329
0,2021-01-05,1023.3,1026.0,1020.9,339
0,2021-01-06,1020.6,1022.1,1019.4,311
0,2021-01-07,1017.7,1020.4,1015.0,289
0,2021-01-08,1019.3,1020.3,1017.6,294
0,2021-01-09,1019.6,1020.8,1017.9,296
0,2021-01-10,1024.0,1025.8,1020.6,303
0,2021-01-11,1024.0,1027.8,1019.9,109
0,2021-01-12,1017.3,1019.3,1015.3,304
0,2021-01-13,1018.9,1020.4,1017.5,194
0,2021-01-14,1021.2,1022.5,1020.3,175
0,2021-01-15,1019.3,1022.2,1016.2,190
0,2021-01-16,1016.9,1020.0,1015.0,305
0,2021-01-17,1022.2,1024.3,1019.9,311
0,2021-01-18,1020.7,1023.8,1017.4,262
0,2021-01-19,1026.3,1030.1,1021.2,336
0,2021-01-20,1029.3,1031.2,1028.0,23
0,2021-01-21,1024.6,1028.4,1020.2,173
0,2021-01-22,1017.2,1019.7,1015.6,116
0,2021-01-23,1014.2,1016.1,1012.4,6
0,2021-01-24,1018.8,1023.6,1014.5,2
0,2021-01-25,1024.2,1026.5,1022.8,355
0,2021-01-26,1016.4,1022.3,1011.2,185
0,2021-01-27,1016.4,1018.1,1014.0,334
0,2021-01-28,1013.1,1016.7,1009.8,308
0,2021-01-29,1019.7,1023.9,1015.3,305
0,2021-01-30,1025.9,1027.6,1024.2,284
0,2021-01-31,1028.4,1030.4,1027.3,155
0,2021-02-01,1019.7,1027.6,1014.7,189
0,2021-02-02,1018.3,1022.0,1015.4,318
0,2021-02-03,1023.8,1026.0,1022.1,315
0,2021-02-04,1022.9,1024.0,1021.8,275
0,2021-02-05,1021.9,1024.2,1018.7,156
0,2021-02-06,1016.6,1018.5,1014.4,127
0,2021-02-07,1017.4,1018.6,1016.4,290
0,2021-02-08,1019.3,1023.4,1017.0,312
0,2021-02-09,1024.4,1025.7,1023.0,330
0,2021-02-10,1023.3,1025.1,1020.9,147
0,2021-02-11,1023.2,1025.2,1022.1,176
0,2021-02-12,1023.1,1024.3,1021.9,160
0,2021-02-13,1023.6,1025.3,1022.1,166
0,2021-02-14,1016.1,1021.8,1008.6,140
0,2021-02-15,1004.5,1009.7,1001.7,294
0,2021-02-16,1012.5,1015.2,1010.1,308
0,2021-02-17,1012.6,1015.1,1010.7,292
0,2021-02-18,1016.7,1020.5,1015.1,305
0,2021-02-19,1019.4,1021.3,1017.3,165
0,2021-02-20,1015.1,1017.6,1013.0,210
0,2021-02-21,1015.7,1016.9,1014.6,218
0,2021-02-22,1013.8,1015.9,1011.3,218
0,2021-02-23,1018.4,1021.4,1014.0,338
0,2021-02-24,1022.7,1023.9,1021.7,23
0,2021-02-25,1021.9,1024.4,1019.7,60
0,2021-02-26,1019.0,1020.9,1017.8,27
0,2021-02-27,1025.3,1027.5,1020.9,24
0,2021-02-28,1026.8,1028.7,1025.2,122
0,2021-03-01,1019.0,1024.8,1010.5,148
0,2021-03-02,1015.7,1025.7,1006.4,333
0,2021-03-03,1027.9,1030.6,1025.9,6
0,2021-03-04,1024.8,1028.6,1019.0,124
0,2021-03-05,1015.4,1018.4,1013.0,77
0,2021-03-06,1020.9,1025.6,1017.7,360
0,2021-03-07,1024.9,1026.4,1023.6,17
0,2021-03-08,1023.3,1024.9,1022.2,355
0,2021-03-09,1022.5,1024.2,1020.8,342
0,2021-03-10,1024.7,1027.9,1022.2,337
0,2021-03-11,1026.5,1029.4,1023.7,358
0,2021-03-12,1016.0,1023.3,1010.0,150
0,2021-03-13,1015.7,1018.4,1010.9,322
0,2021-03-14,1018.2,1019.9,1016.8,317
0,2021-03-15,1018.8,1021.0,1017.3,166
0,2021-03-16,1013.5,1017.1,1011.4,179
0,2021-03-17,1015.1,1017.6,1013.4,5
0,2021-03-18,1018.0,1020.1,1016.3,8
0,2021-03-19,1017.2,1018.7,1016.0,22
0,2021-03-20,1012.3,1017.1,1007.7,159
0,2021-03-21,1008.0,1013.5,1004.9,317
0,2021-03-22,1017.7,1021.7,1013.7,310
0,2021-03-23,1022.8,1024.6,1021.8,178
0,2021-03-24,1021.9,1024.6,1019.7,180
0,2021-03-25,1019.2,1020.4,1017.7,20
0,2021-03-26,1020.4,1022.1,1019.3,148
0,2021-03-27,1017.5,1020.9,1013.0,153
0,2021-03-28,1006.5,1012.0,1003.3,168
0,2021-03-29,1007.7,1009.3,1006.5,113
0,2021-03-30,1009.4,1012.1,1008.2,337
0,2021-03-31,1012.8,1014.4,1011.9,45
0,2021-04-01,1016.7,1018.4,1014.1,10
0,2021-04-02,1019.3,1020.4,1018.5,131
0,2021-04-03,1016.8,1020.1,1013.7,144
0,2021-04-04,1010.0,1013.2,1007.5,308
0,2021-04-05,1015.3,1017.5,1013.3,351
0,2021-04-06,1017.0,1018.2,1015.3,357
0,2021-04-07,1016.7,1018.1,1015.1,317
0,2021-04-08,1015.9,1017.2,1014.5,3
0,2021-04-09,1021.2,1026.7,1017.2,22
0,2021-04-10,1029.2,1031.3,1027.1,26
0,2021-04-11,1029.9,1032.0,1028.1,112
0,2021-04-12,1024.0,1029.2,1019.1,148
0,2021-04-13,1012.1,1018.3,1008.9,153
0,2021-04-14,1013.5,1018.0,1010.6,332
0,2021-04-15,1019.1,1020.6,1018.1,30
0,2021-04-16,1018.3,1020.1,1017.3,174
0,2021-04-17,1013.0,1016.6,1009.0,234
0,2021-04-18,1013.7,1017.4,1011.9,302
0,2021-04-19,1016.4,1017.5,1015.0,147
0,2021-04-20,1018.8,1020.4,1017.5,160
0,2021-04-21,1021.0,1022.3,1020.0,89
0,2021-04-22,1019.3,1021.2,1017.6,15
0,2021-04-23,1017.4,1018.4,1016.4,132
0,2021-04-24,1018.1,1019.9,1016.6,142
0,2021-04-25,1015.9,1018.9,1014.1,341
0,2021-04-26,1020.5,1021.9,1019.1,13
0,2021-04-27,1020.1,1021.3,1018.4,165
0,2021-04-28,1017.1,1019.7,1014.3,229
0,2021-04-29,1007.9,1013.3,1005.5,180
0,2021-04-30,1005.9,1008.4,1004.2,205
0,2021-05-01,1004.3,1008.7,1001.7,251
0,2021-05-02,1012.2,1018.8,1007.2,291
0,2021-05-03,1019.1,1020.6,1017.9,150
0,2021-05-04,1016.6,1019.2,1013.1,168
0,2021-05-05,1011.6,1016.7,1008.1,215
0,2021-05-06,1017.0,1019.0,1015.2,138
0,2021-05-07,1011.2,1014.9,1007.9,181
0,2021-05-08,1007.6,1009.5,1005.2,220
0,2021-05-09,1008.2,1011.2,1005.2,318
0,2021-05-10,1011.8,1012.9,1010.8,63
0,2021-05-11,1012.8,1014.1,1011.7,27
0,2021-05-12,1011.6,1013.0,1009.6,54
0,2021-05-13,1011.0,1012.3,1010.2,341
0,2021-05-14,1012.1,1013.5,1010.9,153
0,2021-05-15,1011.4,1012.5,1009.5,147
0,2021-05-16,1007.3,1010.4,1004.5,175
0,2021-05-17,1005.5,1008.5,1004.2,184
0,2021-05-18,1009.7,1010.9,1008.7,87
0,2021-05-19,1010.7,1012.5,1009.3,33
0,2021-05-20,1007.1,1011.3,1004.1,165
0,2021-05-21,1005.9,1009.2,1002.1,198
0,2021-05-22,1009.0,1009.9,1007.9,209
0,2021-05-23,1010.3,1011.7,1009.0,100
0,2021-05-24,1007.0,1009.7,1004.2,36
0,2021-05-25,1007.7,1009.1,1005.5,206
0,2021-05-26,1010.9,1013.1,1009.2,178
0,2021-05-27,1002.9,1009.2,1000.2,117
0,2021-05-28,1004.6,1007.9,1001.5,168
0,2021-05-29,1005.0,1008.5,1001.8,337
0,2021-05-30,1008.6,1010.1,1007.6,133
0,2021-05-31,1010.6,1012.9,1009.5,20
0,2021-06-01,1013.4,1015.1,1011.9,99
0,2021-06-02,1014.7,1016.2,1013.8,150
0,2021-06-03,1008.4,1013.4,1002.7,141
0,2021-06-04,1000.7,1004.0,997.7,14
0,2021-06-05,1005.2,1006.7,1004.0,175
0,2021-06-06,1008.6,1011.9,1005.7,151
0,2021-06-07,1014.0,1015.5,1011.6,150
0,2021-06-08,1014.7,1015.9,1013.7,349
