location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Naha,26.18629,127.69737,12.0,32400,Asia/Tokyo,GMT+9
1,Ishigakishima,24.358522,124.15778,13.0,32400,Asia/Tokyo,GMT+9
2,Miyakoshima,24.780315,125.343346,19.0,32400,Asia/Tokyo,GMT+9
3,Nago,26.608084,127.94702,6.0,32400,Asia/Tokyo,GMT+9
4,Yonagunishima,24.428822,123.041626,31.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1021.8,1023.2,1020.4,17
0,2021-01-02,1021.9,1023.6,1020.1,16
0,2021-01-03,1021.6,1023.7,1019.9,68
0,2021-01-04,1019.1,1020.8,1016.6,74
0,2021-01-05,1015.3,1017.2,1013.2,32
0,2021-01-06,1017.3,1019.3,1015.8,32
0,2021-01-07,1018.1,1020.2,1016.5,10
0,2021-01-08,1019.5,1021.0,1017.7,344
0,2021-01-09,1020.6,1022.1,1019.5,339
0,2021-01-10,1022.1,1023.3,1020.9,12
0,2021-01-11,1020.0,1022.2,1017.3,29
0,2021-01-12,1018.0,1019.4,1016.3,348
0,2021-01-13,1018.8,1019.9,1017.7,31
0,2021-01-14,1018.2,1019.5,1016.8,43
0,2021-01-15,1015.0,1016.8,1013.4,64
0,2021-01-16,1015.7,1018.1,1013.3,28
0,2021-01-17,1020.7,1022.8,1018.2,13
0,2021-01-18,1021.7,1023.1,1020.4,5
0,2021-01-19,1022.7,1023.6,1021.7,52
0,2021-01-20,1021.4,1022.7,1020.1,78
0,2021-01-21,1018.3,1020.4,1016.5,103
0,2021-01-22,1011.6,1016.5,1007.8,115
0,2021-01-23,1007.4,1011.7,1004.4,65
0,2021-01-24,1015.3,1017.7,1012.2,349
0,2021-01-25,1016.4,1018.0,1014.7,57
0,2021-01-26,1014.6,1015.7,1013.1,18
0,2021-01-27,1015.4,1016.9,1013.9,347
0,2021-01-28,1016.6,1020.2,1014.5,329
0,2021-01-29,1022.2,1023.7,1020.1,356
0,2021-01-30,1024.5,1025.8,1023.4,44
0,2021-01-31,1024.6,1026.5,1023.1,80
0,2021-02-01,1020.5,1023.9,1018.0,129
0,2021-02-02,1018.9,1022.1,1017.0,1
0,2021-02-03,1023.0,1024.6,1021.6,34
0,2021-02-04,1023.2,1025.1,1022.0,38
0,2021-02-05,1020.7,1023.1,1018.7,101
0,2021-02-06,1017.6,1019.1,1016.3,225
0,2021-02-07,1017.9,1019.3,1017.0,15
0,2021-02-08,1020.0,1022.2,1018.4,18
0,2021-02-09,1021.7,1022.7,1020.5,39
0,2021-02-10,1019.0,1021.6,1017.2,71
0,2021-02-11,1011.9,1016.9,1006.7,88
0,2021-02-12,1010.3,1013.0,1006.9,64
0,2021-02-13,1012.6,1014.1,1011.2,49
0,2021-02-14,1009.3,1011.8,1007.2,336
0,2021-02-15,1012.4,1016.6,1009.2,331
0,2021-02-16,1016.7,1018.4,1015.7,1
0,2021-02-17,1018.4,1022.4,1015.5,0
0,2021-02-18,1022.7,1024.1,1021.6,334
0,2021-02-19,1021.8,1023.3,1020.1,359
0,2021-02-20,1020.4,1022.0,1019.0,335
0,2021-02-21,1019.0,1021.2,1017.7,136
0,2021-02-22,1017.1,1018.6,1015.7,171
0,2021-02-23,1016.3,1017.8,1014.4,49
0,2021-02-24,1015.5,1016.7,1014.0,63
0,2021-02-25,1012.8,1015.1,1010.2,114
0,2021-02-26,1007.8,1009.8,1006.3,200
0,2021-02-27,1010.2,1012.5,1008.3,317
0,2021-02-28,1013.5,1015.4,1012.0,297
0,2021-03-01,1014.7,1016.4,1013.2,104
0,2021-03-02,1016.3,1020.6,1012.9,354
0,2021-03-03,1020.6,1022.1,1019.5,57
0,2021-03-04,1018.2,1020.7,1015.9,151
0,2021-03-05,1017.3,1018.5,1015.9,347
0,2021-03-06,1017.2,1018.2,1015.6,84
0,2021-03-07,1016.2,1017.6,1014.6,75
0,2021-03-08,1017.8,1019.2,1016.5,17
0,2021-03-09,1018.1,1019.7,1016.5,327
0,2021-03-10,1020.7,1022.6,1019.2,25
0,2021-03-11,1020.7,1022.5,1018.8,116
0,2021-03-12,1017.9,1019.7,1016.3,254
0,2021-03-13,1017.9,1019.3,1016.8,1
0,2021-03-14,1017.3,1018.3,1016.2,45
0,2021-03-15,1016.9,1018.2,1015.5,108
0,2021-03-16,1015.2,1016.8,1013.9,152
0,2021-03-17,1014.1,1015.2,1013.0,168
0,2021-03-18,1013.5,1014.8,1012.2,70
0,2021-03-19,1012.6,1013.7,1011.3,82
0,2021-03-20,1011.0,1012.2,1009.6,194
0,2021-03-21,1013.5,1018.4,1010.3,344
0,2021-03-22,1020.2,1023.1,1018.0,1
0,2021-03-23,1022.0,1024.4,1020.2,52
0,2021-03-24,1016.6,1020.0,1013.7,128
0,2021-03-25,1014.4,1017.4,1011.7,337
0,2021-03-26,1016.8,1018.1,1015.7,86
0,2021-03-27,1013.4,1016.6,1011.2,140
0,2021-03-28,1009.1,1011.6,1007.4,194
0,2021-03-29,1008.3,1009.7,1007.1,225
0,2021-03-30,1006.5,1007.7,1005.3,228
0,2021-03-31,1007.6,1008.7,1006.5,104
0,2021-04-01,1008.4,1009.5,1007.5,161
0,2021-04-02,1009.7,1011.0,1008.4,188
0,2021-04-03,1009.9,1011.1,1008.5,330
0,2021-04-04,1011.0,1013.3,1009.2,344
0,2021-04-05,1013.5,1015.1,1012.5,351
0,2021-04-06,1014.7,1015.9,1013.8,356
0,2021-04-07,1014.8,1016.1,1013.0,25
0,2021-04-08,1014.1,1015.2,1012.8,50
0,2021-04-09,1015.4,1017.7,1013.6,57
0,2021-04-10,1018.9,1021.1,1017.0,80
0,2021-04-11,1020.9,1022.4,1019.5,83
