location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Saga,33.286465,130.2836,6.0,32400,Asia/Tokyo,GMT+9
1,Karatsu,33.427063,129.9382,8.0,32400,Asia/Tokyo,GMT+9
2,Imari,33.216167,129.90147,31.0,32400,Asia/Tokyo,GMT+9
3,Ureshino,33.14587,129.9631,87.0,32400,Asia/Tokyo,GMT+9
4,Tosu,33.356766,130.55556,14.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1024.3,1026.0,1022.9,311
0,2021-01-02,1024.9,1027.2,1023.4,333
0,2021-01-03,1029.5,1030.9,1026.9,350
0,2021-01-04,1028.5,1030.4,1026.4,14
0,2021-01-05,1023.9,1025.8,1021.4,348
0,2021-01-06,1022.0,1024.2,1020.1,318
0,2021-01-07,1019.7,1021.8,1016.6,304
0,2021-01-08,1020.5,1021.6,1019.5,344
0,2021-01-09,1020.7,1022.2,1019.6,333
0,2021-01-10,1024.9,1026.8,1022.0,317
0,2021-01-11,1023.9,1027.4,1020.1,13
0,2021-01-12,1017.9,1019.4,1016.6,332
0,2021-01-13,1019.0,1020.2,1017.8,288
0,2021-01-14,1021.2,1022.9,1020.2,345
0,2021-01-15,1019.2,1022.1,1016.0,309
0,2021-01-16,1018.3,1021.1,1015.7,307
0,2021-01-17,1023.9,1025.4,1021.0,325
0,2021-01-18,1021.6,1024.5,1018.3,275
0,2021-01-19,1026.7,1029.5,1022.6,2
0,2021-01-20,1028.4,1030.0,1027.0,24
0,2021-01-21,1023.9,1027.5,1020.3,6
0,2021-01-22,1017.1,1019.7,1015.1,330
0,2021-01-23,1012.5,1014.8,1010.7,28
0,2021-01-24,1018.3,1023.2,1013.1,27
0,2021-01-25,1022.5,1025.1,1020.6,32
0,2021-01-26,1015.9,1020.9,1012.2,13
0,2021-01-27,1016.9,1018.7,1014.9,19
0,2021-01-28,1014.3,1017.0,1011.9,295
0,2021-01-29,1022.0,1025.3,1017.7,304
0,2021-01-30,1027.0,1028.6,1025.4,283
0,2021-01-31,1028.4,1030.6,1026.8,16
0,2021-02-01,1019.8,1026.8,1015.4,200
0,2021-02-02,1020.2,1023.2,1017.0,296
0,2021-02-03,1025.0,1026.5,1023.4,295
0,2021-02-04,1024.0,1024.8,1023.3,329
0,2021-02-05,1022.4,1024.6,1019.6,296
0,2021-02-06,1017.0,1019.2,1015.2,301
0,2021-02-07,1018.3,1019.4,1017.3,306
0,2021-02-08,1021.3,1024.6,1018.6,330
0,2021-02-09,1025.4,1026.9,1024.2,340
0,2021-02-10,1024.1,1025.7,1022.0,300
0,2021-02-11,1022.9,1024.9,1021.5,24
0,2021-02-12,1022.2,1023.0,1021.1,356
0,2021-02-13,1021.9,1023.6,1020.4,29
0,2021-02-14,1014.6,1020.4,1006.8,38
