location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Matsue,35.46573,133.03847,5.0,32400,Asia/Tokyo,GMT+9
1,Hamada,34.90334,132.14467,7.0,32400,Asia/Tokyo,GMT+9
2,Oota,35.184532,132.47449,29.0,32400,Asia/Tokyo,GMT+9
3,Izumo,35.395428,132.75288,9.0,32400,Asia/Tokyo,GMT+9
4,Saigo (Oki Islands),36.239014,133.303,3.0,32400,Asia/Tokyo,GMT+9

location_id,time,surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_direction_10m_dominant (°)
0,2021-01-01,1021.1,1022.7,1018.7,275
0,2021-01-02,1022.2,1024.4,1020.8,274
0,2021-01-03,1026.4,1028.6,1023.7,275
0,2021-01-04,1027.8,1029.4,1026.8,234
0,2021-01-05,1023.1,1026.9,1020.6,268
0,2021-01-06,1018.5,1020.7,1016.3,283
0,2021-01-07,1014.1,1016.4,1010.6,274
0,2021-01-08,1015.3,1016.6,1014.1,270
0,2021-01-09,1015.8,1017.6,1014.8,266
0,2021-01-10,1021.3,1024.3,1018.0,274
0,2021-01-11,1023.8,1027.8,1019.6,259
0,2021-01-12,1016.4,1018.6,1014.8,231
0,2021-01-13,1016.6,1018.0,1015.2,214
0,2021-01-14,1020.6,1023.5,1016.6,233
0,2021-01-15,1018.4,1023.3,1013.9,189
0,2021-01-16,1015.9,1019.8,1013.0,276
0,2021-01-17,1020.6,1022.8,1019.2,290
0,2021-01-18,1018.1,1022.0,1014.2,248
0,2021-01-19,1026.7,1031.4,1018.9,324
0,2021-01-20,1030.2,1032.2,1027.7,113
0,2021-01-21,1024.3,1027.5,1020.6,225
0,2021-01-22,1018.4,1020.5,1017.3,93
0,2021-01-23,1018.1,1019.3,1016.9,70
0,2021-01-24,1021.6,1026.2,1018.1,42
0,2021-01-25,1026.0,1028.0,1024.4,68
0,2021-01-26,1017.5,1023.3,1012.6,65
0,2021-01-27,1017.8,1019.9,1014.9,358
0,2021-01-28,1011.9,1017.8,1006.8,254
0,2021-01-29,1016.2,1021.6,1011.1,278
0,2021-01-30,1023.7,1025.0,1021.9,267
0,2021-01-31,1028.1,1030.5,1025.0,339
0,2021-02-01,1017.9,1026.7,1012.0,205
0,2021-02-02,1016.5,1019.5,1013.2,272
0,2021-02-03,1022.4,1024.0,1019.5,273
0,2021-02-04,1021.1,1023.3,1018.1,264
0,2021-02-05,1020.4,1022.7,1017.1,233
0,2021-02-06,1015.1,1016.9,1013.5,241
0,2021-02-07,1016.3,1018.2,1014.7,269
0,2021-02-08,1018.5,1023.5,1014.4,333
0,2021-02-09,1023.9,1024.9,1023.2,289
0,2021-02-10,1021.9,1024.2,1019.9,249
0,2021-02-11,1023.6,1025.3,1021.8,27
0,2021-02-12,1023.6,1024.8,1022.2,111
0,2021-02-13,1023.6,1024.9,1022.4,166
0,2021-02-14,1016.5,1022.0,1010.3,146
0,2021-02-15,1002.7,1009.1,999.0,282
0,2021-02-16,1010.2,1012.9,1007.3,271
0,2021-02-17,1008.6,1010.9,1007.6,278
0,2021-02-18,1013.7,1018.0,1011.0,299
0,2021-02-19,1016.4,1018.8,1013.5,233
0,2021-02-20,1010.8,1013.2,1008.3,236
0,2021-02-21,1012.4,1013.5,1011.7,236
0,2021-02-22,1011.4,1013.2,1008.7,245
0,2021-02-23,1019.6,1023.2,1014.6,351
0,2021-02-24,1024.8,1026.4,1023.2,67
0,2021-02-25,1023.8,1026.2,1021.5,82
0,2021-02-26,1022.8,1025.2,1021.5,75
0,2021-02-27,1029.0,1030.7,1025.1,65
0,2021-02-28,1027.7,1030.2,1025.3,136
0,2021-03-01,1017.2,1024.3,1005.8,169
0,2021-03-02,1016.3,1026.9,1002.3,337
0,2021-03-03,1028.9,1031.5,1027.1,50
0,2021-03-04,1025.6,1028.5,1022.6,111
0,2021-03-05,1018.5,1022.4,1015.2,110
0,2021-03-06,1024.1,1029.3,1018.2,33
0,2021-03-07,1027.1,1028.8,1025.7,63
0,2021-03-08,1026.0,1026.9,1024.9,64
0,2021-03-09,1023.4,1025.5,1021.2,87
0,2021-03-10,1026.7,1030.0,1022.7,71
0,2021-03-11,1026.9,1030.0,1023.6,94
0,2021-03-12,1018.9,1023.2,1013.0,85
0,2021-03-13,1015.6,1017.9,1012.0,358
0,2021-03-14,1018.0,1019.4,1017.0,285
0,2021-03-15,1018.3,1020.6,1015.5,228
0,2021-03-16,1012.4,1015.1,1010.5,234
0,2021-03-17,1018.2,1021.4,1014.9,68
0,2021-03-18,1020.4,1021.7,1018.5,72
0,2021-03-19,1019.9,1021.2,1018.8,72
0,2021-03-20,1012.9,1019.4,1008.3,82
0,2021-03-21,1007.5,1011.0,1004.6,287
0,2021-03-22,1016.2,1020.3,1011.8,298
0,2021-03-23,1021.0,1022.2,1019.9,231
0,2021-03-24,1021.5,1023.6,1020.2,232
0,2021-03-25,1019.3,1020.2,1018.7,252
0,2021-03-26,1021.2,1022.8,1018.3,304
0,2021-03-27,1017.2,1022.2,1011.2,112
0,2021-03-28,1004.4,1010.4,1001.8,197
0,2021-03-29,1006.2,1008.2,1004.7,243
0,2021-03-30,1010.2,1013.7,1007.7,298
0,2021-03-31,1014.9,1016.6,1014.0,75
0,2021-04-01,1020.0,1021.8,1016.6,73
0,2021-04-02,1020.7,1022.1,1018.8,98
0,2021-04-03,1015.7,1020.4,1011.2,158
0,2021-04-04,1010.2,1015.5,1007.7,311
0,2021-04-05,1018.5,1020.5,1015.6,37
0,2021-04-06,1018.0,1019.8,1016.4,68
0,2021-04-07,1016.8,1017.5,1015.8,254
0,2021-04-08,1015.9,1018.5,1014.5,269
0,2021-04-09,1024.4,1030.1,1018.6,56
0,2021-04-10,1031.2,1032.9,1029.5,73
0,2021-04-11,1031.0,1033.1,1029.7,76
0,2021-04-12,1024.0,1029.0,1017.8,141
0,2021-04-13,1010.2,1016.6,1008.1,191
0,2021-04-14,1013.2,1018.4,1009.5,3
0,2021-04-15,1019.6,1021.1,1018.7,93
0,2021-04-16,1017.6,1019.3,1016.7,168
0,2021-04-17,1011.5,1016.8,1006.3,244
0,2021-04-18,1011.6,1015.3,1009.3,284
0,2021-04-19,1014.8,1015.5,1013.6,237
0,2021-04-20,1018.3,1021.3,1015.3,249
0,2021-04-21,1022.0,1023.2,1021.3,84
0,2021-04-22,1020.8,1022.6,1019.5,77
0,2021-04-23,1019.6,1020.4,1018.7,71
0,2021-04-24,1018.8,1020.3,1017.6,328
0,2021-04-25,1018.8,1022.1,1016.7,30
0,2021-04-26,1022.1,1023.1,1021.2,61
0,2021-04-27,1020.0,1022.1,1018.2,175
0,2021-04-28,1016.6,1018.8,1014.6,212
0,2021-04-29,1007.8,1013.9,1003.6,187
0,2021-04-30,1004.4,1008.7,1002.0,241
0,2021-05-01,1003.2,1008.3,1000.4,248
0,2021-05-02,1009.4,1017.0,1003.5,290
0,2021-05-03,1017.9,1019.0,1017.2,244
0,2021-05-04,1015.5,1018.1,1011.1,224
0,2021-05-05,1010.3,1016.3,1005.7,211
0,2021-05-06,1016.8,1018.6,1015.0,229
0,2021-05-07,1008.8,1014.5,1004.8,203
0,2021-05-08,1005.5,1007.9,1002.7,241
0,2021-05-09,1007.1,1010.4,1002.5,253
0,2021-05-10,1012.4,1014.2,1010.1,244
0,2021-05-11,1015.4,1016.5,1014.0,70
0,2021-05-12,1013.2,1015.4,1011.1,86
0,2021-05-13,1011.3,1012.0,1010.3,83
0,2021-05-14,1012.7,1014.2,1012.1,74
0,2021-05-15,1010.2,1012.6,1008.1,150
0,2021-05-16,1005.2,1008.5,1001.5,192
0,2021-05-17,1005.1,1008.8,1002.3,270
0,2021-05-18,1009.8,1010.8,1009.1,66
0,2021-05-19,1011.1,1013.3,1009.7,257
0,2021-05-20,1007.3,1012.1,1001.8,125
0,2021-05-21,1003.3,1006.7,999.6,244
0,2021-05-22,1007.9,1009.4,1006.6,259
0,2021-05-23,1009.6,1010.7,1008.3,249
0,2021-05-24,1006.9,1008.7,1004.7,241
0,2021-05-25,1006.0,1008.7,1001.5,244
0,2021-05-26,1010.2,1012.5,1008.8,225
0,2021-05-27,1002.4,1009.3,998.3,234
0,2021-05-28,1003.2,1006.7,999.1,220
0,2021-05-29,1004.5,1008.9,999.4,261
0,2021-05-30,1009.5,1011.7,1008.1,302
0,2021-05-31,1011.9,1014.3,1010.5,72
0,2021-06-01,1014.4,1015.5,1013.4,72
0,2021-06-02,1014.4,1016.1,1013.2,95
0,2021-06-03,1007.4,1013.0,998.7,149
0,2021-06-04,999.9,1003.6,995.2,248
0,2021-06-05,1003.5,1004.8,1002.7,230
0,2021-06-06,1007.7,1011.5,1004.6,237
0,2021-06-07,1013.6,1014.7,1012.1,239
0,2021-06-08,1015.2,1016.2,1013.7,258
0,2021-06-09,1016.0,1017.4,1015.1,74
0,2021-06-10,1014.7,1016.2,1013.1,121
0,2021-06-11,1013.8,1014.7,1013.1,131
0,2021-06-12,1013.3,1014.8,1011.8,117
0,2021-06-13,1009.6,1011.9,1007.1,84
0,2021-06-14,1006.4,1007.8,1004.9,61
0,2021-06-15,1004.9,1005.8,1004.3,75
0,2021-06-16,1003.7,1005.8,1002.9,71
0,2021-06-17,1005.5,1006.6,1004.5,62
0,2021-06-18,1002.1,1004.5,999.9,176
0,2021-06-19,999.4,1001.6,998.5,284
0,2021-06-20,1002.2,1003.3,1000.9,58
0,2021-06-21,1003.1,1006.4,1001.6,248
0,2021-06-22,1008.5,1010.5,1006.5,351
0,2021-06-23,1010.4,1012.2,1009.4,64
0,2021-06-24,1011.2,1012.0,1010.5,66
0,2021-06-25,1010.8,1011.8,1009.7,92
0,2021-06-26,1010.8,1012.0,1009.9,149
0,2021-06-27,1007.6,1010.5,1005.3,90
0,2021-06-28,1004.1,1005.7,1002.4,65
0,2021-06-29,1004.6,1007.0,1002.6,45
0,2021-06-30,1007.3,1008.3,1006.7,78
0,2021-07-01,1005.8,1006.9,1004.0,85
0,2021-07-02,1007.0,1009.2,1005.9,61
0,2021-07-03,1009.1,1010.0,1008.2,70
0,2021-07-04,1008.1,1009.3,1006.9,214
0,2021-07-05,1010.1,1011.1,1009.2,246
0,2021-07-06,1009.3,1010.5,1007.8,231
0,2021-07-07,1008.7,1009.8,1007.1,249
0,2021-07-08,1005.5,1007.3,1004.3,241
0,2021-07-09,1006.0,1008.1,1005.0,246
0,2021-07-10,1009.1,1011.1,1007.7,236
0,2021-07-11,1011.1,1011.9,1010.3,243
0,2021-07-12,1011.2,1012.0,1010.5,240
0,2021-07-13,1012.1,1013.4,1011.3,253
0,2021-07-14,1013.6,1014.8,1012.7,212
0,2021-07-15,1015.3,1016.2,1014.0,140
0,2021-07-16,1015.6,1016.7,1014.5,101
0,2021-07-17,1013.7,1015.1,1012.4,121
0,2021-07-18,1012.5,1013.5,1011.3,113
0,2021-07-19,1013.6,1014.6,1012.8,101
0,2021-07-20,1014.0,1015.2,1012.6,73
0,2021-07-21,1012.3,1013.5,1010.8,71
