location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kofu,35.676624,138.53282,278.0,0,GMT,GMT
1,Fujiyoshida,35.536026,138.87035,771.0,0,GMT,GMT
2,Otsuki,35.606327,138.93315,361.0,0,GMT,GMT
3,Nirasaki,35.74692,138.47939,350.0,0,GMT,GMT
4,Fujikawaguchiko,35.536026,138.7548,831.0,0,GMT,GMT

location_id,time,wind_direction_10m_dominant (°),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa)
0,2021-01-01,24,980.7,982.6,978.2
0,2021-01-02,38,982.9,986.0,979.2
0,2021-01-03,54,987.3,990.0,984.0
0,2021-01-04,53,988.0,991.0,986.0
0,2021-01-05,77,980.4,986.8,976.5
0,2021-01-06,79,976.5,979.8,971.8
0,2021-01-07,318,970.5,974.1,965.0
0,2021-01-08,95,975.0,976.9,972.0
0,2021-01-09,84,977.5,982.4,974.5
0,2021-01-10,85,983.6,988.0,980.6
0,2021-01-11,104,986.8,990.2,981.5
0,2021-01-12,81,977.6,981.8,975.1
0,2021-01-13,88,980.8,982.8,977.9
0,2021-01-14,39,985.7,989.4,981.4
0,2021-01-15,60,984.7,990.4,980.5
0,2021-01-16,47,977.3,980.2,974.5
0,2021-01-17,72,979.3,980.9,976.3
0,2021-01-18,14,977.0,981.6,974.6
0,2021-01-19,30,987.2,993.6,981.0
0,2021-01-20,70,993.0,994.8,991.9
0,2021-01-21,24,986.7,992.9,983.5
0,2021-01-22,55,983.6,986.3,981.5
0,2021-01-23,139,986.2,987.3,984.9
0,2021-01-24,116,988.1,991.1,985.5
0,2021-01-25,75,991.8,993.0,990.2
0,2021-01-26,57,985.0,993.9,977.9
0,2021-01-27,22,979.2,981.3,975.5
0,2021-01-28,71,972.7,981.4,964.9
0,2021-01-29,356,975.8,983.7,969.8
0,2021-01-30,353,985.7,989.7,983.5
0,2021-01-31,18,991.7,993.6,989.0
0,2021-02-01,143,981.8,993.3,971.9
0,2021-02-02,340,975.7,980.5,971.1
0,2021-02-03,16,981.4,982.8,979.7
0,2021-02-04,10,981.3,985.9,977.5
0,2021-02-05,72,982.3,986.9,980.4
0,2021-02-06,42,977.5,981.4,975.9
0,2021-02-07,350,976.6,978.8,974.9
0,2021-02-08,303,978.5,983.9,974.9
0,2021-02-09,352,983.9,985.4,983.0
0,2021-02-10,0,982.3,986.5,979.6
0,2021-02-11,3,987.9,992.4,985.0
0,2021-02-12,83,993.9,996.1,991.4
0,2021-02-13,23,992.1,996.2,990.0
0,2021-02-14,63,983.3,991.2,972.2
0,2021-02-15,1,960.9,970.7,952.9
0,2021-02-16,347,967.8,969.7,964.4
0,2021-02-17,331,967.7,972.3,963.3
0,2021-02-18,47,975.1,981.2,970.0
0,2021-02-19,76,978.5,981.7,976.8
0,2021-02-20,84,975.7,980.3,972.4
0,2021-02-21,67,979.4,980.9,977.7
0,2021-02-22,21,975.0,980.9,972.1
0,2021-02-23,22,979.7,986.1,975.0
0,2021-02-24,64,986.5,989.9,982.2
0,2021-02-25,87,988.2,990.5,986.9
0,2021-02-26,89,986.1,989.7,984.8
0,2021-02-27,60,995.7,1000.8,990.8
0,2021-02-28,58,997.4,1001.3,995.4
0,2021-03-01,64,986.5,996.2,978.4
0,2021-03-02,13,977.9,990.5,968.8
0,2021-03-03,82,994.8,1000.1,989.1
0,2021-03-04,97,995.3,1000.1,992.7
0,2021-03-05,70,987.6,992.8,984.4
0,2021-03-06,44,985.8,992.8,981.2
0,2021-03-07,85,990.8,993.7,988.9
0,2021-03-08,102,990.1,992.8,987.7
0,2021-03-09,71,987.6,992.8,985.1
0,2021-03-10,17,988.9,994.7,984.2
0,2021-03-11,96,993.2,995.0,991.4
0,2021-03-12,270,988.5,993.2,982.8
0,2021-03-13,35,973.2,981.0,969.8
0,2021-03-14,360,978.0,982.3,974.8
0,2021-03-15,3,981.2,982.6,979.3
