location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Fukuoka (Hakata),33.56766,130.37175,8.0,32400,Asia/Tokyo,GMT+9
1,Kitakyushu (Yahata),33.919155,130.84789,7.0,32400,Asia/Tokyo,GMT+9
2,Kurume,33.286465,130.50554,14.0,32400,Asia/Tokyo,GMT+9
3,Munakata,33.778557,130.52238,9.0,32400,Asia/Tokyo,GMT+9
4,Yanagawa,33.14587,130.4059,7.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,5.3,2.4,25.7,45.7,0.00,1.30,7.0,1.30
0,2021-01-02,6.6,4.8,20.6,38.5,0.00,2.60,11.0,2.60
0,2021-01-03,5.9,2.1,22.1,41.0,0.00,0.00,0.0,0.00
0,2021-01-04,8.3,2.2,19.8,37.1,0.00,0.00,0.0,0.00
0,2021-01-05,9.7,3.3,20.7,37.4,0.00,0.00,0.0,0.00
0,2021-01-06,5.1,1.4,26.3,49.0,0.00,0.00,0.0,0.00
0,2021-01-07,4.3,-2.1,38.2,72.0,1.40,2.30,17.0,4.30
0,2021-01-08,-0.3,-2.6,30.1,55.1,3.50,0.00,14.0,5.00
0,2021-01-09,1.1,-2.1,26.1,49.0,3.50,0.00,18.0,4.90
0,2021-01-10,3.6,-1.2,24.7,44.3,0.21,0.80,6.0,1.10
0,2021-01-11,6.4,2.0,14.0,25.6,0.00,0.00,0.0,0.00
0,2021-01-12,5.9,1.7,19.2,36.0,0.42,6.10,13.0,6.70
0,2021-01-13,9.6,2.8,16.1,28.4,0.00,0.40,3.0,0.40
0,2021-01-14,12.7,5.8,14.4,25.9,0.00,0.00,0.0,0.00
0,2021-01-15,15.4,4.7,16.4,31.7,0.00,0.00,0.0,0.00
0,2021-01-16,11.3,6.7,21.5,41.0,0.00,1.10,6.0,1.10
0,2021-01-17,6.8,1.7,26.5,49.3,0.00,0.30,2.0,0.30
0,2021-01-18,7.7,2.5,32.2,59.8,0.07,1.20,5.0,1.30
0,2021-01-19,5.5,1.7,22.1,46.1,0.00,0.00,0.0,0.00
0,2021-01-20,12.1,-0.6,11.2,19.1,0.00,0.00,0.0,0.00
0,2021-01-21,15.6,4.5,13.1,22.3,0.00,0.40,2.0,0.40
0,2021-01-22,17.3,10.4,9.7,23.8,0.00,6.40,15.0,6.40
0,2021-01-23,12.6,8.6,15.9,32.4,0.00,14.50,19.0,14.50
0,2021-01-24,11.0,6.4,27.6,51.8,0.00,6.00,6.0,6.00
