location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Gifu,35.395428,136.78618,17.0,32400,Asia/Tokyo,GMT+9
1,Gujo Hachiman,35.74692,136.97165,550.0,32400,Asia/Tokyo,GMT+9
2,Nakatsugawa,35.536026,137.48395,313.0,32400,Asia/Tokyo,GMT+9
3,Shirakawa-go,36.239014,136.93108,486.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,3.4,-4.0,22.0,37.4,3.57,0.90,14.0,6.00
0,2021-01-02,6.7,-1.4,25.3,46.1,0.14,0.70,8.0,0.80
0,2021-01-03,7.5,-0.4,16.6,30.2,0.07,0.50,6.0,0.60
0,2021-01-04,9.4,-0.7,18.7,33.8,0.00,0.00,0.0,0.00
0,2021-01-05,10.2,-1.2,19.1,36.7,0.00,0.10,1.0,0.10
0,2021-01-06,8.7,2.1,17.9,34.9,0.00,0.00,0.0,0.00
0,2021-01-07,6.7,-0.8,29.6,53.3,0.56,1.10,8.0,1.90
0,2021-01-08,2.6,-3.1,31.0,55.1,0.07,0.00,1.0,0.10
0,2021-01-09,3.7,-6.6,24.9,45.7,0.00,0.00,0.0,0.00
0,2021-01-10,4.7,-5.0,10.5,19.1,0.28,0.10,5.0,0.50
0,2021-01-11,6.2,-8.0,11.2,18.7,0.14,0.00,2.0,0.20
0,2021-01-12,4.6,-1.1,12.0,15.1,0.00,3.30,11.0,3.30
0,2021-01-13,9.1,-3.0,16.1,30.6,0.00,0.00,0.0,0.00
0,2021-01-14,12.0,-2.1,16.0,28.8,0.00,0.00,0.0,0.00
0,2021-01-15,12.7,-3.0,9.2,15.5,0.00,0.00,0.0,0.00
0,2021-01-16,11.5,0.9,19.4,38.2,0.00,1.10,4.0,1.10
0,2021-01-17,8.4,0.4,24.3,43.2,0.00,0.00,0.0,0.00
0,2021-01-18,7.6,-0.4,19.9,39.2,0.00,0.10,1.0,0.10
0,2021-01-19,4.2,-1.2,29.7,54.4,0.00,1.50,6.0,1.50
0,2021-01-20,9.4,-3.2,15.9,28.4,0.00,0.00,0.0,0.00
0,2021-01-21,12.2,-3.6,8.4,16.6,0.00,0.00,0.0,0.00
0,2021-01-22,9.7,2.4,7.9,12.2,0.00,4.40,13.0,4.40
0,2021-01-23,9.8,5.8,7.3,13.0,0.00,18.50,19.0,18.50
0,2021-01-24,8.9,3.8,14.4,24.8,0.00,14.90,21.0,14.90
0,2021-01-25,14.1,1.9,12.4,22.0,0.00,0.00,0.0,0.00
0,2021-01-26,13.0,-0.3,10.3,28.4,0.00,6.50,5.0,6.50
0,2021-01-27,14.2,5.2,29.6,53.6,0.00,19.20,5.0,19.20
