location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Hiroshima,34.411247,132.45284,8.0,32400,Asia/Tokyo,GMT+9
1,Fukuyama,34.481544,133.4131,11.0,32400,Asia/Tokyo,GMT+9
2,Shoubara,34.83304,133.0038,270.0,32400,Asia/Tokyo,GMT+9
3,Kure,34.27065,132.57214,4.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,4.9,1.6,15.4,33.1,0.07,0.00,1.0,0.10
0,2021-01-02,7.0,3.0,17.1,37.1,0.00,0.10,1.0,0.10
0,2021-01-03,7.2,0.3,15.5,35.3,0.00,0.00,0.0,0.00
0,2021-01-04,9.5,0.6,8.3,19.4,0.00,0.00,0.0,0.00
0,2021-01-05,10.7,0.1,17.6,37.4,0.00,0.00,0.0,0.00
0,2021-01-06,6.8,-0.4,18.5,39.6,0.00,0.00,0.0,0.00
0,2021-01-07,3.9,-3.0,28.1,59.4,0.63,0.30,9.0,1.20
0,2021-01-08,0.2,-3.2,24.1,53.6,0.00,0.00,0.0,0.00
0,2021-01-09,1.2,-2.5,22.4,47.5,0.07,0.00,1.0,0.10
0,2021-01-10,3.1,-1.5,12.1,26.3,0.00,0.00,0.0,0.00
0,2021-01-11,5.9,-2.7,9.2,26.3,0.00,0.00,0.0,0.00
0,2021-01-12,7.7,1.4,13.7,29.9,0.14,1.60,6.0,1.80
0,2021-01-13,8.8,3.1,19.7,40.3,0.00,0.00,0.0,0.00
0,2021-01-14,13.2,2.5,8.7,20.5,0.00,0.00,0.0,0.00
0,2021-01-15,11.2,0.9,9.0,22.0,0.00,0.00,0.0,0.00
0,2021-01-16,13.5,5.8,17.6,37.1,0.00,1.20,3.0,1.20
0,2021-01-17,5.9,-1.0,21.4,45.0,0.00,0.00,0.0,0.00
0,2021-01-18,7.1,-2.2,19.6,41.0,0.00,0.90,6.0,0.90
0,2021-01-19,5.6,-0.2,16.6,36.0,0.00,0.00,0.0,0.00
0,2021-01-20,7.6,-2.3,9.5,21.2,0.00,0.00,0.0,0.00
0,2021-01-21,11.1,-1.5,9.8,25.2,0.00,0.00,0.0,0.00
0,2021-01-22,11.2,8.1,6.1,11.5,0.00,5.40,20.0,5.40
0,2021-01-23,10.6,7.4,14.0,28.8,0.00,20.70,22.0,20.70
0,2021-01-24,10.3,4.6,21.2,45.7,0.00,2.90,9.0,2.90
0,2021-01-25,13.0,3.7,12.3,25.6,0.00,0.00,0.0,0.00
0,2021-01-26,10.5,2.8,11.7,50.8,0.00,24.60,11.0,24.60
0,2021-01-27,12.9,4.9,18.0,38.9,0.00,0.00,0.0,0.00
0,2021-01-28,11.2,3.3,27.2,55.1,0.00,0.60,2.0,0.60
0,2021-01-29,2.7,-0.2,24.9,58.0,0.21,0.10,4.0,0.40
0,2021-01-30,8.8,0.2,18.7,39.6,0.00,0.00,0.0,0.00
0,2021-01-31,10.9,-1.2,15.3,33.5,0.00,0.00,0.0,0.00
0,2021-02-01,11.5,1.0,19.0,40.7,0.00,16.80,12.0,16.80
0,2021-02-02,10.1,1.5,19.1,41.8,0.00,2.80,6.0,2.80
0,2021-02-03,6.9,-0.5,13.6,31.0,0.00,0.00,0.0,0.00
0,2021-02-04,9.8,0.4,17.1,36.7,0.00,0.50,3.0,0.50
0,2021-02-05,9.7,-2.5,16.9,34.9,0.00,0.00,0.0,0.00
0,2021-02-06,11.8,2.6,12.6,28.4,0.00,0.00,0.0,0.00
0,2021-02-07,13.8,1.7,14.8,34.6,0.00,0.10,1.0,0.10
0,2021-02-08,9.9,3.5,25.0,52.6,0.00,0.00,0.0,0.00
0,2021-02-09,8.5,-0.3,14.1,34.6,0.00,0.00,0.0,0.00
0,2021-02-10,10.8,-1.1,14.4,32.8,0.00,0.00,0.0,0.00
0,2021-02-11,13.4,-1.5,11.6,23.0,0.00,0.00,0.0,0.00
0,2021-02-12,14.0,2.7,9.9,19.4,0.00,0.00,0.0,0.00
0,2021-02-13,15.6,2.4,9.8,19.4,0.00,0.00,0.0,0.00
0,2021-02-14,16.7,6.7,13.0,29.5,0.00,6.40,5.0,6.40
0,2021-02-15,16.5,7.7,27.5,56.5,0.00,14.10,11.0,14.10
0,2021-02-16,9.3,2.1,17.5,40.3,0.00,0.40,2.0,0.40
0,2021-02-17,6.0,-1.7,31.8,66.6,0.56,0.70,9.0,1.50
0,2021-02-18,1.6,-1.7,16.5,36.0,0.14,0.00,2.0,0.20
0,2021-02-19,8.7,-0.1,20.9,44.6,0.00,0.00,0.0,0.00
0,2021-02-20,14.0,4.4,23.7,50.8,0.00,0.00,0.0,0.00
0,2021-02-21,17.7,6.5,23.0,47.2,0.00,0.00,0.0,0.00
