location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Tottori,35.536026,134.24904,10.0,32400,Asia/Tokyo,GMT+9
1,Yonago,35.395428,133.32907,8.0,32400,Asia/Tokyo,GMT+9
2,Kurayoshi,35.46573,133.84616,25.0,32400,Asia/Tokyo,GMT+9
3,Chizu,35.254833,134.36781,958.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,3.9,1.5,32.0,62.3,2.59,1.50,13.0,5.20
0,2021-01-02,5.8,2.4,27.0,57.2,0.21,8.40,19.0,8.70
0,2021-01-03,7.4,3.3,23.6,44.6,0.00,1.20,9.0,1.20
0,2021-01-04,8.6,2.8,19.1,38.5,0.00,0.00,0.0,0.00
0,2021-01-05,9.0,3.8,27.3,52.9,0.00,3.00,11.0,3.00
0,2021-01-06,6.7,2.7,35.4,69.8,0.14,2.10,7.0,2.30
0,2021-01-07,3.4,-2.7,47.2,106.9,5.81,0.30,17.0,8.60
0,2021-01-08,-0.2,-3.3,33.1,68.8,2.10,0.00,15.0,3.00
0,2021-01-09,1.7,-2.5,30.1,67.0,2.52,0.10,15.0,3.70
0,2021-01-10,2.9,-1.1,24.7,50.4,4.55,0.00,15.0,6.50
0,2021-01-11,4.9,-0.7,22.9,51.1,0.49,1.80,12.0,2.50
0,2021-01-12,6.1,-1.0,21.8,43.9,0.00,1.00,6.0,1.00
0,2021-01-13,9.2,2.7,25.2,46.8,0.00,0.00,0.0,0.00
0,2021-01-14,11.7,3.5,25.4,47.9,0.00,0.10,1.0,0.10
0,2021-01-15,13.7,1.9,28.8,54.0,0.00,0.00,0.0,0.00
0,2021-01-16,11.0,5.6,29.2,55.1,0.00,15.00,19.0,15.00
0,2021-01-17,5.6,2.5,29.1,61.2,0.49,7.50,21.0,8.20
0,2021-01-18,6.9,0.8,26.3,55.8,0.42,2.70,9.0,3.30
0,2021-01-19,3.6,2.6,33.7,71.6,1.26,2.60,16.0,4.40
0,2021-01-20,7.6,0.3,13.8,29.5,0.00,0.00,0.0,0.00
0,2021-01-21,12.2,1.8,18.0,35.3,0.00,0.10,1.0,0.10
0,2021-01-22,11.5,7.7,12.9,25.9,0.00,7.50,18.0,7.50
0,2021-01-23,9.9,8.0,24.0,46.4,0.00,12.30,24.0,12.30
0,2021-01-24,8.9,7.9,23.4,43.2,0.00,6.60,16.0,6.60
