location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Matsuyama,33.848858,132.70236,26.0,32400,Asia/Tokyo,GMT+9
1,Uwajima,33.216167,132.56157,4.0,32400,Asia/Tokyo,GMT+9
2,Niihama,33.989452,133.37079,10.0,32400,Asia/Tokyo,GMT+9
3,Imabari,34.059753,132.97499,5.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,6.1,3.4,21.3,42.1,0.00,0.00,0.0,0.00
0,2021-01-02,7.8,5.3,23.1,42.5,0.00,0.00,0.0,0.00
0,2021-01-03,8.2,3.2,18.0,35.6,0.00,0.00,0.0,0.00
0,2021-01-04,9.1,2.2,11.7,26.3,0.00,0.00,0.0,0.00
0,2021-01-05,10.2,4.1,17.8,31.3,0.00,0.00,0.0,0.00
0,2021-01-06,7.0,3.3,22.3,41.8,0.00,0.00,0.0,0.00
0,2021-01-07,5.4,-1.5,45.7,83.2,0.00,1.20,6.0,1.20
0,2021-01-08,1.4,-1.9,29.7,54.4,0.00,0.00,0.0,0.00
0,2021-01-09,3.0,-1.0,27.9,51.1,0.00,0.00,0.0,0.00
0,2021-01-10,4.0,0.6,22.6,41.8,0.21,0.00,2.0,0.30
0,2021-01-11,6.8,0.6,13.1,27.0,0.00,0.00,0.0,0.00
0,2021-01-12,7.7,3.4,19.8,37.1,0.00,6.10,11.0,6.10
0,2021-01-13,9.3,5.7,19.1,33.1,0.00,0.10,1.0,0.10
0,2021-01-14,13.5,3.8,14.9,26.3,0.00,0.00,0.0,0.00
0,2021-01-15,12.4,2.6,20.5,35.6,0.00,0.00,0.0,0.00
0,2021-01-16,13.4,7.7,21.9,52.9,0.00,3.40,8.0,3.40
0,2021-01-17,7.3,2.9,27.2,48.6,0.00,0.00,0.0,0.00
0,2021-01-18,6.9,2.6,29.9,73.1,0.00,2.60,5.0,2.60
0,2021-01-19,6.9,2.7,24.2,41.8,0.00,0.00,0.0,0.00
0,2021-01-20,10.1,1.3,13.9,26.3,0.00,0.00,0.0,0.00
0,2021-01-21,11.7,3.5,11.0,22.7,0.00,0.00,0.0,0.00
0,2021-01-22,14.4,10.4,7.1,15.8,0.00,8.30,15.0,8.30
0,2021-01-23,12.1,8.1,30.5,52.9,0.00,15.00,23.0,15.00
0,2021-01-24,11.0,7.6,24.5,45.0,0.00,6.10,8.0,6.10
0,2021-01-25,13.2,5.0,20.4,34.9,0.00,0.00,0.0,0.00
0,2021-01-26,13.9,4.4,17.3,51.5,0.00,20.80,10.0,20.80
0,2021-01-27,13.5,8.0,22.9,42.1,0.00,0.00,0.0,0.00
0,2021-01-28,10.5,5.7,35.6,74.5,0.00,0.10,1.0,0.10
0,2021-01-29,4.7,1.0,36.8,65.5,0.00,0.00,0.0,0.00
0,2021-01-30,8.1,2.2,20.5,39.2,0.00,0.00,0.0,0.00
0,2021-01-31,11.1,4.0,15.7,27.4,0.00,0.00,0.0,0.00
0,2021-02-01,15.9,3.3,32.0,55.4,0.00,11.00,8.0,11.00
0,2021-02-02,11.6,3.8,25.6,46.8,0.00,7.00,6.0,7.00
0,2021-02-03,7.6,2.4,24.6,43.6,0.00,0.00,0.0,0.00
0,2021-02-04,10.3,3.8,25.7,45.4,0.00,0.40,1.0,0.40
0,2021-02-05,9.6,1.7,12.4,28.4,0.00,0.00,0.0,0.00
0,2021-02-06,11.9,4.8,13.8,27.7,0.00,1.20,6.0,1.20
0,2021-02-07,12.7,6.3,20.0,38.5,0.00,0.30,1.0,0.30
0,2021-02-08,11.1,4.7,27.5,50.0,0.00,0.00,0.0,0.00
0,2021-02-09,8.3,1.2,16.8,34.9,0.00,0.00,0.0,0.00
