location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Urakawa,42.21441,142.76317,28.0,0,GMT,GMT
1,Shizunai (Shinhidaka),42.355007,142.39001,0.0,0,GMT,GMT
2,Erimomisaki,42.003513,143.18777,0.0,0,GMT,GMT
3,Hidakamonbetsu,42.565903,142.09132,67.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,-6.5,-10.5,29.2,61.6,0.50,0.10,5.0,0.28
0,2021-01-02,-4.8,-10.2,21.4,46.8,0.00,0.00,0.0,0.00
0,2021-01-03,-1.5,-6.7,22.5,48.6,0.60,0.00,6.0,0.49
0,2021-01-04,-1.8,-7.7,26.9,58.0,0.00,0.00,0.0,0.00
0,2021-01-05,-1.8,-8.4,22.3,48.2,0.00,0.00,0.0,0.00
0,2021-01-06,-1.7,-6.3,19.4,41.8,3.00,0.00,6.0,2.10
0,2021-01-07,-1.9,-5.2,38.3,79.2,7.00,0.00,17.0,4.90
0,2021-01-08,-2.7,-9.9,31.3,66.2,0.30,0.00,3.0,0.21
0,2021-01-09,-2.4,-9.1,18.6,40.7,0.70,0.00,5.0,0.49
0,2021-01-10,-3.5,-8.7,22.9,49.7,0.00,0.00,0.0,0.00
0,2021-01-11,-1.7,-5.8,29.5,62.6,0.10,0.00,1.0,0.07
0,2021-01-12,3.0,-1.3,19.7,41.4,9.00,2.70,14.0,4.41
0,2021-01-13,3.3,-2.8,36.7,71.6,4.00,0.50,12.0,2.45
0,2021-01-14,2.4,-7.1,42.7,88.6,0.00,0.00,0.0,0.00
0,2021-01-15,6.0,-4.6,34.1,75.6,8.20,7.30,7.0,0.63
0,2021-01-16,5.7,-6.1,38.8,79.9,0.80,0.20,4.0,0.42
0,2021-01-17,-1.2,-7.1,19.0,41.8,5.50,0.10,15.0,3.78
0,2021-01-18,-1.4,-6.3,27.0,52.9,4.20,0.10,15.0,2.94
0,2021-01-19,-1.9,-12.8,31.6,65.9,0.00,0.00,0.0,0.00
0,2021-01-20,-2.5,-5.9,33.1,69.5,1.20,0.10,4.0,0.77
0,2021-01-21,4.9,-3.7,31.3,65.2,0.00,0.00,0.0,0.00
0,2021-01-22,3.9,-12.4,25.8,55.1,0.00,0.00,0.0,0.00
0,2021-01-23,-0.2,-11.1,15.4,35.6,0.00,0.00,0.0,0.00
0,2021-01-24,1.7,-5.8,10.7,26.6,0.00,0.00,0.0,0.00
0,2021-01-25,5.0,-3.8,22.6,48.6,0.00,0.00,0.0,0.00
0,2021-01-26,3.3,-2.1,27.7,54.7,5.60,2.90,9.0,1.89
0,2021-01-27,5.8,-4.9,32.8,68.4,0.70,0.70,4.0,0.00
0,2021-01-28,0.0,-3.2,33.7,68.4,3.60,0.00,9.0,2.59
