location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Asahikawa,43.760983,142.3414,117.0,0,GMT,GMT
1,Furano,43.33919,142.41017,172.0,0,GMT,GMT
2,Nayoro,44.32337,142.4312,97.0,0,GMT,GMT
3,Shimukappu,43.128292,142.71237,801.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-01-01,-11.7,-18.4,1.60,0.00,1.19,14.0,11.7,24.5
0,2021-01-02,-9.5,-19.6,2.40,0.00,1.68,14.0,12.6,27.0
0,2021-01-03,-6.9,-11.8,3.00,0.00,2.10,23.0,10.7,23.4
0,2021-01-04,-7.1,-13.4,2.60,0.00,1.82,20.0,14.4,29.9
0,2021-01-05,-7.7,-16.8,0.20,0.00,0.14,2.0,8.6,18.7
0,2021-01-06,-8.5,-19.2,0.20,0.00,0.14,2.0,8.4,13.3
0,2021-01-07,-6.5,-13.4,6.50,0.00,4.55,19.0,18.2,36.4
0,2021-01-08,-7.1,-12.8,3.30,0.00,2.31,11.0,23.1,44.6
0,2021-01-09,-6.2,-12.8,0.40,0.00,0.35,4.0,18.6,36.0
0,2021-01-10,-7.4,-11.9,3.00,0.10,2.17,18.0,11.7,24.8
0,2021-01-11,-7.6,-12.0,1.70,0.00,1.26,13.0,13.5,27.4
0,2021-01-12,-1.5,-9.3,3.40,0.00,2.38,9.0,15.5,31.7
0,2021-01-13,0.3,-6.0,5.30,0.00,3.85,14.0,20.9,43.9
0,2021-01-14,-1.8,-8.4,2.50,0.10,1.75,18.0,28.1,63.0
0,2021-01-15,1.9,-9.8,2.80,0.00,1.96,10.0,25.2,54.0
0,2021-01-16,3.6,-13.6,0.40,0.10,0.21,2.0,26.6,53.3
0,2021-01-17,-6.9,-12.6,0.90,0.10,0.70,6.0,10.0,20.5
0,2021-01-18,-6.6,-12.9,1.20,0.00,0.84,11.0,12.7,28.1
0,2021-01-19,-7.8,-13.6,3.10,0.00,2.17,21.0,14.0,28.8
0,2021-01-20,-4.7,-10.9,2.20,0.10,1.47,19.0,18.3,37.4
0,2021-01-21,0.4,-6.9,0.90,0.00,0.63,7.0,16.7,36.4
0,2021-01-22,-1.6,-8.5,0.40,0.10,0.21,3.0,16.5,34.6
0,2021-01-23,-5.6,-15.9,0.00,0.00,0.00,0.0,6.9,12.6
0,2021-01-24,-2.7,-13.5,0.00,0.00,0.00,0.0,8.3,14.0
0,2021-01-25,-1.6,-16.4,0.00,0.00,0.00,0.0,14.8,28.4
0,2021-01-26,-1.1,-14.4,1.00,0.00,0.70,5.0,15.5,32.4
0,2021-01-27,2.6,-7.3,2.00,0.20,1.40,12.0,23.7,49.7
0,2021-01-28,-4.3,-9.9,0.30,0.00,0.21,3.0,11.8,37.1
