location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Rumoi,43.90158,141.68182,9.0,0,GMT,GMT
1,Enbetsu,44.745167,141.80556,7.0,0,GMT,GMT
2,Mashike,43.83128,141.46747,6.0,0,GMT,GMT
3,Shosanbetsu,44.253075,141.80153,158.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,-9.4,-10.6,23.3,50.8,2.30,0.00,23.0,1.61
0,2021-01-02,-6.3,-10.9,23.2,45.4,6.70,0.00,23.0,4.69
0,2021-01-03,-4.3,-6.8,25.8,49.7,5.10,0.10,24.0,3.50
0,2021-01-04,-5.5,-7.0,27.6,54.4,5.50,0.10,24.0,3.78
0,2021-01-05,-5.4,-11.2,24.4,49.7,4.30,0.00,23.0,3.08
0,2021-01-06,-6.6,-10.6,9.8,20.5,2.70,0.00,17.0,1.89
0,2021-01-07,-5.0,-8.5,18.8,36.0,6.00,0.10,19.0,4.13
0,2021-01-08,-4.8,-8.5,31.2,59.0,7.20,0.00,18.0,5.04
0,2021-01-09,-4.9,-9.9,19.8,40.0,2.20,0.10,15.0,1.54
0,2021-01-10,-5.4,-7.9,24.9,49.0,4.00,0.20,24.0,2.66
0,2021-01-11,-5.3,-7.2,24.9,53.3,2.60,0.00,12.0,1.82
0,2021-01-12,0.1,-6.1,26.5,55.4,2.90,0.00,7.0,2.03
0,2021-01-13,1.3,-3.2,31.6,63.4,3.90,0.00,13.0,2.80
0,2021-01-14,-0.3,-5.1,44.1,86.0,1.70,0.00,12.0,1.19
0,2021-01-15,3.3,-5.7,39.5,85.3,6.20,0.10,10.0,4.27
0,2021-01-16,4.1,-11.7,27.7,56.5,0.70,0.40,5.0,0.21
0,2021-01-17,-5.2,-10.1,15.4,29.9,1.30,0.00,10.0,0.91
0,2021-01-18,-4.9,-10.5,26.3,50.8,3.80,0.10,17.0,2.66
0,2021-01-19,-6.8,-8.7,31.8,61.9,5.20,0.00,24.0,3.64
0,2021-01-20,-2.1,-7.1,34.3,65.2,3.30,0.00,17.0,2.31
0,2021-01-21,2.4,-2.0,30.7,60.1,1.80,0.00,4.0,1.26
0,2021-01-22,-0.1,-5.4,29.0,56.5,0.80,0.00,5.0,0.56
0,2021-01-23,-3.5,-11.1,16.6,33.1,0.00,0.00,0.0,0.00
0,2021-01-24,-3.0,-8.6,11.1,20.5,0.10,0.00,1.0,0.07
0,2021-01-25,0.7,-10.8,18.2,36.7,0.00,0.00,0.0,0.00
0,2021-01-26,-0.2,-9.2,29.0,55.4,2.10,0.00,6.0,1.47
0,2021-01-27,3.3,-5.3,38.2,74.5,3.70,1.50,8.0,1.54
0,2021-01-28,-2.9,-7.2,26.9,51.5,0.30,0.00,3.0,0.21
0,2021-01-29,-2.5,-4.6,19.5,51.1,6.90,0.00,18.0,4.83
0,2021-01-30,-2.0,-4.8,34.4,66.2,5.00,0.00,21.0,3.50
0,2021-01-31,-2.5,-5.5,29.6,58.0,3.50,0.10,15.0,2.38
0,2021-02-01,3.0,-3.0,38.7,74.9,10.00,2.20,19.0,5.46
0,2021-02-02,-2.0,-11.3,37.5,74.5,4.20,0.00,23.0,2.94
0,2021-02-03,-9.1,-12.0,33.5,74.2,3.70,0.00,24.0,2.59
0,2021-02-04,-7.5,-8.8,36.3,71.6,3.60,0.00,24.0,2.52
0,2021-02-05,-1.1,-7.1,33.2,66.6,7.00,0.00,20.0,4.90
0,2021-02-06,1.0,-5.5,12.7,25.2,1.30,0.10,11.0,0.84
0,2021-02-07,-2.2,-12.5,19.4,41.4,2.70,0.00,15.0,1.89
