location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Otaru,43.198593,140.91046,48.0,0,GMT,GMT
1,Kutchan,42.917397,140.74184,176.0,0,GMT,GMT
2,Suttsu,42.7768,140.1923,103.0,0,GMT,GMT
3,Kimobetsu,42.7065,140.9158,350.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,-9.1,-10.8,24.9,66.2,1.20,0.00,12.0,0.84
0,2021-01-02,-6.0,-8.9,16.8,42.8,3.00,0.00,13.0,2.10
0,2021-01-03,-5.0,-7.1,18.0,42.8,3.50,0.00,24.0,2.52
0,2021-01-04,-5.6,-8.0,21.0,49.7,1.80,0.00,14.0,1.26
0,2021-01-05,-5.2,-9.4,15.0,36.4,1.50,0.00,11.0,1.05
0,2021-01-06,-4.7,-8.4,17.9,38.2,1.60,0.00,6.0,1.12
0,2021-01-07,-3.9,-6.9,31.3,71.3,12.40,0.00,21.0,8.68
0,2021-01-08,-5.6,-8.4,27.1,62.6,0.90,0.20,6.0,0.56
0,2021-01-09,-5.3,-9.1,18.5,43.9,0.10,0.00,1.0,0.07
0,2021-01-10,-6.5,-8.8,20.4,49.0,1.90,0.00,14.0,1.33
0,2021-01-11,-5.5,-6.6,20.5,48.2,0.60,0.00,6.0,0.42
0,2021-01-12,1.7,-4.9,22.4,54.4,3.00,0.00,10.0,2.10
0,2021-01-13,0.8,-2.0,27.8,72.7,2.50,0.00,16.0,1.82
0,2021-01-14,-1.6,-5.9,31.3,73.1,0.40,0.10,4.0,0.21
0,2021-01-15,4.3,-4.3,32.2,81.0,4.00,0.60,6.0,2.38
0,2021-01-16,3.8,-6.2,32.0,79.2,6.80,0.10,17.0,4.69
0,2021-01-17,-3.3,-6.6,16.6,39.6,0.50,0.00,5.0,0.35
0,2021-01-18,-4.8,-7.0,20.2,48.6,5.00,0.00,12.0,3.50
0,2021-01-19,-6.0,-8.8,30.3,73.8,5.40,0.20,22.0,3.64
0,2021-01-20,-0.2,-6.8,23.9,56.5,3.40,0.00,20.0,2.38
0,2021-01-21,2.4,-1.2,19.4,46.8,0.40,0.00,4.0,0.28
0,2021-01-22,0.2,-4.7,25.2,58.3,0.00,0.00,0.0,0.00
0,2021-01-23,-2.3,-8.3,14.5,35.3,0.20,0.00,2.0,0.14
0,2021-01-24,0.3,-5.2,16.3,34.9,0.00,0.00,0.0,0.00
0,2021-01-25,1.7,-4.8,15.5,38.2,0.00,0.00,0.0,0.00
0,2021-01-26,2.6,-2.3,18.0,47.5,0.90,0.40,6.0,0.35
0,2021-01-27,4.6,-5.3,28.7,67.3,1.30,1.30,4.0,0.00
0,2021-01-28,0.4,-4.7,28.5,81.7,3.50,0.00,9.0,2.45
0,2021-01-29,1.5,-3.0,27.7,62.6,9.10,0.00,12.0,6.37
0,2021-01-30,-1.8,-5.7,33.4,77.4,3.50,0.00,10.0,2.45
0,2021-01-31,-3.6,-6.3,28.0,70.6,1.90,0.00,9.0,1.33
0,2021-02-01,4.1,-2.1,38.6,90.0,5.50,3.90,12.0,1.12
0,2021-02-02,-2.3,-11.5,29.2,69.1,2.30,0.00,18.0,1.61
0,2021-02-03,-9.7,-11.6,27.4,65.9,2.10,0.00,16.0,1.47
0,2021-02-04,-7.4,-10.3,22.8,56.5,1.20,0.00,12.0,0.91
