location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Obihiro,42.917397,143.1454,45.0,0,GMT,GMT
1,Ikeda,42.917397,143.41246,20.0,0,GMT,GMT
2,Ashoro,43.26889,143.5426,309.0,0,GMT,GMT
3,Hiroo,42.355007,143.31378,0.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,-7.2,-13.1,26.3,50.0,0.00,0.00,0.0,0.00
0,2021-01-02,-5.6,-14.0,21.2,39.6,0.00,0.00,0.0,0.00
0,2021-01-03,-2.2,-9.7,18.2,35.6,0.00,0.00,0.0,0.00
0,2021-01-04,-2.8,-9.3,24.5,46.4,0.00,0.00,0.0,0.00
0,2021-01-05,-3.4,-12.6,18.9,37.4,0.00,0.00,0.0,0.00
0,2021-01-06,-2.8,-10.4,13.9,23.8,0.80,0.00,3.0,0.56
0,2021-01-07,-3.7,-7.5,26.6,46.1,16.80,0.10,23.0,11.69
0,2021-01-08,-4.0,-19.4,24.0,44.3,1.40,0.00,12.0,0.98
0,2021-01-09,-3.3,-21.7,13.0,27.7,0.00,0.00,0.0,0.00
0,2021-01-10,-3.9,-15.0,15.8,32.0,0.00,0.00,0.0,0.00
0,2021-01-11,-2.9,-11.3,20.2,39.2,0.00,0.00,0.0,0.00
0,2021-01-12,-2.4,-7.5,9.2,24.5,8.00,0.10,17.0,5.53
0,2021-01-13,1.8,-7.6,13.9,27.4,0.70,0.00,6.0,0.49
0,2021-01-14,-1.3,-8.7,27.2,49.3,0.20,0.00,2.0,0.21
0,2021-01-15,1.2,-11.2,13.8,25.6,8.70,0.70,8.0,5.60
0,2021-01-16,3.1,-16.8,21.6,37.8,0.10,0.10,1.0,0.00
0,2021-01-17,-8.3,-19.6,11.3,18.7,2.40,0.00,14.0,1.68
0,2021-01-18,-7.6,-15.6,14.1,25.2,3.00,0.00,13.0,2.10
0,2021-01-19,-6.3,-16.7,25.2,43.2,0.90,0.00,7.0,0.70
0,2021-01-20,-6.5,-15.7,15.9,27.7,0.50,0.00,5.0,0.35
0,2021-01-21,1.0,-10.9,27.6,47.5,0.00,0.00,0.0,0.00
0,2021-01-22,0.5,-17.5,24.1,40.7,0.00,0.00,0.0,0.00
0,2021-01-23,-5.7,-22.0,14.3,20.5,0.00,0.00,0.0,0.00
0,2021-01-24,-5.9,-19.2,11.7,15.1,0.00,0.00,0.0,0.00
0,2021-01-25,1.2,-12.2,20.1,33.5,0.00,0.00,0.0,0.00
0,2021-01-26,-5.0,-10.7,6.0,14.0,8.10,0.00,14.0,5.67
0,2021-01-27,0.8,-5.2,34.2,56.5,2.40,0.00,4.0,1.68
0,2021-01-28,-3.4,-8.3,14.5,31.3,4.80,0.00,10.0,3.36
0,2021-01-29,-3.8,-6.0,16.6,23.0,22.90,0.00,21.0,16.03
0,2021-01-30,-2.2,-9.0,33.8,47.9,0.30,0.00,3.0,0.28
0,2021-01-31,-3.6,-10.9,32.1,46.8,0.00,0.00,0.0,0.00
0,2021-02-01,4.3,-10.1,24.5,36.0,4.80,0.20,9.0,3.22
0,2021-02-02,3.9,-13.4,39.0,57.2,0.00,0.00,0.0,0.00
0,2021-02-03,-9.9,-16.9,25.6,37.4,0.60,0.00,6.0,0.42
