location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kumamoto,32.794376,130.70905,14.0,32400,Asia/Tokyo,GMT+9
1,Amakusa (Hondo),32.51318,130.18248,0.0,32400,Asia/Tokyo,GMT+9
2,Hitoyoshi,32.231983,130.75061,107.0,32400,Asia/Tokyo,GMT+9
3,Aso,32.93497,131.02942,494.0,32400,Asia/Tokyo,GMT+9
4,Minamata,32.231983,130.42374,4.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,5.8,-0.9,12.8,25.9,0.00,0.00,0.0,0.00
0,2021-01-02,7.7,1.8,11.4,22.3,0.00,0.20,2.0,0.20
0,2021-01-03,8.3,-0.2,18.3,36.0,0.00,0.00,0.0,0.00
0,2021-01-04,11.0,-2.2,12.2,23.8,0.00,0.10,1.0,0.10
0,2021-01-05,10.4,3.1,16.5,31.7,0.00,0.60,3.0,0.60
0,2021-01-06,5.8,2.0,21.9,41.8,0.00,0.00,0.0,0.00
0,2021-01-07,3.6,-2.3,30.3,56.5,0.07,2.10,9.0,2.20
0,2021-01-08,1.6,-3.9,23.1,43.9,0.28,0.00,4.0,0.40
0,2021-01-09,2.6,-3.9,17.1,33.8,0.35,0.00,5.0,0.50
0,2021-01-10,4.3,-2.1,8.7,18.7,0.00,0.00,0.0,0.00
0,2021-01-11,7.6,-0.4,9.5,23.4,0.00,0.80,4.0,0.80
0,2021-01-12,7.3,0.1,15.8,31.3,0.00,2.80,8.0,2.80
0,2021-01-13,10.6,0.6,12.4,24.5,0.00,0.00,0.0,0.00
0,2021-01-14,14.7,5.2,9.0,16.2,0.00,0.00,0.0,0.00
0,2021-01-15,15.7,2.4,12.0,24.1,0.00,0.00,0.0,0.00
0,2021-01-16,13.2,6.7,21.1,40.3,0.00,1.70,4.0,1.70
0,2021-01-17,6.3,1.4,22.8,43.6,0.00,0.00,0.0,0.00
0,2021-01-18,8.3,0.5,17.1,33.1,0.00,0.10,1.0,0.10
0,2021-01-19,9.0,0.8,13.1,26.6,0.00,0.00,0.0,0.00
0,2021-01-20,12.6,-1.9,7.1,15.5,0.00,0.00,0.0,0.00
0,2021-01-21,16.3,2.9,8.4,14.8,0.00,0.00,0.0,0.00
0,2021-01-22,18.7,9.9,7.6,13.3,0.00,1.40,7.0,1.40
0,2021-01-23,14.6,10.3,14.2,25.6,0.00,20.90,16.0,20.90
0,2021-01-24,14.2,7.0,23.9,44.6,0.00,6.60,8.0,6.60
0,2021-01-25,17.5,3.6,12.1,22.7,0.00,0.00,0.0,0.00
0,2021-01-26,13.8,9.4,16.8,34.2,0.00,5.80,10.0,5.80
0,2021-01-27,15.4,6.0,19.6,36.0,0.00,0.20,2.0,0.20
0,2021-01-28,11.6,3.2,27.4,52.6,0.00,0.50,2.0,0.50
0,2021-01-29,4.9,0.0,26.3,52.6,0.00,0.00,0.0,0.00
0,2021-01-30,8.2,-3.2,10.4,22.7,0.00,0.00,0.0,0.00
0,2021-01-31,12.6,2.2,8.7,18.0,0.00,0.00,0.0,0.00
0,2021-02-01,16.5,2.8,25.6,53.6,0.00,22.20,8.0,22.20
0,2021-02-02,11.8,3.5,22.1,43.6,0.00,8.40,7.0,8.40
0,2021-02-03,7.9,1.7,12.6,24.8,0.00,0.00,0.0,0.00
