location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Naha,26.18629,127.69737,12.0,32400,Asia/Tokyo,GMT+9
1,Ishigakishima,24.358522,124.15778,13.0,32400,Asia/Tokyo,GMT+9
2,Miyakoshima,24.780315,125.343346,19.0,32400,Asia/Tokyo,GMT+9
3,Nago,26.608084,127.94702,6.0,32400,Asia/Tokyo,GMT+9
4,Yonagunishima,24.428822,123.041626,31.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,17.2,13.3,22.1,43.6,0.00,0.00,0.0,0.00
0,2021-01-02,18.7,14.8,24.2,50.4,0.00,0.90,8.0,0.90
0,2021-01-03,20.5,15.9,22.0,45.0,0.00,0.10,1.0,0.10
0,2021-01-04,21.7,18.2,20.8,40.0,0.00,0.30,3.0,0.30
0,2021-01-05,21.6,17.2,38.3,70.2,0.00,16.10,19.0,16.10
0,2021-01-06,17.4,16.0,29.1,55.8,0.00,0.00,0.0,0.00
0,2021-01-07,16.0,11.8,37.6,72.7,0.00,5.40,20.0,5.40
0,2021-01-08,13.3,11.8,33.6,66.2,0.00,4.40,17.0,4.40
0,2021-01-09,12.5,11.3,34.6,65.5,0.00,0.30,3.0,0.30
0,2021-01-10,15.2,11.7,24.1,50.4,0.00,0.10,1.0,0.10
0,2021-01-11,17.1,13.0,18.7,37.1,0.00,1.20,10.0,1.20
0,2021-01-12,15.2,12.4,35.4,66.6,0.00,4.30,14.0,4.30
0,2021-01-13,16.3,12.4,18.4,34.9,0.00,0.00,0.0,0.00
0,2021-01-14,18.3,14.6,18.8,39.2,0.00,0.00,0.0,0.00
0,2021-01-15,20.6,16.7,19.1,36.4,0.00,1.30,7.0,1.30
0,2021-01-16,21.3,16.4,28.7,53.3,0.00,2.80,12.0,2.80
0,2021-01-17,16.4,14.3,35.6,70.2,0.00,3.50,11.0,3.50
0,2021-01-18,16.3,14.0,26.3,49.7,0.00,0.00,0.0,0.00
0,2021-01-19,17.6,13.6,22.4,45.7,0.00,0.00,0.0,0.00
0,2021-01-20,20.4,16.9,24.7,52.9,0.00,0.00,0.0,0.00
0,2021-01-21,21.4,20.1,28.1,55.8,0.00,2.10,10.0,2.10
0,2021-01-22,22.2,19.5,34.7,64.1,0.00,35.20,19.0,35.20
0,2021-01-23,22.5,20.0,31.8,61.2,0.00,70.80,12.0,70.80
0,2021-01-24,19.9,17.1,32.7,60.5,0.00,0.20,1.0,0.20
0,2021-01-25,20.8,16.4,16.9,36.0,0.00,4.00,10.0,4.00
0,2021-01-26,21.4,17.1,23.1,46.1,0.00,1.70,9.0,1.70
0,2021-01-27,20.2,17.2,22.8,46.4,0.00,0.20,2.0,0.20
0,2021-01-28,18.8,15.5,36.7,69.8,0.00,0.20,2.0,0.20
0,2021-01-29,15.5,12.9,36.2,69.5,0.00,0.00,0.0,0.00
0,2021-01-30,17.5,13.3,18.3,39.2,0.00,0.00,0.0,0.00
0,2021-01-31,19.1,15.2,21.6,44.6,0.00,0.00,0.0,0.00
0,2021-02-01,21.6,16.9,20.4,41.8,0.00,0.00,0.0,0.00
0,2021-02-02,21.8,16.4,28.0,58.3,0.00,1.40,3.0,1.40
0,2021-02-03,18.2,14.3,23.7,48.2,0.00,0.00,0.0,0.00
0,2021-02-04,19.6,15.2,16.4,33.1,0.00,0.00,0.0,0.00
0,2021-02-05,20.3,16.0,14.5,32.0,0.00,0.00,0.0,0.00
0,2021-02-06,22.5,18.2,12.7,29.2,0.00,0.00,0.0,0.00
0,2021-02-07,21.2,17.0,16.2,35.3,0.00,0.00,0.0,0.00
0,2021-02-08,20.0,16.2,24.2,49.7,0.00,0.00,0.0,0.00
0,2021-02-09,18.4,15.1,22.4,42.5,0.00,0.00,0.0,0.00
0,2021-02-10,20.6,17.0,31.0,60.8,0.00,3.80,9.0,3.80
0,2021-02-11,19.6,16.6,52.7,96.8,0.00,112.70,24.0,112.70
0,2021-02-12,20.8,17.4,52.0,97.9,0.00,2.30,13.0,2.30
0,2021-02-13,21.6,18.5,24.3,47.5,0.00,0.40,4.0,0.40
0,2021-02-14,23.1,18.2,29.3,54.0,0.00,1.10,6.0,1.10
0,2021-02-15,20.3,16.9,33.5,62.6,0.00,0.00,0.0,0.00
0,2021-02-16,17.9,15.6,18.8,34.9,0.00,0.00,0.0,0.00
0,2021-02-17,16.0,12.5,39.7,78.8,0.00,4.30,7.0,4.30
0,2021-02-18,13.3,11.5,36.1,72.7,0.00,0.00,0.0,0.00
0,2021-02-19,16.0,11.3,28.7,56.9,0.00,0.00,0.0,0.00
0,2021-02-20,17.7,11.7,8.4,22.7,0.00,0.00,0.0,0.00
0,2021-02-21,19.8,12.5,12.3,27.4,0.00,0.00,0.0,0.00
0,2021-02-22,22.1,16.1,10.5,26.6,0.00,0.00,0.0,0.00
0,2021-02-23,22.8,15.3,14.6,29.9,0.00,1.10,4.0,1.10
0,2021-02-24,22.2,17.9,20.5,41.4,0.00,0.00,0.0,0.00
0,2021-02-25,22.6,19.4,29.1,58.7,0.00,13.50,12.0,13.50
0,2021-02-26,23.0,20.2,33.5,66.2,0.00,11.40,17.0,11.40
0,2021-02-27,22.3,19.1,12.6,25.6,0.00,3.50,8.0,3.50
0,2021-02-28,22.8,19.2,19.9,37.4,0.00,0.40,4.0,0.40
0,2021-03-01,23.6,18.9,19.1,36.4,0.00,0.50,3.0,0.50
0,2021-03-02,20.6,16.9,33.5,68.0,0.00,1.30,7.0,1.30
0,2021-03-03,19.3,15.8,24.6,51.8,0.00,0.00,0.0,0.00
0,2021-03-04,21.7,18.3,23.4,48.6,0.00,0.40,4.0,0.40
0,2021-03-05,21.0,17.1,16.8,33.5,0.00,8.90,4.0,8.90
0,2021-03-06,21.8,16.4,17.3,33.8,0.00,5.50,5.0,5.50
0,2021-03-07,21.5,19.3,19.9,40.3,0.00,24.00,20.0,24.00
0,2021-03-08,22.3,18.5,20.3,42.5,0.00,1.60,10.0,1.60
0,2021-03-09,22.7,16.7,19.9,41.0,0.00,1.00,4.0,1.00
0,2021-03-10,21.2,17.7,20.6,47.2,0.00,0.60,5.0,0.60
0,2021-03-11,22.6,15.6,18.3,38.2,0.00,0.20,2.0,0.20
0,2021-03-12,23.3,18.6,24.9,51.8,0.00,1.50,5.0,1.50
0,2021-03-13,19.0,16.7,21.1,40.7,0.00,0.00,0.0,0.00
0,2021-03-14,21.9,16.3,15.0,32.4,0.00,0.10,1.0,0.10
0,2021-03-15,21.7,16.9,17.1,35.6,0.00,0.00,0.0,0.00
0,2021-03-16,23.6,20.6,17.1,34.6,0.00,0.00,0.0,0.00
0,2021-03-17,24.5,18.5,9.0,20.5,0.00,0.80,4.0,0.80
0,2021-03-18,24.6,18.3,9.5,25.2,0.00,0.00,0.0,0.00
0,2021-03-19,24.4,18.0,10.0,18.4,0.00,2.30,6.0,2.30
0,2021-03-20,24.3,21.0,14.9,33.5,0.00,0.40,3.0,0.40
0,2021-03-21,22.1,17.4,35.0,68.4,0.00,2.50,7.0,2.50
0,2021-03-22,17.6,15.6,31.0,58.7,0.00,0.00,0.0,0.00
0,2021-03-23,18.8,15.4,20.6,40.7,0.00,0.00,0.0,0.00
0,2021-03-24,20.4,17.8,25.5,51.1,0.00,8.90,11.0,8.90
0,2021-03-25,22.4,19.0,20.9,41.0,0.00,4.10,8.0,4.10
0,2021-03-26,22.6,19.5,25.9,52.9,0.00,0.20,2.0,0.20
0,2021-03-27,23.9,20.7,27.1,55.4,0.00,0.00,0.0,0.00
0,2021-03-28,24.5,21.5,29.6,59.0,0.00,14.10,14.0,14.10
0,2021-03-29,24.6,20.3,12.8,31.7,0.00,0.10,1.0,0.10
0,2021-03-30,24.6,21.1,25.9,51.5,0.00,4.40,14.0,4.40
0,2021-03-31,25.3,20.3,14.8,33.5,0.00,1.40,4.0,1.40
0,2021-04-01,26.0,21.9,17.5,32.4,0.00,0.40,2.0,0.40
0,2021-04-02,25.1,22.2,22.0,44.6,0.00,3.10,14.0,3.10
0,2021-04-03,25.4,20.9,14.5,38.2,0.00,0.00,0.0,0.00
0,2021-04-04,23.0,18.9,33.2,66.6,0.00,0.20,1.0,0.20
0,2021-04-05,22.3,18.1,31.0,63.0,0.00,0.30,3.0,0.30
0,2021-04-06,21.0,18.1,27.2,55.1,0.00,0.00,0.0,0.00
0,2021-04-07,22.6,18.1,25.3,49.0,0.00,0.00,0.0,0.00
0,2021-04-08,22.6,18.2,15.3,34.6,0.00,0.00,0.0,0.00
0,2021-04-09,23.0,18.8,16.8,31.3,0.00,4.50,7.0,4.50
0,2021-04-10,23.3,20.4,28.6,55.1,0.00,0.00,0.0,0.00
0,2021-04-11,22.7,20.5,32.8,66.2,0.00,0.00,0.0,0.00
0,2021-04-12,24.6,20.3,27.2,51.1,0.00,0.40,4.0,0.40
0,2021-04-13,25.3,21.0,18.1,34.6,0.00,0.90,4.0,0.90
0,2021-04-14,22.9,19.5,24.9,50.0,0.00,0.00,0.0,0.00
0,2021-04-15,22.5,18.7,20.9,42.1,0.00,3.10,6.0,3.10
0,2021-04-16,24.7,20.2,18.4,38.9,0.00,3.90,10.0,3.90
0,2021-04-17,24.6,20.2,31.7,63.4,0.00,0.90,2.0,0.90
0,2021-04-18,20.0,17.5,31.2,64.4,0.00,0.00,0.0,0.00
0,2021-04-19,22.2,17.4,22.9,48.6,0.00,0.00,0.0,0.00
0,2021-04-20,22.2,18.6,28.9,60.1,0.00,0.00,0.0,0.00
0,2021-04-21,23.4,19.9,32.1,63.4,0.00,5.00,8.0,5.00
0,2021-04-22,22.1,21.0,34.7,63.4,0.00,20.20,21.0,20.20
0,2021-04-23,21.4,19.5,44.0,81.7,0.00,37.80,22.0,37.80
0,2021-04-24,22.5,19.7,39.6,77.8,0.00,0.60,6.0,0.60
0,2021-04-25,23.3,19.6,24.1,50.4,0.00,2.60,6.0,2.60
0,2021-04-26,23.4,19.1,17.6,38.5,0.00,0.00,0.0,0.00
0,2021-04-27,23.6,19.5,19.3,41.0,0.00,0.00,0.0,0.00
0,2021-04-28,24.4,17.7,16.3,36.7,0.00,0.60,3.0,0.60
0,2021-04-29,23.1,18.4,31.8,59.0,0.00,14.00,15.0,14.00
0,2021-04-30,23.3,16.8,12.7,29.2,0.00,0.00,0.0,0.00
0,2021-05-01,25.5,20.9,24.3,50.0,0.00,0.00,0.0,0.00
0,2021-05-02,25.0,19.9,17.7,35.3,0.00,0.00,0.0,0.00
0,2021-05-03,23.0,19.2,19.2,39.6,0.00,0.00,0.0,0.00
0,2021-05-04,24.2,20.8,25.7,52.9,0.00,0.00,0.0,0.00
0,2021-05-05,25.6,21.5,27.0,53.6,0.00,3.30,7.0,3.30
0,2021-05-06,26.0,21.1,13.7,34.6,0.00,0.70,6.0,0.70
0,2021-05-07,26.1,23.1,22.6,45.7,0.00,0.70,7.0,0.70
0,2021-05-08,25.9,23.1,24.0,49.3,0.00,1.80,6.0,1.80
0,2021-05-09,26.3,22.4,17.6,37.4,0.00,10.50,18.0,10.50
0,2021-05-10,26.5,21.7,22.3,47.2,0.00,12.30,13.0,12.30
0,2021-05-11,26.6,23.9,24.8,50.8,0.00,4.10,7.0,4.10
0,2021-05-12,26.9,23.9,26.3,53.6,0.00,0.00,0.0,0.00
0,2021-05-13,27.2,24.3,22.9,44.3,0.00,0.30,3.0,0.30
0,2021-05-14,27.4,24.1,20.0,42.5,0.00,0.00,0.0,0.00
0,2021-05-15,27.7,24.7,21.0,44.3,0.00,0.00,0.0,0.00
0,2021-05-16,27.8,24.9,24.0,48.2,0.00,0.00,0.0,0.00
0,2021-05-17,28.3,25.0,21.7,45.0,0.00,0.00,0.0,0.00
