location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Utsunomiya,36.52021,139.88235,118.0,0,GMT,GMT
1,Nikko,36.731106,139.72441,380.0,0,GMT,GMT
2,Nasushiobara,36.942,140.03954,300.0,0,GMT,GMT
3,Oyama,36.309315,139.80469,37.0,0,GMT,GMT
4,Ashikaga,36.309315,139.45312,37.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,3.3,-4.6,19.0,36.7,0.00,0.00,0.0,0.00
0,2021-01-02,7.0,-3.3,18.9,32.0,0.00,0.00,0.0,0.00
0,2021-01-03,4.7,-3.3,11.6,20.9,0.00,0.00,0.0,0.00
0,2021-01-04,9.2,-1.7,11.5,20.5,0.00,0.00,0.0,0.00
0,2021-01-05,8.3,-0.9,11.5,22.7,0.00,0.00,0.0,0.00
0,2021-01-06,6.1,-0.5,20.3,39.2,0.00,0.00,0.0,0.00
0,2021-01-07,10.4,-5.3,46.9,82.4,0.00,0.00,0.0,0.00
0,2021-01-08,3.2,-6.8,13.9,29.9,0.00,0.00,0.0,0.00
0,2021-01-09,5.7,-5.1,15.5,29.9,0.00,0.00,0.0,0.00
0,2021-01-10,5.7,-3.8,19.5,33.5,0.00,0.00,0.0,0.00
0,2021-01-11,5.5,-1.2,13.4,31.0,0.60,0.00,4.0,0.42
0,2021-01-12,4.5,-2.1,10.3,23.0,3.00,3.00,11.0,0.00
0,2021-01-13,8.6,-2.7,10.5,16.2,0.00,0.00,0.0,0.00
0,2021-01-14,13.0,-1.4,20.2,36.4,0.00,0.00,0.0,0.00
0,2021-01-15,7.7,-0.5,10.1,18.7,0.30,0.30,2.0,0.00
0,2021-01-16,12.4,-0.9,20.9,37.8,1.60,1.60,3.0,0.00
0,2021-01-17,6.2,-2.0,15.5,26.6,1.50,0.40,4.0,0.77
0,2021-01-18,6.2,-2.0,13.4,27.0,0.70,0.10,3.0,0.42
0,2021-01-19,4.0,-6.2,15.8,29.2,0.00,0.00,0.0,0.00
0,2021-01-20,5.7,-3.5,11.6,19.8,0.00,0.00,0.0,0.00
0,2021-01-21,8.7,-1.9,9.0,19.4,0.00,0.00,0.0,0.00
0,2021-01-22,13.1,4.6,14.5,24.8,0.00,0.00,0.0,0.00
0,2021-01-23,6.1,1.7,23.4,40.7,15.90,12.80,23.0,2.17
0,2021-01-24,6.7,0.0,24.4,42.8,3.40,3.40,11.0,0.00
0,2021-01-25,13.3,-0.9,12.7,21.6,0.00,0.00,0.0,0.00
0,2021-01-26,11.4,5.6,10.7,22.0,0.20,0.20,2.0,0.00
0,2021-01-27,14.9,0.4,37.3,66.2,0.00,0.00,0.0,0.00
0,2021-01-28,5.7,1.9,11.9,25.9,1.00,1.00,7.0,0.00
0,2021-01-29,7.9,-5.3,27.2,51.8,0.00,0.00,0.0,0.00
0,2021-01-30,4.8,-5.9,19.0,36.7,0.00,0.00,0.0,0.00
0,2021-01-31,6.0,-4.9,17.1,32.0,0.00,0.00,0.0,0.00
0,2021-02-01,7.2,0.7,13.8,23.0,3.90,3.90,7.0,0.00
0,2021-02-02,14.7,-3.9,26.0,47.9,0.10,0.10,1.0,0.00
0,2021-02-03,7.5,-3.4,25.4,47.2,0.00,0.00,0.0,0.00
0,2021-02-04,10.4,-5.7,23.1,47.2,0.00,0.00,0.0,0.00
0,2021-02-05,10.1,-1.7,10.8,25.2,0.00,0.00,0.0,0.00
0,2021-02-06,13.5,-1.2,10.8,19.4,0.00,0.00,0.0,0.00
0,2021-02-07,16.0,-2.3,18.6,36.4,0.00,0.00,0.0,0.00
0,2021-02-08,7.6,-6.1,22.1,40.0,0.00,0.00,0.0,0.00
0,2021-02-09,6.1,-4.6,29.6,56.2,0.10,0.00,1.0,0.07
0,2021-02-10,11.0,-2.4,11.7,25.2,0.00,0.00,0.0,0.00
0,2021-02-11,9.6,-1.9,18.8,39.6,0.00,0.00,0.0,0.00
0,2021-02-12,11.5,-0.9,11.3,24.8,0.00,0.00,0.0,0.00
0,2021-02-13,13.7,1.0,11.8,25.9,0.00,0.00,0.0,0.00
0,2021-02-14,16.8,6.9,16.8,30.2,3.00,3.00,5.0,0.00
0,2021-02-15,12.3,2.5,26.8,57.2,37.50,37.50,10.0,0.00
0,2021-02-16,11.9,-2.2,31.6,63.7,0.00,0.00,0.0,0.00
0,2021-02-17,8.2,-5.3,20.2,40.3,0.30,0.30,2.0,0.00
0,2021-02-18,6.0,-5.9,23.4,45.0,0.10,0.00,1.0,0.07
0,2021-02-19,8.7,-3.8,11.7,20.5,0.00,0.00,0.0,0.00
0,2021-02-20,14.1,-0.5,14.9,30.2,0.00,0.00,0.0,0.00
0,2021-02-21,19.7,2.4,18.5,38.2,0.00,0.00,0.0,0.00
0,2021-02-22,19.8,4.9,16.7,29.9,0.10,0.10,1.0,0.00
0,2021-02-23,12.3,-3.7,28.5,52.9,0.00,0.00,0.0,0.00
0,2021-02-24,7.4,-4.8,16.2,34.2,0.00,0.00,0.0,0.00
0,2021-02-25,9.5,0.3,11.6,24.5,0.10,0.10,1.0,0.00
0,2021-02-26,10.1,0.5,27.7,48.2,0.00,0.00,0.0,0.00
0,2021-02-27,5.8,-4.1,29.5,58.7,0.00,0.00,0.0,0.00
0,2021-02-28,10.7,-0.3,14.1,32.0,0.00,0.00,0.0,0.00
0,2021-03-01,16.8,8.4,22.3,39.2,0.00,0.00,0.0,0.00
0,2021-03-02,19.4,1.3,30.9,57.2,14.20,14.20,12.0,0.00
0,2021-03-03,8.3,-0.7,29.0,55.4,0.00,0.00,0.0,0.00
0,2021-03-04,12.8,4.7,14.7,29.9,0.00,0.00,0.0,0.00
0,2021-03-05,15.0,6.0,13.4,28.1,1.80,1.80,7.0,0.00
0,2021-03-06,19.5,1.2,32.6,59.8,0.00,0.00,0.0,0.00
0,2021-03-07,9.3,2.8,15.8,29.2,1.90,1.90,7.0,0.00
0,2021-03-08,7.9,2.4,12.6,21.6,3.00,3.00,7.0,0.00
0,2021-03-09,12.2,3.6,9.7,24.8,0.00,0.00,0.0,0.00
0,2021-03-10,15.3,-2.5,33.2,59.4,0.00,0.00,0.0,0.00
0,2021-03-11,13.6,2.4,11.6,26.3,0.00,0.00,0.0,0.00
0,2021-03-12,15.4,7.9,19.0,32.8,9.70,9.70,10.0,0.00
0,2021-03-13,11.7,3.8,38.0,68.0,52.80,52.80,13.0,0.00
0,2021-03-14,14.9,2.1,16.2,34.2,0.00,0.00,0.0,0.00
0,2021-03-15,16.4,1.8,12.3,25.6,0.00,0.00,0.0,0.00
0,2021-03-16,16.7,2.7,12.4,26.3,0.00,0.00,0.0,0.00
0,2021-03-17,15.7,-0.5,24.9,46.4,0.00,0.00,0.0,0.00
0,2021-03-18,15.6,5.4,16.0,28.1,0.00,0.00,0.0,0.00
0,2021-03-19,15.7,7.6,18.5,33.8,0.00,0.00,0.0,0.00
0,2021-03-20,15.3,9.7,14.8,28.1,9.60,9.60,12.0,0.00
0,2021-03-21,17.4,8.7,40.8,79.9,38.60,38.60,21.0,0.00
0,2021-03-22,13.2,0.6,14.8,28.1,0.10,0.10,1.0,0.00
0,2021-03-23,13.8,2.4,13.7,28.8,0.00,0.00,0.0,0.00
0,2021-03-24,17.0,6.7,12.6,28.4,0.00,0.00,0.0,0.00
0,2021-03-25,17.0,3.4,11.8,24.8,0.00,0.00,0.0,0.00
0,2021-03-26,17.1,0.9,17.6,34.2,0.00,0.00,0.0,0.00
0,2021-03-27,16.5,7.7,15.1,27.0,0.20,0.20,2.0,0.00
0,2021-03-28,17.5,12.8,31.7,64.8,45.50,45.50,21.0,0.00
0,2021-03-29,22.6,13.0,18.3,32.0,0.00,0.00,0.0,0.00
0,2021-03-30,20.3,9.8,17.6,33.1,4.50,4.50,6.0,0.00
0,2021-03-31,19.2,8.7,18.7,36.7,0.80,0.80,3.0,0.00
0,2021-04-01,19.2,9.6,15.6,31.3,0.00,0.00,0.0,0.00
0,2021-04-02,18.2,11.4,15.9,29.5,0.10,0.10,1.0,0.00
0,2021-04-03,19.3,12.3,14.6,29.5,0.00,0.00,0.0,0.00
0,2021-04-04,19.4,12.2,22.2,38.5,9.70,9.70,16.0,0.00
0,2021-04-05,14.2,4.1,28.2,49.3,3.40,3.40,7.0,0.00
0,2021-04-06,14.5,5.9,17.7,33.8,0.00,0.00,0.0,0.00
0,2021-04-07,17.5,6.7,15.8,26.6,1.30,1.30,4.0,0.00
0,2021-04-08,17.4,3.4,21.7,40.7,4.80,4.80,8.0,0.00
0,2021-04-09,14.7,2.1,24.0,44.3,0.00,0.00,0.0,0.00
0,2021-04-10,15.1,3.8,19.4,37.8,0.00,0.00,0.0,0.00
0,2021-04-11,16.3,5.6,15.2,27.7,0.00,0.00,0.0,0.00
0,2021-04-12,18.0,9.7,20.0,35.6,0.30,0.30,3.0,0.00
0,2021-04-13,19.2,12.5,36.4,65.9,3.90,3.90,15.0,0.00
0,2021-04-14,16.1,4.9,34.5,59.8,10.90,10.90,12.0,0.00
0,2021-04-15,14.7,5.2,18.0,36.0,0.00,0.00,0.0,0.00
0,2021-04-16,16.6,11.8,17.7,34.2,0.90,0.90,5.0,0.00
0,2021-04-17,16.6,9.9,20.6,49.7,42.00,42.00,18.0,0.00
0,2021-04-18,18.2,9.2,33.0,58.0,0.60,0.60,2.0,0.00
0,2021-04-19,18.0,4.7,14.8,31.7,0.00,0.00,0.0,0.00
0,2021-04-20,22.9,8.2,13.4,29.9,0.00,0.00,0.0,0.00
0,2021-04-21,22.0,6.9,21.0,36.7,0.00,0.00,0.0,0.00
0,2021-04-22,23.2,5.5,23.5,44.3,0.00,0.00,0.0,0.00
0,2021-04-23,20.1,5.6,20.0,39.6,0.00,0.00,0.0,0.00
0,2021-04-24,20.7,9.8,12.5,27.4,0.00,0.00,0.0,0.00
0,2021-04-25,19.7,4.8,35.0,61.9,0.10,0.10,1.0,0.00
0,2021-04-26,15.4,1.7,30.6,57.6,0.00,0.00,0.0,0.00
0,2021-04-27,19.5,6.9,21.2,38.5,0.00,0.00,0.0,0.00
0,2021-04-28,22.1,13.4,9.8,23.8,7.20,7.20,9.0,0.00
0,2021-04-29,17.1,10.6,29.6,59.0,48.80,48.80,18.0,0.00
0,2021-04-30,22.9,7.0,20.9,35.3,2.70,2.70,5.0,0.00
0,2021-05-01,20.9,11.5,31.1,55.4,3.20,3.20,7.0,0.00
0,2021-05-02,18.7,5.6,28.2,50.8,8.60,8.60,8.0,0.00
0,2021-05-03,19.8,6.0,23.1,47.2,0.00,0.00,0.0,0.00
0,2021-05-04,23.4,9.7,14.5,31.3,0.00,0.00,0.0,0.00
0,2021-05-05,19.6,14.4,22.0,38.5,6.60,6.60,14.0,0.00
0,2021-05-06,23.9,12.4,16.3,32.8,0.00,0.00,0.0,0.00
0,2021-05-07,20.7,11.3,7.6,23.8,0.90,0.90,4.0,0.00
0,2021-05-08,24.5,13.8,11.5,22.7,0.00,0.00,0.0,0.00
0,2021-05-09,26.8,8.6,23.3,46.1,0.00,0.00,0.0,0.00
0,2021-05-10,23.5,11.7,16.3,32.8,0.00,0.00,0.0,0.00
0,2021-05-11,18.6,10.0,11.9,23.8,1.20,1.20,4.0,0.00
0,2021-05-12,20.8,12.1,19.1,36.4,0.00,0.00,0.0,0.00
0,2021-05-13,20.2,15.4,7.2,19.8,0.30,0.30,3.0,0.00
