location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Yamagata,38.27768,140.35135,199.0,32400,Asia/Tokyo,GMT+9
1,Tsuruoka,38.76977,139.84993,19.0,32400,Asia/Tokyo,GMT+9
2,Sakata,38.910366,139.86319,11.0,32400,Asia/Tokyo,GMT+9
3,Yonezawa,37.926186,140.13423,243.0,32400,Asia/Tokyo,GMT+9

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),snowfall_sum (cm),rain_sum (mm),precipitation_hours (h),precipitation_sum (mm)
0,2021-01-01,-1.8,-6.2,18.0,56.5,9.94,0.00,24.0,14.20
0,2021-01-02,-2.9,-6.1,12.9,29.2,5.74,0.00,24.0,8.10
0,2021-01-03,0.2,-7.9,16.1,45.0,2.66,0.00,20.0,3.80
0,2021-01-04,0.8,-2.2,8.6,24.8,6.30,0.10,24.0,9.10
0,2021-01-05,2.1,-4.0,12.2,33.8,4.06,0.10,18.0,5.90
0,2021-01-06,-0.2,-4.8,12.6,33.8,2.52,0.10,8.0,3.60
0,2021-01-07,3.3,-3.2,30.5,91.1,4.83,0.00,21.0,6.90
0,2021-01-08,-3.2,-6.4,22.9,74.2,3.50,0.10,24.0,5.10
0,2021-01-09,-3.1,-8.6,11.2,24.5,3.36,0.00,24.0,4.80
0,2021-01-10,-2.4,-7.8,14.9,41.8,2.31,0.10,21.0,3.40
0,2021-01-11,0.6,-6.1,17.2,47.2,1.54,0.00,11.0,2.20
0,2021-01-12,2.0,-3.5,11.4,28.8,1.96,0.00,12.0,2.70
0,2021-01-13,4.1,0.6,15.9,50.4,1.12,0.90,15.0,2.50
0,2021-01-14,5.2,0.2,17.9,50.8,0.00,4.20,8.0,4.20
0,2021-01-15,3.4,-5.2,12.2,31.3,0.00,0.00,0.0,0.00
0,2021-01-16,4.8,-1.4,18.8,52.2,0.35,6.40,14.0,6.90
0,2021-01-17,1.6,-4.3,18.0,53.6,0.07,0.00,1.0,0.10
0,2021-01-18,2.0,-8.6,14.9,40.7,2.31,0.00,9.0,3.30
0,2021-01-19,1.1,-5.2,26.1,86.8,4.55,0.00,20.0,6.30
0,2021-01-20,-0.1,-4.1,15.0,44.3,0.21,0.00,2.0,0.20
0,2021-01-21,4.9,-4.7,11.4,32.4,0.00,0.00,0.0,0.00
0,2021-01-22,7.0,0.1,11.2,34.6,0.00,1.30,7.0,1.30
0,2021-01-23,3.9,-2.9,12.8,33.1,0.00,0.00,0.0,0.00
0,2021-01-24,3.7,-0.3,9.6,28.8,0.00,0.00,0.0,0.00
0,2021-01-25,4.5,-3.4,7.3,11.2,0.00,0.00,0.0,0.00
0,2021-01-26,5.3,-5.1,7.1,21.2,0.00,0.00,0.0,0.00
0,2021-01-27,7.4,-0.5,14.4,45.7,0.00,4.90,11.0,4.90
0,2021-01-28,2.1,-3.9,12.6,35.6,0.63,0.00,5.0,0.90
0,2021-01-29,1.0,-3.5,23.3,65.2,4.62,0.00,18.0,6.60
0,2021-01-30,-0.6,-3.9,23.5,73.8,2.80,0.10,23.0,4.10
0,2021-01-31,0.1,-2.0,20.0,57.6,1.47,0.00,8.0,2.10
0,2021-02-01,5.1,-8.1,10.5,34.6,0.00,2.70,8.0,2.70
0,2021-02-02,5.8,-1.5,20.9,59.8,1.61,10.30,23.0,12.60
0,2021-02-03,-1.2,-2.7,20.8,54.7,5.81,0.30,24.0,8.60
0,2021-02-04,1.9,-2.9,26.9,84.2,9.38,0.00,23.0,13.30
0,2021-02-05,2.5,-2.7,21.5,58.7,0.91,0.00,9.0,1.30
0,2021-02-06,6.9,2.3,13.7,40.0,0.00,0.30,2.0,0.30
0,2021-02-07,5.2,0.2,18.9,50.4,1.26,6.80,19.0,8.60
0,2021-02-08,0.0,-4.1,26.3,69.1,1.40,0.00,18.0,2.00
0,2021-02-09,-1.2,-4.5,22.1,61.6,1.82,0.00,17.0,2.60
0,2021-02-10,4.1,-2.2,16.3,50.0,1.47,3.30,20.0,5.40
0,2021-02-11,3.2,-1.2,20.1,62.6,1.26,0.20,6.0,1.90
0,2021-02-12,6.2,-7.5,9.7,23.8,0.00,0.00,0.0,0.00
0,2021-02-13,13.0,-4.4,8.6,21.2,0.00,0.00,0.0,0.00
0,2021-02-14,13.7,3.9,12.5,33.5,0.00,0.00,0.0,0.00
0,2021-02-15,7.4,4.4,16.7,53.6,0.00,41.00,16.0,41.00
0,2021-02-16,5.8,-0.1,28.9,93.6,7.14,4.60,24.0,14.80
0,2021-02-17,-0.2,-4.9,17.3,72.4,8.47,0.00,24.0,12.10
0,2021-02-18,-1.5,-5.4,17.5,61.9,2.03,0.10,19.0,3.00
0,2021-02-19,3.1,-4.0,15.8,45.0,0.21,0.00,3.0,0.30
0,2021-02-20,8.1,0.9,18.3,67.7,0.00,9.00,8.0,9.00
0,2021-02-21,12.3,0.5,13.1,43.2,0.00,0.00,0.0,0.00
0,2021-02-22,15.4,6.4,20.3,55.4,0.00,0.40,3.0,0.40
0,2021-02-23,9.2,-1.7,31.9,83.5,1.33,5.40,20.0,7.30
0,2021-02-24,0.6,-2.7,27.7,75.6,1.54,0.10,16.0,2.20
0,2021-02-25,3.9,-2.3,18.6,50.8,0.00,0.00,0.0,0.00
0,2021-02-26,5.4,-1.3,23.6,61.9,0.21,0.00,3.0,0.30
0,2021-02-27,1.9,-4.3,19.6,64.1,1.26,0.00,5.0,1.80
0,2021-02-28,12.6,-5.6,8.2,24.8,0.00,0.00,0.0,0.00
0,2021-03-01,15.1,1.1,10.5,31.7,0.00,0.00,0.0,0.00
0,2021-03-02,12.8,1.8,16.9,43.2,0.21,12.20,18.0,12.50
0,2021-03-03,2.8,-3.9,15.5,47.9,0.35,0.00,4.0,0.50
0,2021-03-04,12.6,-4.6,11.3,26.3,0.00,0.00,0.0,0.00
0,2021-03-05,14.1,0.2,7.1,19.4,0.00,0.00,0.0,0.00
