location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kofu,35.676624,138.53282,278.0,0,GMT,GMT
1,Fujiyoshida,35.536026,138.87035,771.0,0,GMT,GMT
2,Otsuki,35.606327,138.93315,361.0,0,GMT,GMT
3,Nirasaki,35.74692,138.47939,350.0,0,GMT,GMT
4,Fujikawaguchiko,35.536026,138.7548,831.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),snowfall_sum (cm)
0,2021-01-01,9.8,-1.9,19.1,47.2,0.00,0.00,0.0,0.00
0,2021-01-02,11.1,-0.4,15.6,40.0,0.00,0.00,0.0,0.00
0,2021-01-03,12.5,-0.2,14.1,35.3,0.00,0.00,0.0,0.00
0,2021-01-04,13.7,-0.7,11.5,29.5,0.00,0.00,0.0,0.00
0,2021-01-05,14.6,-0.6,14.0,34.9,0.00,0.00,0.0,0.00
0,2021-01-06,10.2,1.6,22.6,56.5,0.00,0.00,0.0,0.00
0,2021-01-07,13.3,-1.2,20.6,54.7,0.00,0.00,0.0,0.00
0,2021-01-08,6.3,-1.9,14.8,36.7,0.00,0.00,0.0,0.00
0,2021-01-09,5.7,-2.8,13.0,42.1,0.00,0.00,0.0,0.00
0,2021-01-10,8.0,-2.1,14.8,39.6,0.50,0.00,2.0,0.35
0,2021-01-11,7.8,2.8,18.6,45.4,0.00,0.00,0.0,0.00
0,2021-01-12,9.3,-1.6,13.1,32.8,9.20,9.20,13.0,0.00
0,2021-01-13,13.2,-1.7,17.2,42.1,0.00,0.00,0.0,0.00
0,2021-01-14,16.0,0.0,13.5,29.9,0.00,0.00,0.0,0.00
0,2021-01-15,13.2,-1.6,14.6,34.6,0.00,0.00,0.0,0.00
0,2021-01-16,18.3,3.9,15.0,41.0,0.60,0.60,4.0,0.00
0,2021-01-17,12.2,-0.1,18.2,45.4,2.90,2.90,3.0,0.00
0,2021-01-18,10.5,3.6,25.6,66.6,1.40,1.40,4.0,0.00
0,2021-01-19,9.5,-3.1,24.4,65.5,0.00,0.00,0.0,0.00
0,2021-01-20,10.8,-1.1,13.7,33.8,0.00,0.00,0.0,0.00
0,2021-01-21,15.2,0.8,9.0,20.2,0.00,0.00,0.0,0.00
0,2021-01-22,17.7,6.7,14.4,34.9,2.90,2.90,13.0,0.00
0,2021-01-23,7.4,3.6,9.7,29.9,22.10,22.10,24.0,0.00
0,2021-01-24,7.1,-0.4,8.2,18.0,10.40,10.40,18.0,0.00
0,2021-01-25,14.1,-2.7,10.2,24.8,0.00,0.00,0.0,0.00
0,2021-01-26,12.9,4.8,11.5,25.9,9.20,9.20,11.0,0.00
0,2021-01-27,17.6,4.5,16.8,45.4,0.00,0.00,0.0,0.00
0,2021-01-28,9.6,4.3,20.7,52.9,1.30,1.30,5.0,0.00
0,2021-01-29,8.5,1.8,22.3,58.0,0.00,0.00,0.0,0.00
0,2021-01-30,8.6,1.8,15.6,43.6,0.00,0.00,0.0,0.00
0,2021-01-31,13.2,0.6,16.7,41.8,0.00,0.00,0.0,0.00
0,2021-02-01,15.8,7.9,19.4,50.0,28.10,28.10,14.0,0.00
0,2021-02-02,16.4,6.5,19.1,51.5,0.50,0.50,1.0,0.00
0,2021-02-03,11.4,0.2,20.1,50.8,0.00,0.00,0.0,0.00
0,2021-02-04,12.7,3.1,22.4,59.0,0.00,0.00,0.0,0.00
0,2021-02-05,13.5,1.9,15.3,37.1,0.00,0.00,0.0,0.00
0,2021-02-06,17.3,0.4,11.7,27.7,0.00,0.00,0.0,0.00
0,2021-02-07,16.7,2.6,20.2,49.7,0.00,0.00,0.0,0.00
0,2021-02-08,13.1,-0.5,23.5,60.8,0.20,0.10,2.0,0.07
0,2021-02-09,8.0,-1.8,17.0,44.6,0.00,0.00,0.0,0.00
0,2021-02-10,14.8,2.4,15.7,38.9,0.00,0.00,0.0,0.00
0,2021-02-11,13.5,-1.0,15.8,41.8,0.00,0.00,0.0,0.00
0,2021-02-12,13.1,3.8,9.1,18.0,0.00,0.00,0.0,0.00
0,2021-02-13,14.7,1.1,9.1,17.6,0.00,0.00,0.0,0.00
0,2021-02-14,16.4,6.1,9.2,26.3,4.10,4.10,4.0,0.00
0,2021-02-15,11.1,7.5,23.9,58.7,40.20,40.20,10.0,0.00
0,2021-02-16,13.3,6.1,21.7,59.4,0.00,0.00,0.0,0.00
0,2021-02-17,11.7,-3.7,14.7,40.0,1.80,1.40,4.0,0.28
0,2021-02-18,6.4,-2.5,16.8,45.4,0.00,0.00,0.0,0.00
0,2021-02-19,11.4,-1.7,9.7,23.4,0.00,0.00,0.0,0.00
0,2021-02-20,16.9,4.3,11.9,26.6,0.10,0.10,1.0,0.00
0,2021-02-21,17.2,2.9,13.2,32.4,0.00,0.00,0.0,0.00
0,2021-02-22,20.3,6.8,21.6,58.0,0.00,0.00,0.0,0.00
0,2021-02-23,16.9,-1.3,24.1,60.5,0.00,0.00,0.0,0.00
0,2021-02-24,12.9,-2.6,18.1,47.2,1.10,1.10,3.0,0.00
0,2021-02-25,12.0,5.7,18.4,45.0,0.70,0.70,4.0,0.00
0,2021-02-26,10.7,-1.0,13.4,32.4,1.70,1.70,8.0,0.00
0,2021-02-27,11.5,-4.5,9.7,27.7,0.00,0.00,0.0,0.00
0,2021-02-28,14.2,-0.5,9.1,20.9,0.00,0.00,0.0,0.00
0,2021-03-01,17.2,6.7,11.5,31.3,0.30,0.30,3.0,0.00
0,2021-03-02,17.8,-0.5,23.0,64.4,16.10,16.10,11.0,0.00
0,2021-03-03,14.7,0.3,14.0,36.4,0.00,0.00,0.0,0.00
0,2021-03-04,13.4,2.5,9.9,20.9,0.00,0.00,0.0,0.00
0,2021-03-05,14.5,5.7,8.7,18.7,8.80,8.80,13.0,0.00
0,2021-03-06,20.3,4.4,14.8,41.0,0.40,0.40,4.0,0.00
0,2021-03-07,12.0,5.7,12.4,32.8,2.80,2.80,8.0,0.00
0,2021-03-08,10.9,4.6,11.8,28.8,5.00,5.00,16.0,0.00
0,2021-03-09,14.9,5.8,9.8,25.2,0.80,0.80,5.0,0.00
0,2021-03-10,18.0,-0.5,12.0,32.8,0.00,0.00,0.0,0.00
0,2021-03-11,16.5,6.4,12.9,34.6,0.00,0.00,0.0,0.00
0,2021-03-12,13.7,4.8,7.2,31.0,27.60,27.60,19.0,0.00
0,2021-03-13,10.2,3.7,12.1,38.2,19.70,19.70,9.0,0.00
0,2021-03-14,16.6,3.1,13.8,38.2,0.00,0.00,0.0,0.00
0,2021-03-15,17.8,0.9,11.9,32.0,0.00,0.00,0.0,0.00
0,2021-03-16,18.1,2.0,12.3,30.6,0.00,0.00,0.0,0.00
0,2021-03-17,19.1,-1.0,11.5,29.5,0.00,0.00,0.0,0.00
0,2021-03-18,17.1,2.7,9.2,26.3,0.00,0.00,0.0,0.00
0,2021-03-19,17.7,9.3,9.4,26.3,0.80,0.80,8.0,0.00
0,2021-03-20,18.3,9.4,12.3,35.3,13.90,13.90,12.0,0.00
0,2021-03-21,17.7,9.7,15.9,54.7,51.60,51.60,20.0,0.00
0,2021-03-22,17.3,-2.3,22.1,54.7,14.30,14.30,8.0,0.00
0,2021-03-23,12.6,-1.1,12.2,32.0,0.00,0.00,0.0,0.00
0,2021-03-24,17.9,9.0,8.3,24.1,0.00,0.00,0.0,0.00
0,2021-03-25,15.0,-0.2,8.1,19.8,0.40,0.40,2.0,0.00
0,2021-03-26,19.4,-0.5,20.6,54.7,0.00,0.00,0.0,0.00
0,2021-03-27,17.4,7.8,11.5,31.7,0.40,0.40,3.0,0.00
0,2021-03-28,18.0,9.8,15.3,43.9,38.70,38.70,15.0,0.00
0,2021-03-29,24.6,7.0,9.7,23.0,0.00,0.00,0.0,0.00
0,2021-03-30,23.5,6.8,7.8,17.6,0.20,0.20,2.0,0.00
0,2021-03-31,21.4,8.1,9.4,29.2,6.30,6.30,16.0,0.00
0,2021-04-01,18.5,11.7,5.8,16.9,0.20,0.20,1.0,0.00
0,2021-04-02,18.0,11.9,12.4,32.8,0.10,0.10,1.0,0.00
0,2021-04-03,18.1,8.7,9.6,19.1,1.40,1.40,7.0,0.00
0,2021-04-04,18.6,13.3,9.3,17.6,15.00,15.00,16.0,0.00
0,2021-04-05,19.8,1.8,9.7,23.8,0.20,0.20,2.0,0.00
0,2021-04-06,14.8,7.0,16.2,41.8,0.00,0.00,0.0,0.00
0,2021-04-07,19.6,3.4,11.3,31.7,0.80,0.80,2.0,0.00
0,2021-04-08,17.6,1.9,14.6,36.7,0.30,0.30,3.0,0.00
0,2021-04-09,16.5,2.2,12.5,34.2,0.80,0.80,6.0,0.00
0,2021-04-10,15.8,7.1,15.0,38.2,0.20,0.20,1.0,0.00
0,2021-04-11,16.8,8.1,8.6,26.3,0.00,0.00,0.0,0.00
0,2021-04-12,17.2,9.5,11.0,29.5,1.70,1.70,4.0,0.00
0,2021-04-13,14.7,11.0,8.8,22.0,7.80,7.80,23.0,0.00
0,2021-04-14,23.8,3.4,18.8,54.0,1.00,1.00,5.0,0.00
0,2021-04-15,16.2,8.4,10.2,27.4,0.00,0.00,0.0,0.00
0,2021-04-16,15.4,9.6,6.6,33.1,7.20,7.20,8.0,0.00
0,2021-04-17,15.0,10.8,16.2,40.3,30.10,30.10,16.0,0.00
0,2021-04-18,16.5,3.1,13.2,40.7,0.00,0.00,0.0,0.00
0,2021-04-19,19.4,2.0,7.6,23.4,0.00,0.00,0.0,0.00
0,2021-04-20,23.1,7.1,9.9,24.1,0.00,0.00,0.0,0.00
0,2021-04-21,23.4,4.1,10.9,29.2,0.00,0.00,0.0,0.00
0,2021-04-22,23.9,4.3,14.5,39.2,0.00,0.00,0.0,0.00
0,2021-04-23,20.7,8.6,9.2,26.6,0.00,0.00,0.0,0.00
0,2021-04-24,21.7,12.0,10.2,28.1,0.00,0.00,0.0,0.00
0,2021-04-25,20.0,3.7,13.8,43.2,0.80,0.80,2.0,0.00
0,2021-04-26,18.3,7.1,12.3,33.5,0.20,0.20,2.0,0.00
0,2021-04-27,18.8,9.4,11.2,32.0,0.00,0.00,0.0,0.00
0,2021-04-28,19.5,11.7,8.2,22.3,5.30,5.30,11.0,0.00
0,2021-04-29,16.6,7.6,12.2,31.0,46.60,46.60,16.0,0.00
0,2021-04-30,23.9,5.1,10.0,29.9,0.00,0.00,0.0,0.00
0,2021-05-01,19.3,8.8,14.2,46.1,8.00,8.00,13.0,0.00
0,2021-05-02,18.7,6.2,16.3,46.8,0.10,0.10,1.0,0.00
0,2021-05-03,19.1,4.8,13.2,28.4,0.00,0.00,0.0,0.00
0,2021-05-04,22.1,12.9,7.6,16.6,0.00,0.00,0.0,0.00
0,2021-05-05,17.4,12.3,8.6,29.2,14.60,14.60,18.0,0.00
0,2021-05-06,23.2,15.7,7.3,21.2,0.00,0.00,0.0,0.00
0,2021-05-07,20.1,8.1,7.8,16.2,3.70,3.70,6.0,0.00
0,2021-05-08,23.4,11.4,8.9,20.9,0.00,0.00,0.0,0.00
0,2021-05-09,25.2,6.7,15.1,34.2,0.00,0.00,0.0,0.00
0,2021-05-10,21.8,13.4,11.3,31.0,0.30,0.30,2.0,0.00
0,2021-05-11,18.6,10.9,10.8,29.5,0.70,0.70,5.0,0.00
0,2021-05-12,19.1,13.4,6.6,22.0,1.40,1.40,8.0,0.00
0,2021-05-13,19.4,13.8,7.2,20.5,0.10,0.10,1.0,0.00
0,2021-05-14,26.5,17.0,7.5,22.0,2.30,2.30,11.0,0.00
0,2021-05-15,24.1,13.5,12.1,35.6,0.80,0.80,4.0,0.00
0,2021-05-16,19.8,14.5,8.1,22.0,20.30,20.30,23.0,0.00
0,2021-05-17,24.4,19.8,7.9,21.2,11.30,11.30,20.0,0.00
0,2021-05-18,27.9,17.1,7.7,21.6,24.10,24.10,23.0,0.00
0,2021-05-19,21.8,15.1,6.5,18.0,13.00,13.00,10.0,0.00
0,2021-05-20,21.3,15.9,9.7,19.1,43.10,43.10,20.0,0.00
0,2021-05-21,22.4,16.3,13.2,40.0,47.00,47.00,17.0,0.00
0,2021-05-22,21.5,12.2,5.1,15.5,0.70,0.70,6.0,0.00
0,2021-05-23,23.5,11.7,12.1,30.2,0.00,0.00,0.0,0.00
0,2021-05-24,25.0,14.1,7.4,14.4,2.70,2.70,7.0,0.00
0,2021-05-25,24.5,13.3,11.9,37.1,0.00,0.00,0.0,0.00
0,2021-05-26,21.3,14.8,8.4,15.8,6.80,6.80,7.0,0.00
0,2021-05-27,18.7,12.7,10.7,26.6,34.20,34.20,9.0,0.00
0,2021-05-28,23.4,12.9,8.1,15.5,0.00,0.00,0.0,0.00
0,2021-05-29,24.5,14.4,9.1,22.0,0.00,0.00,0.0,0.00
0,2021-05-30,23.9,14.0,9.0,24.8,1.20,1.20,5.0,0.00
0,2021-05-31,22.6,12.9,9.0,25.9,0.60,0.60,6.0,0.00
0,2021-06-01,23.7,14.6,9.5,27.4,1.30,1.30,8.0,0.00
0,2021-06-02,22.2,16.0,3.8,15.5,0.00,0.00,0.0,0.00
0,2021-06-03,25.4,16.1,12.3,41.0,4.70,4.70,10.0,0.00
0,2021-06-04,23.0,18.1,9.0,25.6,22.10,22.10,18.0,0.00
0,2021-06-05,24.2,15.9,7.2,18.0,4.10,4.10,7.0,0.00
0,2021-06-06,20.2,17.4,5.8,18.4,5.80,5.80,9.0,0.00
