location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Otsu,34.973637,135.85768,97.0,0,GMT,GMT
1,Hikone,35.32513,136.26599,90.0,0,GMT,GMT
2,Nagahama,35.32513,136.26599,93.0,0,GMT,GMT
3,Shigaraki,34.83304,136.19772,243.0,0,GMT,GMT

location_id,time,apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-01-01,-2.1,-9.7,0.00,0.00,0.00,0.0,15.3,37.1
0,2021-01-02,0.9,-7.1,0.30,0.30,0.00,2.0,20.5,49.7
0,2021-01-03,1.6,-4.7,0.00,0.00,0.00,0.0,18.0,43.2
0,2021-01-04,4.6,-4.7,0.00,0.00,0.00,0.0,13.2,33.1
0,2021-01-05,5.8,-2.6,0.00,0.00,0.00,0.0,10.7,28.8
0,2021-01-06,1.8,-4.5,0.00,0.00,0.00,0.0,21.1,49.0
0,2021-01-07,-1.6,-10.6,2.00,1.00,0.70,4.0,28.5,75.2
0,2021-01-08,-6.2,-9.9,0.00,0.00,0.00,0.0,27.2,63.4
0,2021-01-09,-4.4,-9.2,0.00,0.00,0.00,0.0,24.7,59.0
0,2021-01-10,-0.6,-7.7,0.00,0.00,0.00,0.0,16.0,37.8
0,2021-01-11,2.2,-4.6,1.40,0.30,0.77,4.0,12.7,31.0
0,2021-01-12,2.1,-7.5,2.10,1.00,0.77,5.0,9.4,24.8
0,2021-01-13,2.9,-4.3,0.00,0.00,0.00,0.0,17.8,42.1
0,2021-01-14,7.9,-4.4,0.00,0.00,0.00,0.0,13.2,33.5
0,2021-01-15,10.5,-1.0,0.00,0.00,0.00,0.0,9.4,22.0
0,2021-01-16,8.6,-2.3,2.10,2.10,0.00,5.0,19.4,54.7
0,2021-01-17,2.7,-7.3,0.10,0.10,0.00,1.0,21.6,49.7
0,2021-01-18,-0.3,-3.4,0.60,0.20,0.28,5.0,23.8,55.4
0,2021-01-19,-2.3,-3.8,0.10,0.00,0.07,1.0,19.3,47.2
0,2021-01-20,4.3,-6.0,0.00,0.00,0.00,0.0,9.4,25.6
0,2021-01-21,7.6,-2.5,1.10,1.10,0.00,4.0,11.0,29.9
0,2021-01-22,8.0,4.4,5.50,5.50,0.00,15.0,7.1,18.0
0,2021-01-23,6.5,3.4,27.70,27.70,0.00,24.0,10.1,24.8
0,2021-01-24,6.9,-0.4,8.10,8.10,0.00,10.0,9.0,16.6
0,2021-01-25,9.2,-1.1,0.00,0.00,0.00,0.0,10.4,25.2
0,2021-01-26,9.7,5.2,17.80,17.80,0.00,10.0,19.4,45.0
0,2021-01-27,8.8,-1.7,0.00,0.00,0.00,0.0,20.8,49.0
0,2021-01-28,7.2,-7.9,1.30,1.30,0.00,3.0,24.3,60.1
0,2021-01-29,-3.8,-6.4,0.40,0.00,0.28,4.0,27.9,65.5
0,2021-01-30,0.8,-3.1,0.30,0.10,0.14,3.0,19.5,46.1
0,2021-01-31,3.9,-5.6,0.00,0.00,0.00,0.0,14.6,35.3
0,2021-02-01,9.9,1.9,17.80,17.80,0.00,13.0,18.9,55.4
0,2021-02-02,6.7,-5.2,0.00,0.00,0.00,0.0,25.3,61.6
0,2021-02-03,0.8,-8.0,0.10,0.00,0.07,1.0,16.6,41.0
0,2021-02-04,2.7,-3.4,0.10,0.10,0.00,1.0,25.5,59.8
0,2021-02-05,5.2,0.2,0.20,0.20,0.00,2.0,15.3,37.1
0,2021-02-06,9.6,-3.5,0.00,0.00,0.00,0.0,13.3,31.3
0,2021-02-07,8.5,-0.8,2.60,2.60,0.00,9.0,16.0,44.3
0,2021-02-08,3.1,-6.0,1.10,0.10,0.70,5.0,15.6,41.0
0,2021-02-09,0.1,-3.9,0.00,0.00,0.00,0.0,16.7,40.0
0,2021-02-10,5.8,-4.5,0.00,0.00,0.00,0.0,16.3,42.1
0,2021-02-11,6.6,-2.4,0.00,0.00,0.00,0.0,16.0,38.9
0,2021-02-12,11.8,2.7,0.00,0.00,0.00,0.0,9.3,22.7
0,2021-02-13,14.5,2.3,0.20,0.20,0.00,2.0,10.2,28.1
0,2021-02-14,16.0,5.8,26.10,26.10,0.00,9.0,27.0,60.5
0,2021-02-15,10.5,-2.2,16.30,16.30,0.00,7.0,22.6,71.6
0,2021-02-16,2.6,-4.8,0.30,0.30,0.00,3.0,26.2,63.7
0,2021-02-17,-3.1,-9.9,0.20,0.00,0.14,2.0,34.3,78.8
0,2021-02-18,-2.9,-8.3,0.70,0.00,0.49,5.0,23.6,56.5
0,2021-02-19,2.2,-4.7,0.00,0.00,0.00,0.0,17.7,41.8
0,2021-02-20,6.9,-0.2,0.00,0.00,0.00,0.0,28.0,65.9
0,2021-02-21,13.8,2.3,0.00,0.00,0.00,0.0,23.5,55.4
0,2021-02-22,14.0,2.0,0.30,0.30,0.00,3.0,19.9,48.2
