location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Shizuoka,34.973637,138.37357,30.0,0,GMT,GMT
1,Hamamatsu,34.76274,137.73418,19.0,0,GMT,GMT
2,Atami,35.114235,139.07007,16.0,0,GMT,GMT
3,Matsuzaki,34.69244,138.81163,14.0,0,GMT,GMT

location_id,time,apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-01-01,-0.4,-4.3,0.00,0.00,0.00,0.0,33.1,65.5
0,2021-01-02,1.3,-3.6,0.00,0.00,0.00,0.0,31.7,63.4
0,2021-01-03,3.1,-2.1,0.00,0.00,0.00,0.0,28.7,57.6
0,2021-01-04,8.1,-2.6,0.00,0.00,0.00,0.0,18.7,39.2
0,2021-01-05,4.4,0.0,0.00,0.00,0.00,0.0,23.1,45.0
0,2021-01-06,7.6,-1.6,0.00,0.00,0.00,0.0,23.5,46.8
0,2021-01-07,0.8,-9.4,0.10,0.10,0.00,1.0,36.6,76.3
0,2021-01-08,-3.9,-8.1,0.00,0.00,0.00,0.0,28.8,58.7
0,2021-01-09,-2.3,-7.5,0.00,0.00,0.00,0.0,25.9,51.8
0,2021-01-10,2.2,-5.2,0.00,0.00,0.00,0.0,24.5,48.2
0,2021-01-11,3.5,-0.1,0.40,0.40,0.00,3.0,13.0,25.2
0,2021-01-12,4.7,-3.5,6.30,6.30,0.00,10.0,13.7,27.0
0,2021-01-13,6.0,-3.2,0.00,0.00,0.00,0.0,16.0,32.4
0,2021-01-14,12.6,0.4,0.00,0.00,0.00,0.0,16.8,30.6
0,2021-01-15,9.9,0.9,0.00,0.00,0.00,0.0,18.1,38.9
0,2021-01-16,11.2,1.2,0.00,0.00,0.00,0.0,28.8,56.9
0,2021-01-17,6.8,-3.0,0.00,0.00,0.00,0.0,28.0,55.1
0,2021-01-18,3.1,-3.5,0.20,0.20,0.00,2.0,28.9,57.6
0,2021-01-19,7.4,-0.2,0.00,0.00,0.00,0.0,27.0,56.9
0,2021-01-20,6.7,-2.6,0.30,0.30,0.00,2.0,14.0,28.1
0,2021-01-21,10.9,-0.2,0.00,0.00,0.00,0.0,14.2,29.2
0,2021-01-22,14.8,5.3,1.60,1.60,0.00,6.0,24.2,46.1
0,2021-01-23,6.2,2.7,32.30,32.30,0.00,24.0,24.5,49.3
0,2021-01-24,8.2,2.9,8.90,8.90,0.00,21.0,21.7,42.5
0,2021-01-25,11.1,0.8,0.00,0.00,0.00,0.0,11.9,24.1
0,2021-01-26,9.6,6.4,25.80,25.80,0.00,10.0,22.4,42.8
0,2021-01-27,16.3,1.0,1.50,1.50,0.00,5.0,30.8,58.3
0,2021-01-28,3.6,-4.7,9.60,9.60,0.00,13.0,28.9,60.8
0,2021-01-29,-1.0,-5.5,0.00,0.00,0.00,0.0,34.0,68.4
0,2021-01-30,3.7,-3.4,0.00,0.00,0.00,0.0,29.6,57.6
0,2021-01-31,8.4,0.9,0.00,0.00,0.00,0.0,17.7,37.1
0,2021-02-01,10.3,5.7,22.60,22.60,0.00,13.0,31.8,83.2
0,2021-02-02,8.2,-3.3,1.30,1.30,0.00,1.0,29.3,58.7
0,2021-02-03,2.8,-3.5,0.00,0.00,0.00,0.0,28.9,57.2
0,2021-02-04,2.1,-4.6,0.00,0.00,0.00,0.0,36.2,72.4
0,2021-02-05,9.5,1.3,0.00,0.00,0.00,0.0,19.0,38.5
0,2021-02-06,11.2,0.2,0.00,0.00,0.00,0.0,22.8,45.0
0,2021-02-07,11.5,-0.7,0.00,0.00,0.00,0.0,28.7,58.3
0,2021-02-08,6.6,-5.9,0.00,0.00,0.00,0.0,27.3,53.3
0,2021-02-09,5.8,-3.9,0.00,0.00,0.00,0.0,22.3,43.9
0,2021-02-10,9.2,-0.1,0.00,0.00,0.00,0.0,25.6,52.2
0,2021-02-11,8.7,2.2,0.00,0.00,0.00,0.0,16.8,36.7
0,2021-02-12,11.1,4.8,0.00,0.00,0.00,0.0,14.3,27.4
0,2021-02-13,12.7,4.2,0.00,0.00,0.00,0.0,10.1,24.5
0,2021-02-14,14.0,7.7,15.40,15.40,0.00,8.0,17.3,35.6
0,2021-02-15,11.7,-0.8,41.10,41.10,0.00,7.0,30.0,73.8
0,2021-02-16,3.6,-0.7,0.00,0.00,0.00,0.0,32.8,65.9
0,2021-02-17,1.6,-8.2,0.00,0.00,0.00,0.0,32.0,63.7
0,2021-02-18,-0.2,-6.7,0.00,0.00,0.00,0.0,28.6,58.0
0,2021-02-19,6.9,-2.8,0.00,0.00,0.00,0.0,20.7,40.7
0,2021-02-20,9.0,4.1,0.00,0.00,0.00,0.0,31.9,63.0
0,2021-02-21,15.2,6.1,0.00,0.00,0.00,0.0,24.3,49.0
0,2021-02-22,15.6,6.9,0.00,0.00,0.00,0.0,25.5,50.0
0,2021-02-23,10.3,0.9,0.00,0.00,0.00,0.0,30.1,60.1
0,2021-02-24,7.3,-2.9,0.00,0.00,0.00,0.0,20.3,42.1
0,2021-02-25,7.3,-0.5,0.10,0.10,0.00,1.0,19.8,41.0
0,2021-02-26,8.0,2.2,3.80,3.80,0.00,10.0,15.3,29.5
0,2021-02-27,4.7,-2.3,0.00,0.00,0.00,0.0,24.3,46.8
0,2021-02-28,9.2,1.8,0.00,0.00,0.00,0.0,14.1,33.1
0,2021-03-01,14.4,8.8,3.20,3.20,0.00,9.0,10.8,25.6
0,2021-03-02,15.7,3.2,27.60,27.60,0.00,12.0,35.7,82.8
0,2021-03-03,9.3,2.2,0.00,0.00,0.00,0.0,19.0,37.8
0,2021-03-04,9.9,4.8,0.00,0.00,0.00,0.0,16.1,32.8
0,2021-03-05,12.8,8.4,5.60,5.60,0.00,14.0,16.2,33.5
0,2021-03-06,18.1,0.4,0.30,0.30,0.00,3.0,28.2,54.0
0,2021-03-07,6.5,1.1,4.00,4.00,0.00,10.0,27.9,55.1
0,2021-03-08,8.5,2.8,4.00,4.00,0.00,9.0,20.3,39.6
0,2021-03-09,12.6,4.5,0.00,0.00,0.00,0.0,16.3,38.9
0,2021-03-10,15.4,2.9,0.00,0.00,0.00,0.0,16.9,35.6
0,2021-03-11,11.2,6.0,0.30,0.30,0.00,1.0,21.3,43.6
0,2021-03-12,14.0,4.6,51.40,51.40,0.00,22.0,26.6,56.2
0,2021-03-13,15.0,2.2,6.60,6.60,0.00,8.0,26.7,62.3
0,2021-03-14,17.6,2.7,0.00,0.00,0.00,0.0,18.8,37.1
0,2021-03-15,14.3,3.8,0.00,0.00,0.00,0.0,15.1,33.8
0,2021-03-16,14.6,3.8,0.00,0.00,0.00,0.0,33.0,65.5
0,2021-03-17,16.0,5.1,0.00,0.00,0.00,0.0,22.0,43.9
0,2021-03-18,14.4,4.0,0.00,0.00,0.00,0.0,18.0,38.9
0,2021-03-19,15.9,7.2,0.00,0.00,0.00,0.0,16.5,32.8
0,2021-03-20,17.1,11.5,43.60,43.60,0.00,12.0,13.5,45.4
0,2021-03-21,16.2,4.9,53.60,53.60,0.00,12.0,35.2,81.0
0,2021-03-22,17.1,2.4,0.30,0.30,0.00,3.0,18.5,37.8
0,2021-03-23,11.8,1.1,0.00,0.00,0.00,0.0,12.7,28.4
0,2021-03-24,15.1,6.2,0.00,0.00,0.00,0.0,22.1,44.3
0,2021-03-25,14.7,2.3,1.00,1.00,0.00,4.0,17.9,36.4
0,2021-03-26,17.7,5.1,0.00,0.00,0.00,0.0,27.2,51.8
0,2021-03-27,14.7,8.8,2.70,2.70,0.00,6.0,13.0,29.9
0,2021-03-28,17.1,10.4,79.20,79.20,0.00,18.0,17.3,59.8
0,2021-03-29,24.3,7.0,0.00,0.00,0.00,0.0,23.4,45.4
0,2021-03-30,20.3,7.4,0.00,0.00,0.00,0.0,10.5,23.8
0,2021-03-31,20.8,12.7,0.30,0.30,0.00,3.0,18.5,40.3
0,2021-04-01,18.8,10.7,0.00,0.00,0.00,0.0,19.8,39.2
0,2021-04-02,15.5,10.8,0.50,0.50,0.00,3.0,26.3,51.8
0,2021-04-03,19.1,12.2,0.20,0.20,0.00,2.0,16.3,34.9
0,2021-04-04,19.7,15.0,27.10,27.10,0.00,19.0,11.5,38.5
0,2021-04-05,21.5,4.0,2.70,2.70,0.00,9.0,30.9,60.8
0,2021-04-06,10.2,6.1,0.00,0.00,0.00,0.0,26.2,53.6
0,2021-04-07,15.2,5.1,0.00,0.00,0.00,0.0,16.3,31.7
0,2021-04-08,14.2,1.4,0.20,0.20,0.00,2.0,25.1,51.8
0,2021-04-09,14.0,3.4,0.50,0.50,0.00,3.0,24.5,47.9
0,2021-04-10,12.2,4.5,0.00,0.00,0.00,0.0,22.1,48.6
0,2021-04-11,14.1,6.6,0.00,0.00,0.00,0.0,14.8,31.7
0,2021-04-12,16.7,9.6,4.40,4.40,0.00,6.0,14.5,32.4
0,2021-04-13,17.6,12.5,42.50,42.50,0.00,24.0,13.6,40.7
