Downloaded at: 2026/09/16 14:20:47

,Saga,Saga,Saga,Saga,Saga,Saga,Nakamura,Nakamura,Nakamura,Nakamura,Nakamura,Nakamura,Sukumo,Sukumo,Sukumo,Sukumo,Sukumo,Sukumo,Shimizu,Shimizu,Shimizu,Shimizu,Shimizu,Shimizu
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,10.9,8,1,-1.7,8,1,11.0,8,1,-2.3,8,1,12.1,8,1,1.2,8,1,10.7,8,1,1.3,8,1
2022/1/2,14.9,8,1,0.9,8,1,13.7,8,1,-1.1,8,1,14.3,8,1,1.9,8,1,14.1,8,1,5.6,8,1
2022/1/3,14.7,8,1,-0.1,8,1,13.4,8,1,-2.1,8,1,14.1,8,1,2.4,8,1,14.1,8,1,5.1,8,1
2022/1/4,12.6,8,1,1.5,8,1,11.4,8,1,-0.1,8,1,11.9,8,1,4.1,8,1,12.8,8,1,5.1,8,1
2022/1/5,11.6,8,1,0.3,8,1,9.7,8,1,-2.2,8,1,9.9,8,1,1.7,8,1,11.2,8,1,4.9,8,1
2022/1/6,9.5,4,1,2.2,4,1,11.1,8,1,2.3,8,1,12.9,8,1,3.6,8,1,12.3,8,1,5.3,8,1
2022/1/7,12.1,8,1,0.8,8,1,12.1,8,1,-0.6,8,1,12.6,8,1,2.1,8,1,12.4,8,1,6.1,8,1
2022/1/8,13.7,8,1,1.0,8,1,12.8,8,1,-2.2,8,1,12.4,8,1,1.5,8,1,12.0,8,1,6.3,8,1
2022/1/9,14.8,8,1,1.3,8,1,14.5,8,1,-1.5,8,1,14.1,8,1,2.7,8,1,14.3,8,1,7.2,8,1
