Downloaded at: 2026/09/16 14:04:55

,Tano,Tano,Tano,Tano,Tano,Tano,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Kushima,Kushima,Kushima,Kushima,Kushima,Kushima
Date,Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,-1.4,8,1,10.8,8,1,,0,1,,0,1,-3.7,8,1,12.1,8,1,0.2,8,1,12.0,8,1,-2.5,8,1,12.1,8,1
2022/1/2,2.6,8,1,14.4,8,1,,0,1,,0,1,1.5,8,1,14.6,8,1,4.8,8,1,15.8,8,1,2.8,8,1,15.8,8,1
2022/1/3,1.2,8,1,14.6,8,1,,0,1,,0,1,-2.4,8,1,15.2,8,1,2.5,8,1,15.4,8,1,-1.3,8,1,16.0,8,1
2022/1/4,1.8,8,1,14.4,8,1,,0,1,,0,1,-1.3,8,1,14.2,8,1,5.6,8,1,16.4,8,1,-0.2,8,1,15.5,8,1
2022/1/5,0.5,8,1,11.4,8,1,,0,1,,0,1,-1.7,8,1,12.9,8,1,3.8,8,1,13.2,8,1,0.4,8,1,14.7,8,1
2022/1/6,3.2,8,1,12.0,8,1,,0,1,,0,1,3.3,8,1,14.1,8,1,6.3,8,1,13.7,8,1,3.8,8,1,14.7,8,1
2022/1/7,-0.6,8,1,11.0,8,1,,0,1,,0,1,-1.2,8,1,12.0,8,1,3.2,8,1,12.5,8,1,0.0,8,1,13.5,8,1
2022/1/8,0.9,8,1,10.6,8,1,,0,1,,0,1,0.6,8,1,10.2,8,1,5.0,8,1,11.3,8,1,2.6,8,1,11.5,8,1
2022/1/9,0.3,8,1,13.8,8,1,,0,1,,0,1,-0.9,8,1,14.0,8,1,4.9,8,1,15.4,8,1,1.7,8,1,15.9,8,1
