Date,Avg_Max,Avg_Min,Valid_Max_Count,Valid_Min_Count
2022-01-01,-1.2,-7.2,14,14
2022-01-02,3.4,-3.9,14,14
2022-01-03,0.2,-3.1,14,14
2022-01-04,-1.0,-5.8,14,14
2022-01-05,-0.0,-7.1,14,14
2022-01-06,0.7,-5.7,14,14
2022-01-07,0.6,-3.4,14,14
2022-01-08,2.5,-3.4,14,14
2022-01-09,4.1,-1.0,14,14
2022-01-10,3.3,-5.3,14,14
2022-01-11,4.8,-6.0,14,14
2022-01-12,2.3,-3.3,14,14
2022-01-13,1.0,-3.3,14,14
2022-01-14,-0.1,-3.6,14,14
2022-01-15,2.5,-3.7,14,14
2022-01-16,3.2,-6.4,14,14
2022-01-17,3.1,-3.9,14,14
2022-01-18,-1.3,-6.4,14,14
2022-01-19,1.7,-7.0,14,14
2022-01-20,1.4,-5.3,14,14
2022-01-21,1.4,-4.2,14,14
2022-01-22,1.4,-3.4,14,14
2022-01-23,2.1,-5.9,14,14
2022-01-24,1.8,-2.1,14,14
2022-01-25,2.5,-2.5,14,14
2022-01-26,3.1,-2.3,14,14
2022-01-27,1.5,-3.5,14,14
2022-01-28,0.0,-4.8,14,14
2022-01-29,0.2,-3.2,14,14
2022-01-30,-1.0,-4.9,14,14
2022-01-31,-1.4,-6.4,14,14
2022-02-01,1.5,-7.0,14,14
2022-02-02,1.3,-3.4,14,14
2022-02-03,1.0,-3.7,14,14
2022-02-04,0.5,-4.3,14,14
2022-02-05,-1.2,-5.4,14,14
2022-02-06,-1.5,-6.1,14,14
2022-02-07,0.2,-5.6,14,14
2022-02-08,0.8,-2.9,14,14
2022-02-09,2.2,-4.4,14,14
2022-02-10,1.7,-7.6,14,14
2022-02-11,3.7,-6.2,14,14
2022-02-12,4.0,-6.1,14,14
2022-02-13,2.9,-2.7,14,14
2022-02-14,2.9,-6.0,14,14
2022-02-15,2.6,-4.3,14,14
2022-02-16,3.0,-1.3,14,14
2022-02-17,2.6,-3.0,14,14
2022-02-18,2.8,-5.2,14,14
2022-02-19,4.2,-3.5,14,14
2022-02-20,2.9,-3.9,14,14
2022-02-21,-2.4,-5.2,14,14
2022-02-22,-1.3,-4.9,14,14
2022-02-23,-0.6,-4.9,14,14
2022-02-24,1.2,-3.9,14,14
2022-02-25,3.7,-1.0,14,14
2022-02-26,7.1,0.1,14,14
2022-02-27,6.5,0.1,14,14
2022-02-28,6.0,-2.3,14,14
2022-03-01,6.6,-4.4,14,14
2022-03-02,5.2,-1.3,14,14
2022-03-03,5.3,-1.3,14,14
2022-03-04,3.9,-3.9,14,14
2022-03-05,7.5,-4.8,14,14
2022-03-06,1.9,-1.0,14,14
2022-03-07,4.4,-0.5,14,14
2022-03-08,5.3,-2.2,14,14
2022-03-09,4.9,-3.6,14,14
2022-03-10,7.6,-3.7,14,14
2022-03-11,10.9,-3.8,14,14
2022-03-12,8.0,-0.6,14,14
2022-03-13,4.7,-1.2,14,14
2022-03-14,7.8,2.3,14,14
2022-03-15,10.3,2.7,14,14
2022-03-16,7.9,0.6,14,14
2022-03-17,6.5,-0.0,14,14
2022-03-18,5.4,-1.6,14,14
2022-03-19,6.0,0.3,14,14
2022-03-20,5.4,0.1,14,14
2022-03-21,5.1,-1.7,14,14
2022-03-22,6.6,-3.1,14,14
2022-03-23,7.2,-4.3,14,14
2022-03-24,9.2,-0.1,14,14
2022-03-25,11.0,0.5,14,14
2022-03-26,11.6,2.2,14,14
2022-03-27,11.6,1.1,14,14
2022-03-28,8.8,0.6,14,14
2022-03-29,12.4,-2.0,14,14
2022-03-30,14.9,0.5,14,14
2022-03-31,8.2,1.4,14,14
2022-04-01,7.0,-0.7,14,14
2022-04-02,8.1,-1.7,14,14
2022-04-03,12.9,-3.0,14,14
2022-04-04,13.4,0.3,14,14
2022-04-05,16.4,1.2,14,14
2022-04-06,14.3,1.2,14,14
2022-04-07,12.4,-1.0,14,14
2022-04-08,9.6,0.6,14,14
2022-04-09,19.6,-0.9,14,14
2022-04-10,22.6,6.8,14,14
2022-04-11,24.7,5.4,14,14
2022-04-12,23.7,5.1,14,14
2022-04-13,16.0,7.3,14,14
2022-04-14,12.6,6.0,14,14
2022-04-15,9.1,5.6,14,14
2022-04-16,12.7,1.7,14,14
2022-04-17,15.6,-0.0,14,14
2022-04-18,17.9,0.1,14,14
2022-04-19,15.1,2.1,14,14
2022-04-20,20.0,-0.4,14,14
2022-04-21,23.8,3.4,14,14
2022-04-22,17.0,9.7,14,14
2022-04-23,15.7,3.9,14,14
2022-04-24,22.4,1.7,14,14
2022-04-25,22.1,7.9,14,14
2022-04-26,23.9,10.3,14,14
2022-04-27,18.8,4.5,14,14
2022-04-28,16.5,2.1,14,14
2022-04-29,13.3,2.3,14,14
2022-04-30,13.7,1.1,14,14
2022-05-01,10.5,6.3,14,14
2022-05-02,13.0,3.7,14,14
2022-05-03,13.1,3.8,14,14
2022-05-04,18.4,7.1,14,14
2022-05-05,25.1,6.8,14,14
2022-05-06,29.1,8.1,14,14
2022-05-07,26.0,9.0,14,14
2022-05-08,15.3,7.5,14,14
2022-05-09,17.1,5.6,14,14
2022-05-10,20.8,3.6,14,14
2022-05-11,25.9,6.3,14,14
2022-05-12,25.4,12.3,14,14
2022-05-13,25.7,15.9,14,14
2022-05-14,18.7,11.2,14,14
2022-05-15,16.3,7.4,14,14
2022-05-16,21.0,5.4,14,14
2022-05-17,20.6,7.8,14,14
2022-05-18,22.4,5.5,14,14
2022-05-19,24.1,7.8,14,14
2022-05-20,23.6,11.7,14,14
2022-05-21,25.0,10.7,14,14
2022-05-22,21.1,14.0,14,14
2022-05-23,21.1,12.7,14,14
2022-05-24,22.5,12.2,14,14
2022-05-25,29.1,11.2,14,14
2022-05-26,28.2,13.9,14,14
2022-05-27,20.0,13.4,14,14
2022-05-28,18.0,13.2,14,14
2022-05-29,22.9,13.8,14,14
2022-05-30,26.8,12.9,14,14
2022-05-31,17.9,13.9,14,14
2022-06-01,20.2,13.4,14,14
2022-06-02,22.2,12.1,14,14
2022-06-03,19.2,11.1,14,14
2022-06-04,16.4,11.4,14,14
2022-06-05,18.9,10.7,14,14
2022-06-06,16.6,11.6,14,14
2022-06-07,16.3,11.2,14,14
2022-06-08,19.0,10.2,14,14
2022-06-09,21.7,11.3,14,14
2022-06-10,24.3,11.9,14,14
2022-06-11,24.4,13.5,14,14
2022-06-12,24.6,13.2,14,14
2022-06-13,20.6,12.6,14,14
2022-06-14,25.1,12.3,14,14
2022-06-15,21.1,13.5,14,14
2022-06-16,21.9,16.0,14,14
2022-06-17,22.3,15.7,14,14
2022-06-18,28.2,15.0,14,14
2022-06-19,25.0,15.5,14,14
2022-06-20,24.2,17.6,14,14
2022-06-21,28.8,16.8,14,14
2022-06-22,30.2,17.3,14,14
2022-06-23,27.3,18.2,14,14
2022-06-24,26.0,20.4,14,14
2022-06-25,26.3,20.3,14,14
2022-06-26,28.3,20.8,14,14
2022-06-27,24.0,20.6,14,14
2022-06-28,27.9,20.5,14,14
2022-06-29,28.1,22.9,14,14
2022-06-30,24.8,21.6,14,14
2022-07-01,24.4,21.3,14,14
2022-07-02,29.3,20.9,14,14
2022-07-03,31.4,19.8,13,13
2022-07-04,29.8,20.8,14,14
2022-07-05,31.2,21.2,14,14
2022-07-06,31.6,20.2,14,14
2022-07-07,31.6,20.4,14,14
2022-07-08,31.0,20.2,14,14
2022-07-09,30.7,19.4,14,14
2022-07-10,30.2,19.8,14,14
2022-07-11,32.5,20.1,14,14
2022-07-12,29.0,22.7,14,14
2022-07-13,28.6,21.3,14,14
2022-07-14,29.3,20.1,14,14
2022-07-15,24.6,20.5,13,13
2022-07-16,27.5,20.4,14,14
2022-07-17,27.8,20.5,14,14
2022-07-18,28.5,20.4,14,14
2022-07-19,27.0,21.2,14,14
2022-07-20,26.5,20.7,14,14
2022-07-21,27.3,20.7,14,14
2022-07-22,24.6,20.8,14,14
2022-07-23,28.0,20.8,14,14
2022-07-24,27.6,20.5,14,14
2022-07-25,28.9,20.5,14,14
2022-07-26,31.8,21.2,14,14
2022-07-27,30.9,21.6,14,14
2022-07-28,30.8,21.2,14,14
2022-07-29,31.8,20.2,14,14
2022-07-30,32.0,20.4,14,14
2022-07-31,32.0,20.0,14,14
2022-08-01,32.3,23.6,14,14
2022-08-02,28.4,24.1,14,14
2022-08-03,28.5,22.1,14,14
2022-08-04,28.5,20.5,14,14
2022-08-05,29.3,19.5,14,14
