Date,Avg_Max,Avg_Min,Valid_Max_Count,Valid_Min_Count
2022-01-01,-0.6,-6.0,13,13
2022-01-02,3.5,-3.2,13,13
2022-01-03,0.8,-2.7,13,13
2022-01-04,-1.1,-4.1,13,13
2022-01-05,-0.5,-7.1,13,13
2022-01-06,0.1,-8.7,13,13
2022-01-07,0.5,-6.4,13,13
2022-01-08,3.7,-5.0,13,13
2022-01-09,3.9,-5.1,13,13
2022-01-10,3.9,-6.3,13,13
2022-01-11,2.8,-7.2,13,13
2022-01-12,1.6,-3.8,13,13
2022-01-13,1.1,-3.0,13,13
2022-01-14,-0.1,-3.4,13,13
2022-01-15,3.2,-1.6,13,13
2022-01-16,3.2,-5.9,13,13
2022-01-17,2.6,-3.0,13,13
2022-01-18,-0.9,-6.2,13,13
2022-01-19,1.0,-6.4,13,13
2022-01-20,1.4,-5.2,13,13
2022-01-21,0.6,-6.3,13,13
2022-01-22,2.0,-4.3,13,13
2022-01-23,3.0,-5.1,13,13
2022-01-24,1.9,-2.0,13,13
2022-01-25,3.4,-4.3,13,13
2022-01-26,3.8,-3.9,13,13
2022-01-27,2.6,-1.7,13,13
2022-01-28,1.8,-3.1,13,13
2022-01-29,0.9,-2.8,13,13
2022-01-30,0.2,-3.5,13,13
2022-01-31,-0.2,-4.0,13,13
2022-02-01,2.4,-4.3,13,13
2022-02-02,1.4,-2.9,13,13
2022-02-03,0.5,-2.9,13,13
2022-02-04,-0.0,-3.9,13,13
2022-02-05,-1.2,-4.6,13,13
2022-02-06,-1.7,-4.7,13,13
2022-02-07,0.2,-4.4,13,13
2022-02-08,1.4,-3.2,13,13
2022-02-09,2.9,-6.4,13,13
2022-02-10,0.8,-7.7,13,13
2022-02-11,3.7,-5.6,13,13
2022-02-12,4.1,-6.7,13,13
2022-02-13,4.2,-1.4,13,13
2022-02-14,3.4,-5.4,13,13
2022-02-15,2.2,-5.7,13,13
2022-02-16,2.3,-2.5,13,13
2022-02-17,1.3,-3.4,13,13
2022-02-18,3.1,-3.1,13,13
2022-02-19,4.7,-3.9,13,13
2022-02-20,2.7,-4.0,13,13
2022-02-21,-2.3,-5.2,13,13
2022-02-22,-2.3,-4.7,12,12
2022-02-23,-0.9,-4.7,12,12
2022-02-24,1.2,-4.0,12,12
2022-02-25,4.0,-1.8,12,12
2022-02-26,7.5,-1.2,12,12
2022-02-27,6.5,-1.3,12,12
2022-02-28,5.9,-2.6,12,12
2022-03-01,8.5,-4.7,13,13
2022-03-02,5.7,-3.1,13,13
2022-03-03,5.3,-4.4,13,13
2022-03-04,5.1,-4.5,13,13
2022-03-05,8.5,-6.1,13,13
2022-03-06,1.7,-1.3,13,13
2022-03-07,4.0,-0.8,12,12
2022-03-08,5.5,-2.1,12,12
2022-03-09,6.8,-3.2,12,12
2022-03-10,8.1,-2.5,13,13
2022-03-11,11.5,-4.6,13,13
2022-03-12,10.1,-0.7,13,13
2022-03-13,4.7,-1.7,13,13
2022-03-14,8.3,1.6,13,13
2022-03-15,10.9,2.1,13,13
2022-03-16,9.7,-0.0,13,13
2022-03-17,7.7,-0.2,13,13
2022-03-18,3.4,-1.7,13,13
2022-03-19,6.3,0.3,13,13
2022-03-20,5.1,0.4,13,13
2022-03-21,4.1,-1.4,13,13
2022-03-22,4.8,-4.3,13,13
