intl_id,storm_number,storm_name,last_revision_date,datetime,year,month,day,hour,indicator,grade,latitude,longitude,pressure,wind_speed,dir_r50,r50_long,r50_short,dir_r30,r30_long,r30_short,landfall
0014,0019,SAOMAI,20011221,00091210,2000,9,12,10,002,5,265,1280,945,075,3,0110,0060,8,0400,0300,Y
0111,0013,PABUK,20020124,01082110,2001,8,21,10,002,4,335,1355,970,055,9,0030,0030,3,0300,0240,Y
0111,0013,PABUK,20020124,01082119,2001,8,21,19,002,4,343,1367,975,050,0,0000,0000,3,0300,0200,Y
0111,0013,PABUK,20020124,01082203,2001,8,22,3,002,3,348,1388,982,045,0,0000,0000,2,0300,0150,Y
0111,0013,PABUK,20020124,01082205,2001,8,22,5,002,3,353,1395,982,045,0,0000,0000,2,0300,0150,Y
0111,0013,PABUK,20020124,01082206,2001,8,22,6,002,3,355,1398,982,045,0,0000,0000,2,0300,0150,Y
0115,0018,DANAS,20020124,01091100,2001,9,11,0,002,4,352,1395,970,055,3,0030,0015,2,0300,0150,Y
0116,0020,NARI,20020124,01090622,2001,9,6,22,002,4,261,1276,985,050,0,0000,0000,9,0090,0090,Y
0116,0020,NARI,20020124,01090718,2001,9,7,18,002,4,263,1278,975,060,9,0020,0020,9,0090,0090,Y
0116,0020,NARI,20020124,01091218,2001,9,12,18,002,4,264,1268,975,060,9,0035,0035,6,0140,0100,Y
0204,0009,NOGURI,20060118,02060917,2002,6,9,17,002,4,246,1253,975,060,3,0030,0020,3,0100,0050,Y
0205,0010,RAMMASUN,20060118,02070312,2002,7,3,12,002,5,247,1253,945,085,3,0170,0140,3,0400,0300,Y
0206,0011,CHATAAN,20060118,02071015,2002,7,10,15,002,4,349,1397,970,055,2,0050,0020,2,0250,0090,Y
0206,0011,CHATAAN,20060118,02071112,2002,7,11,12,002,3,430,1445,980,045,0,0000,0000,3,0300,0200,Y
0207,0012,HALONG,20060118,02071412,2002,7,14,12,002,5,262,1276,960,070,3,0100,0060,3,0280,0170,Y
0207,0012,HALONG,20060118,02071600,2002,7,16,0,002,4,346,1387,975,060,3,0100,0010,3,0210,0060,Y
0207,0012,HALONG,20060118,02071601,2002,7,16,1,002,4,348,1393,975,060,3,0060,0010,3,0200,0050,Y
0207,0012,HALONG,20060118,02071603,2002,7,16,3,002,4,356,1406,975,060,3,0060,0010,3,0190,0050,Y
